access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],1043,0,0,0,False,True,45.9236,6.86912,Chamonix,utmb,"['EMERGENCY', 'BUS_STOP']",Départ,SIMPLE,"[{'pointId': 0, 'live': 'x91cf2q', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T18:01:52.000+02:00,2024-08-30T18:01:52.000+02:00,
[],1666,13190,786,2,False,False,45.87733,6.75998,Col de Voza,utmb,[],Col  Voza,SIMPLE,"[{'pointId': 2, 'live': 'x3h1emu', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T19:05:52.000+02:00,2024-08-30T20:30:52.000+02:00,
[],811,21680,930,3,False,True,45.89273,6.7114,Saint-Gervais,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St-Gervais,SIMPLE,"[{'pointId': 3, 'live': 'x4cldkg', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T19:37:52.000+02:00,2024-08-30T21:45:52.000+02:00,2024-08-30T22:00:00.000+02:00
[],1162,31340,1437,4,True,True,45.82224,6.72628,Les Contamines Montjoie,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Contamines,SIMPLE,"[{'pointId': 4, 'live': 'x4clciw', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T20:31:52.000+02:00,2024-08-30T23:42:52.000+02:00,2024-08-31T00:00:00.000+02:00
[],1210,35620,1509,5,False,True,45.79289,6.71611,Fly zone - Notre Dame de la Gorge,utmb,[],Fly zone ,SIMPLE,"[{'pointId': 5, 'live': 'x3h1d7l', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T20:48:52.000+02:00,2024-08-31T00:22:52.000+02:00,
[],1712,39990,2012,6,False,False,45.75751,6.71079,La Balme,utmb,"['AID_STATION', 'EMERGENCY']",La Balme,SIMPLE,[],2024-08-30T21:23:52.000+02:00,2024-08-31T01:47:52.000+02:00,2024-08-31T02:00:00.000+02:00
[],2449,45820,2813,7,False,False,45.72219,6.71757,Refuge de la Croix du Bonhomme,utmb,[],Bonhomme,SIMPLE,[],2024-08-30T22:16:52.000+02:00,2024-08-31T03:57:52.000+02:00,
[],1546,51100,2813,8,False,True,45.69567,6.73354,Les Chapieux,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Chapieux,DOUBLE,"[{'pointId': 8, 'live': 'x4cldai', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T22:37:52.000+02:00,2024-08-31T04:49:52.000+02:00,2024-08-31T05:15:00.000+02:00
[],2511,61890,3880,9,False,False,45.75139,6.80711,Col de la Seigne,utmb,[],Col Seigne,SIMPLE,[],2024-08-31T00:07:52.000+02:00,2024-08-31T08:09:52.000+02:00,
[],1961,69220,4161,11,False,False,45.77053,6.85585,Lac Combal,utmb,"['AID_STATION', 'EMERGENCY']",Lac Combal,SIMPLE,"[{'pointId': 11, 'live': 'x8d2z4s', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-31T00:54:52.000+02:00,2024-08-31T09:44:52.000+02:00,2024-08-31T10:00:00.000+02:00
