checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Départ,0,0,0,
Col  Voza,13188,805,184,
St-Gervais,21677,962,1198,2024-08-30T22:00:00.000+02:00
Contamines,31330,1443,1338,2024-08-31T00:00:00.000+02:00
Fly zone ,35611,1514,1348,
La Balme,39985,2014,1348,2024-08-31T02:00:00.000+02:00
Bonhomme,45811,2793,1388,
Chapieux,51099,2793,2281,2024-08-31T05:15:00.000+02:00
Col Seigne,61886,3815,2355,
Lac Combal,69212,4080,3164,2024-08-31T10:00:00.000+02:00
Mt-Favre,73218,4542,3175,
Checrouit ,77810,4542,3632,
Courmayeur,82940,4542,4398,2024-08-31T13:15:00.000+02:00
Courmayeur,82940,4542,4398,2024-08-31T13:15:00.000+02:00
Bertone,88380,5372,4418,
Bonatti,95962,5655,4663,
Arnouvaz,101238,5776,5042,2024-08-31T18:15:00.000+02:00
Col Ferret,105840,6525,5042,
La Peule,109461,6525,5508,
La Fouly,115819,6619,6067,2024-08-31T22:30:00.000+02:00
Champex,129639,7214,6778,2024-09-01T02:30:00.000+02:00
La Giète,140989,8004,7163,
Trient,146189,8081,7822,2024-09-01T08:00:00.000+02:00
Tseppes,150189,8749,7832,
Vallorcine,158312,8895,8679,
Vallorcine,158312,8895,8679,2024-09-01T11:15:00.000+02:00
La Flégère,169619,9904,9070,2024-09-01T14:45:00.000+02:00
Chamonix,176607,10019,10021,2024-09-01T16:30:00.000+02:00
