portion_name,Meilleure perf
Départ → Col de Voza,Ben DHIMAN (1h19)
Col de Voza → Saint-Gervais,Ludovic POMMERET (0h36)
Saint-Gervais → Les Contamines Montjoie,Ionel Cristian MANOLE (0h51)
Les Contamines Montjoie → La Balme,Théo DETIENNE (0h54)
La Balme → Refuge de la Croix du Bonhomme,Ben DHIMAN (0h57)
Refuge de la Croix du Bonhomme → Les Chapieux,Ludovic POMMERET (0h26)
Les Chapieux → Col de la Seigne,Aurelien DUNAND PALLAZ (1h21)
Col de la Seigne → Lac Combal,Aurelien DUNAND PALLAZ (0h22)
Lac Combal → Arête du Mont-Favre,Théo DETIENNE (0h35)
Arête du Mont-Favre → Checrouit - Maison Vieille,Ludovic POMMERET (0h23)
Checrouit - Maison Vieille → Courmayeur - Mountain Sport Center Entrée,Ludovic POMMERET (0h24)
Courmayeur - Mountain Sport Center Entrée → Courmayeur - Mountain Sport Center Sortie,Guoping XIE (0h01)
Courmayeur - Mountain Sport Center Sortie → Refuge Bertone,Jonathan ALBON (0h51)
Refuge Bertone → Refuge Bonatti,Tom EVANS (0h48)
Refuge Bonatti → Arnouvaz,Tom EVANS (0h31)
Arnouvaz → Grand Col Ferret,Tom EVANS (0h49)
Grand Col Ferret → La Fouly,Tom EVANS (0h55)
La Fouly → Champex-Lac,Josh WADE (1h19)
Champex-Lac → La Giète,Tom EVANS (1h25)
La Giète → Trient,Thibaut GARRIVIER (0h31)
Trient → Les Tseppes,Tom EVANS (0h40)
Les Tseppes → Vallorcine Entrée,Tom EVANS (0h48)
Vallorcine Entrée → Vallorcine Sortie,Xiaojun YIN (0h00)
Vallorcine Sortie → La Flégère,Tom EVANS (1h32)
La Flégère → Chamonix,Dong HE (0h36)
