portion_name,Meilleure perf,Type de tronçon,Quart de course,secteur_quart
Départ → Col  Voza,Ben DHIMAN (01:18:42),Non Catégorisé,1er quart,1er quart (0.0–41.3 km | Départ  → La Balme)
Col  Voza → St-Gervais,Ludovic POMMERET (00:36:18),Descente,1er quart,1er quart (0.0–41.3 km | Départ  → La Balme)
St-Gervais → Contamines,Ben DHIMAN (00:51:30),Montée,1er quart,1er quart (0.0–41.3 km | Départ  → La Balme)
Contamines → La Balme,Ji DUO (00:54:22),Montée,1er quart,1er quart (0.0–41.3 km | Départ  → La Balme)
La Balme → Bonhomme,Ben DHIMAN (00:56:56),Montée,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Bonhomme → Chapieux,Ludovic POMMERET (00:23:36),Descente,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Chapieux → Col Seigne,Aurelien DUNAND PALLAZ (01:23:07),Montée,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Col Seigne → Lac Combal,Aurelien DUNAND PALLAZ (00:21:44),Descente,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Lac Combal → Mt-Favre,Ben DHIMAN (00:36:41),Montée,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Mt-Favre → Checrouit,Ludovic POMMERET (00:22:43),Descente,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Checrouit → Courmayeur,Ludovic POMMERET (00:23:52),Descente,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Courmayeur → Courmayeur,Xiaoxu CHEN (00:01:38),Non Catégorisé,2ème quart,2ème quart (47.2–81.6 km | La Balme  → Courmayeur)
Courmayeur → Bertone,Ben DHIMAN (00:51:51),Montée,3ème quart,3ème quart (87.0–128.3 km | Courmayeur  → Champex)
Bertone → Bonatti,Tom EVANS (00:48:05),Non Catégorisé,3ème quart,3ème quart (87.0–128.3 km | Courmayeur  → Champex)
Bonatti → Arnouvaz,Tom EVANS (00:30:35),Descente,3ème quart,3ème quart (87.0–128.3 km | Courmayeur  → Champex)
Arnouvaz → Col Ferret,Tom EVANS (00:49:44),Montée,3ème quart,3ème quart (87.0–128.3 km | Courmayeur  → Champex)
Col Ferret → La Fouly,Tom EVANS (00:54:11),Descente,3ème quart,3ème quart (87.0–128.3 km | Courmayeur  → Champex)
La Fouly → Champex,Josh WADE (01:18:31),Non Catégorisé,3ème quart,3ème quart (87.0–128.3 km | Courmayeur  → Champex)
Champex → La Giète,Josh WADE (01:26:56),Non Catégorisé,4ème quart,4ème quart (139.8–175.4 km | Champex  → Chamonix)
La Giète → Trient,Katharina HARTMUTH (00:27:41),Descente,4ème quart,4ème quart (139.8–175.4 km | Champex  → Chamonix)
Trient → Tseppes,Tom EVANS (00:42:56),Montée,4ème quart,4ème quart (139.8–175.4 km | Champex  → Chamonix)
Tseppes → Vallorcine,Tom EVANS (00:48:08),Descente,4ème quart,4ème quart (139.8–175.4 km | Champex  → Chamonix)
Vallorcine → Vallorcine,Daniel COLOM MASIP (00:00:12),Non Catégorisé,4ème quart,4ème quart (139.8–175.4 km | Champex  → Chamonix)
Vallorcine → La Flégère,Tom EVANS (01:31:45),Non Catégorisé,4ème quart,4ème quart (139.8–175.4 km | Champex  → Chamonix)
La Flégère → Chamonix,Dong HE (00:35:53),Descente,4ème quart,4ème quart (139.8–175.4 km | Champex  → Chamonix)
