year,bib,name,sex,variation_coefficient,vitesse_moy,amplitude,cv_median_peers,cv_median_elite,ecart_cv_peers,ecart_cv_elite
2025,1,Courtney DAUWALTER,FEMALE,45.13809626214948,6.832568923117853,12.00471327572663,43.27533809634271,42.05951618681361,1.862758165806774,3.0785800753358714
2025,3,Ruth CROFT,FEMALE,41.50153280001498,7.372712716842598,12.603711340206186,42.465854873496355,42.05951618681361,-0.9643220734813767,-0.5579833867986324
2025,4,Jonathan ALBON,MALE,36.68806512089532,8.874224041674308,13.100728675525076,,42.05951618681361,,-5.3714510659182935
2025,5,Abby HALL,FEMALE,41.149775255024565,6.770004015493435,11.472972972972974,,42.05951618681361,,-0.9097409317890452
2025,6,Daniel JONES,MALE,27.270810771481273,8.990844368527949,7.763134992664802,,42.05951618681361,,-14.788705415332338
2025,8,Hayden HAWKS,MALE,30.761521153450445,9.392692579664606,8.249101590587642,,42.05951618681361,,-11.297995033363165
2025,10,Tom EVANS,MALE,39.86964958589046,8.75919945899968,13.225443530938989,40.69968129117261,42.05951618681361,-0.8300317052821526,-2.1898666009231533
2025,12,Ji DUO,MALE,40.937619079193624,8.370459115770736,13.089507494646682,41.03897730271774,42.05951618681361,-0.10135822352411594,-1.1218971076199864
2025,13,Emily HAWGOOD,FEMALE,57.83500414799227,5.5969383958965935,11.773497688751926,45.55485573522147,42.05951618681361,12.2801484127708,15.775487961178662
2025,14,Jeff MOGAVERO,MALE,49.85527727833856,7.404579521740702,13.393514460999125,,42.05951618681361,,7.795761091524952
2025,15,Heather JACKSON,FEMALE,46.17417053220893,5.999866741832696,11.490225563909775,43.33873462395747,42.05951618681361,2.835435908251462,4.114654345395323
2025,16,Ben DHIMAN,MALE,40.847884052184256,8.613623248256998,13.03924914675768,40.89275156568894,42.05951618681361,-0.0448675135046841,-1.2116321346293546
2025,17,Katharina HARTMUTH,FEMALE,44.701925861176,6.820519771372151,11.70585982382229,43.245477125352025,42.05951618681361,1.456448735823976,2.6424096743623906
2025,18,Dmitry MITYAEV,MALE,46.73126836688803,7.710762646352457,13.072711719418306,,42.05951618681361,,4.671752180074421
2025,19,Ekaterina MITYAEVA,FEMALE,41.38376529598355,6.895774613234502,11.925087787748733,,42.05951618681361,,-0.6757508908300593
2025,20,Jiaju ZHAO,MALE,42.85306886467316,8.07786417378993,13.083904109589042,42.07930528817611,42.05951618681361,0.7737635764970534,0.7935526778595516
2025,23,Ludovic POMMERET,MALE,43.65537041470537,8.408221875858274,14.03305785123967,41.23599170113118,42.05951618681361,2.41937871357419,1.5958542278917562
2025,24,Miguel HERAS,MALE,42.549166254278276,8.302030646730834,13.106346483704975,,42.05951618681361,,0.489650067464666
2025,25,Jiasheng SHEN,MALE,46.54563908301243,7.852725348554114,13.106346483704975,42.05951618681361,42.05951618681361,4.486122896198822,4.486122896198822
2025,26,Germain GRANGIER,MALE,38.54052521595663,8.7227828440416,13.12322885358523,,42.05951618681361,,-3.518990970856983
2025,27,Thibaut GARRIVIER,MALE,41.14033552624185,8.36484379366799,13.185504745470235,41.23599170113118,42.05951618681361,-0.09565617488932787,-0.9191806605717616
2025,29,Katarzyna DOMBROWSKA,FEMALE,37.25925134416916,8.042818629810709,9.286249328413806,,42.05951618681361,,-4.800264842644452
2025,30,Camille BRUYAS,FEMALE,42.531904582367716,7.337220538553003,12.49550286181521,42.947410259339705,42.05951618681361,-0.41550567697198915,0.4723883955541055
2025,31,Jean-Philippe TSCHUMI,MALE,11.296988965936528,12.013199605590758,1.9192714170018448,,42.05951618681361,,-30.762527220877082
2025,32,Rod FARVARD,MALE,42.07930528817611,8.135691495543067,12.820469798657719,42.05951618681361,42.05951618681361,0.01978910136249823,0.01978910136249823
2025,33,Lin CHEN,FEMALE,29.285520105523037,8.283625234376018,6.686825600733933,,42.05951618681361,,-12.773996081290573
