checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Départ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2025
Col  Voza,14555,950,323,,14.555,950,323,14.555,950.0,323.0,0.0,65.26966678117485,22.19168670559945,0.061317028568585154,0.00421278107650877,2025
St-Gervais,23050,1090,1319,4.25,23.05,1090,1319,8.495000000000001,140.0,996.0,14.555,16.4802825191289,117.2454384932313,0.030167132132038754,0.003551163288056357,2025
Contamines,32698,1585,1462,6.25,32.698,1585,1462,9.648,495.0,143.0,23.05,51.30597014925373,14.821724709784412,0.0428311076002513,0.004439376824238319,2025
La Balme,41335,2211,1509,8.25,41.335,2211,1509,8.637,626.0,47.0,32.698,72.47886997800161,5.441704295472965,0.046413843292633636,0.005373838519466671,2025
Bonhomme,47157,2974,1590,,47.157,2974,1590,5.821999999999996,763.0,81.0,41.335,131.0546204053591,13.91274476125044,0.04800617026702578,0.008245649307287155,2025
Chapieux,52443,2974,2467,11.5,52.443,2974,2467,5.286000000000001,0.0,877.0,47.157,0.0,165.9099508134695,0.023673423689595772,0.004478513751342369,2025
Col Seigne,63240,4034,2597,,63.24,4034,2597,10.797000000000004,1060.0,130.0,52.443,98.17541909789753,12.040381587477999,0.06916670295015895,0.006406103820520415,2025
Lac Combal,68094,4042,3122,16.25,68.094,4042,3122,4.853999999999992,8.0,525.0,63.24,1.6481252575195742,108.15822002472206,0.019891647125414424,0.004097990755132768,2025
Mt-Favre,72094,4521,3186,,72.094,4521,3186,4.0,479.0,64.0,68.094,119.75,16.0,0.031697258833993686,0.007924314708498421,2025
Checrouit,76687,4540,3637,,76.687,4540,3637,4.5930000000000035,19.0,451.0,72.094,4.136729806226864,98.19290224254293,0.020053367833751112,0.004366071812268908,2025
Courmayeur,81613,4558,4419,19.5,81.613,4558,4419,4.926000000000002,18.0,782.0,76.687,3.6540803897685734,158.7494924888347,0.025539431862711622,0.005184618729742511,2025
Bertone,87045,5415,4419,,87.045,5415,4419,5.432000000000002,857.0,0.0,81.613,157.76877761413837,0.0,0.043291389616286466,0.007969696173837712,2025
Bonatti,94639,5689,4694,,94.639,5689,4694,7.593999999999994,274.0,275.0,87.045,36.08111667105612,36.21279957861472,0.04305502858102521,0.005669611348567981,2025
Arnouvaz,99908,5799,5060,24.5,99.908,5799,5060,5.2690000000000055,110.0,366.0,94.639,20.876826722338183,69.46289618523431,0.02928388826343057,0.005557769645745026,2025
Col Ferret,104505,6553,5103,,104.505,6553,5103,4.596999999999994,754.0,43.0,99.908,164.02001305199065,9.353926473787265,0.04411243321245746,0.009595917601143684,2025
La Fouly,114483,6618,6083,28.75,114.483,6618,6083,9.978000000000009,65.0,980.0,104.505,6.514331529364597,98.21607536580468,0.04837937190164891,0.0048486041192271866,2025
Champex,128290,7130,6694,32.75,128.29,7130,6694,13.806999999999988,512.0,611.0,114.483,37.08263924096476,44.25291518794818,0.07307288005921465,0.005292451659246376,2025
La Giète,139774,7926,7130,,139.774,7926,7130,11.484000000000009,796.0,436.0,128.29,69.31382793451753,37.96586555207242,0.07661829558813463,0.00667174291084418,2025
Trient,144872,7991,7738,38.25,144.872,7991,7738,5.098000000000013,65.0,608.0,139.774,12.750098077677487,119.26245586504481,0.026683916875556,0.005234193188614345,2025
Tseppes,148875,8727,7738,,148.875,8727,7738,4.002999999999986,736.0,0.0,144.872,183.86210342243382,0.0,0.037052702290836056,0.009256233397660801,2025
Vallorcine,157018,8803,8563,41.5,157.018,8803,8563,8.143,76.0,825.0,148.875,9.333169593515903,101.31401203487657,0.04584160078621143,0.0056295715075784635,2025
La Flégère,168299,9730,9000,45.0,168.299,9730,9000,11.281000000000006,927.0,437.0,157.018,82.17356617321155,38.73770055846111,0.08270148223249225,0.007331041772226949,2025
Chamonix,174670,9730,9731,46.75,174.67,9730,9731,6.370999999999981,0.0,731.0,168.299,0.0,114.73865955109123,0.03114989643654634,0.004889326076996772,2025
