cp_id,access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff,distCP,D+CP,D-CP,pente_min,pente_max,pente_moy,distCum,D+Cum,R,T1,F,T,T2,S,T4,T3,D1,D2,D3,D4,M1,M2,M3,M4,D-Cum,D1_pct,D2_pct,D3_pct,D4_pct,M1_pct,M2_pct,M3_pct,M4_pct,R_pct,T1_pct,F_pct,T_pct,T2_pct,S_pct,T4_pct,T3_pct
0,[],1043,0,0,0,False,True,45.9236,6.86912,Chamonix,utmb,"['EMERGENCY', 'BUS_STOP']",Départ,SIMPLE,"[{'pointId': 0, 'live': 'x91cf2q', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T18:01:52.000+02:00,2024-08-30T18:01:52.000+02:00,,0,0,0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1,[],1666,13190,786,2,False,False,45.87733,6.75998,Col de Voza,utmb,[],Col  Voza,SIMPLE,"[{'pointId': 2, 'live': 'x3h1emu', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T19:05:52.000+02:00,2024-08-30T20:30:52.000+02:00,,13188,805,184,,,,13188,805,5173.0,117.0,7495.0,375.0,28.0,0.0,0.0,0.0,4994.0,690.0,239.0,50.0,2614.0,1320.0,2323.0,958.0,184.0,37.86775856839551,5.232029117379436,1.8122535638459205,0.3791325447376403,19.821049438883833,10.009099181073704,17.614498028510766,7.264179557173188,39.225053078556265,0.8871701546860783,56.83196845617228,2.843494085532302,0.21231422505307856,0.0,0.0,0.0
2,[],811,21680,930,3,False,True,45.89273,6.7114,Saint-Gervais,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St-Gervais,SIMPLE,"[{'pointId': 3, 'live': 'x4cldkg', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T19:37:52.000+02:00,2024-08-30T21:45:52.000+02:00,2024-08-30T22:00:00.000+02:00,8489,157,1014,,,,21677,962,1670.0,0.0,5667.0,17.0,1140.0,0.0,0.0,0.0,1321.0,1514.0,1707.0,2285.0,758.0,358.0,370.0,181.0,1198.0,15.561314642478502,17.834845093650607,20.108375544822714,26.91718694781482,8.929202497349511,4.217222287666392,4.358581693956885,2.1321710448816114,19.672517375427024,0.0,66.7569796206856,0.20025915891153256,13.429143597596891,0.0,0.0,0.0
3,[],1162,31340,1437,4,True,True,45.82224,6.72628,Les Contamines Montjoie,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Contamines,SIMPLE,"[{'pointId': 4, 'live': 'x4clciw', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T20:31:52.000+02:00,2024-08-30T23:42:52.000+02:00,2024-08-31T00:00:00.000+02:00,9653,481,140,,,,31330,1443,3473.0,487.0,2139.0,2640.0,922.0,0.0,0.0,0.0,0.0,666.0,586.0,76.0,5350.0,1992.0,578.0,413.0,1338.0,0.0,6.899409509996893,6.0706516108981665,0.7873200041437896,55.423184502227286,20.63607168755827,5.987775820988294,4.278462654097172,35.97845229462343,5.045063710763493,22.15891432715218,27.34901067025795,9.551434787112814,0.0,0.0,0.0
4,[],1210,35620,1509,5,False,True,45.79289,6.71611,Fly zone - Notre Dame de la Gorge,utmb,[],Fly zone ,SIMPLE,"[{'pointId': 5, 'live': 'x3h1d7l', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T20:48:52.000+02:00,2024-08-31T00:22:52.000+02:00,,4296,71,10,,,,35626,1514,1693.0,150.0,877.0,1134.0,445.0,0.0,0.0,0.0,817.0,0.0,0.0,0.0,3383.0,99.0,0.0,0.0,1348.0,19.017690875232773,0.0,0.0,0.0,78.74767225325886,2.304469273743017,0.0,0.0,39.40875232774674,3.4916201117318435,20.414338919925513,26.39664804469274,10.358472998137803,0.0,0.0,0.0
5,[],1712,39990,2012,6,False,False,45.75751,6.71079,La Balme,utmb,"['AID_STATION', 'EMERGENCY']",La Balme,SIMPLE,[],2024-08-30T21:23:52.000+02:00,2024-08-31T01:47:52.000+02:00,2024-08-31T02:00:00.000+02:00,4365,500,0,,,,39991,2014,74.0,0.0,4283.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,1433.0,1518.0,666.0,1348.0,0.0,0.0,0.0,0.0,17.479954180985107,32.82932416953035,34.776632302405496,15.257731958762887,1.695303550973654,0.0,98.12142038946162,0.29782359679266895,0.22909507445589922,0.0,0.0,0.0
6,[],2449,45820,2813,7,False,False,45.72219,6.71757,Refuge de la Croix du Bonhomme,utmb,[],Bonhomme,SIMPLE,[],2024-08-30T22:16:52.000+02:00,2024-08-31T03:57:52.000+02:00,,5820,779,40,,,,45811,2793,156.0,0.0,560.0,7.0,5103.0,0.0,0.0,0.0,230.0,239.0,70.0,40.0,763.0,1372.0,1820.0,1292.0,1388.0,3.951890034364261,4.106529209621993,1.202749140893471,0.6872852233676976,13.109965635738833,23.573883161512025,31.27147766323024,22.19931271477663,2.6804123711340204,0.0,9.621993127147768,0.12027491408934708,87.68041237113403,0.0,0.0,0.0
7,[],1546,51100,2813,8,False,True,45.69567,6.73354,Les Chapieux,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Chapieux,DOUBLE,"[{'pointId': 8, 'live': 'x4cldai', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-30T22:37:52.000+02:00,2024-08-31T04:49:52.000+02:00,2024-08-31T05:15:00.000+02:00,5288,0,893,,,,51099,2793,218.0,0.0,606.0,980.0,3494.0,0.0,0.0,0.0,0.0,930.0,2491.0,1656.0,221.0,0.0,0.0,0.0,2281.0,0.0,17.58698940998487,47.10665658093797,31.316187594553707,4.179273827534039,0.0,0.0,0.0,4.122541603630863,0.0,11.459909228441754,18.532526475037823,66.07413010590015,0.0,0.0,0.0
8,[],2511,61890,3880,9,False,False,45.75139,6.80711,Col de la Seigne,utmb,[],Col Seigne,SIMPLE,[],2024-08-31T00:07:52.000+02:00,2024-08-31T08:09:52.000+02:00,,10787,1022,74,,,,61886,3815,1708.0,0.0,2629.0,3142.0,3321.0,0.0,0.0,0.0,0.0,703.0,249.0,56.0,3169.0,3298.0,1813.0,1512.0,2355.0,0.0,6.5171039213868545,2.3083341058681746,0.5191434133679429,29.377954945768053,30.57383888013349,16.80726800778715,14.016872160934458,15.83387410772226,0.0,24.371929174005746,29.127653657179938,30.787058496338183,0.0,0.0,0.0
9,[],1961,69220,4161,11,False,False,45.77053,6.85585,Lac Combal,utmb,"['AID_STATION', 'EMERGENCY']",Lac Combal,SIMPLE,"[{'pointId': 11, 'live': 'x8d2z4s', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-08-31T00:54:52.000+02:00,2024-08-31T09:44:52.000+02:00,2024-08-31T10:00:00.000+02:00,7326,265,809,,,,69212,4080,0.0,0.0,494.0,986.0,5852.0,0.0,0.0,0.0,796.0,1273.0,1892.0,1657.0,22.0,709.0,507.0,476.0,3164.0,10.865410865410865,17.376467376467378,25.825825825825827,22.618072618072617,0.3003003003003003,9.677859677859677,6.920556920556921,6.497406497406498,0.0,0.0,6.743106743106743,13.458913458913461,79.87987987987988,0.0,0.0,0.0
