cp_id,access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff,distCP,D+CP,D-CP,pente_min,pente_max,pente_moy,distCum,D+Cum,R,T1,F,T,T2,T3,S,T4,D1,D2,D3,D4,M1,M2,M3,M4,D-Cum,D1_pct,D2_pct,D3_pct,D4_pct,M1_pct,M2_pct,M3_pct,M4_pct,R_pct,T1_pct,F_pct,T_pct,T2_pct,T3_pct,S_pct,T4_pct
0,[],1043,0,0,0,False,True,45.92354,6.86904,Chamonix,utmb,"['EMERGENCY', 'BUS_STOP']",Départ,SIMPLE,"[{'pointId': 0, 'live': 'x8d2z4s', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-29T17:45:00.000+02:00,2025-08-29T17:45:00.000+02:00,,0,0,0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1,[],1666,14550,941,2,False,False,45.87733,6.75998,Col de Voza,utmb,[],Col  Voza,SIMPLE,"[{'pointId': 2, 'live': 'x3h1d7l', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-29T18:56:00.000+02:00,2025-08-29T20:34:00.000+02:00,,14555,950,323,,,,14555,950,7941.0,167.0,6155.0,292.0,0.0,0.0,0.0,0.0,3134.0,758.0,1343.0,113.0,3632.0,1396.0,2859.0,1320.0,323.0,21.53211954654758,5.20783236001374,9.227069735486088,0.7763655101339746,24.953624184129165,9.591205771212643,19.64273445551357,9.069048436963243,54.55857093782206,1.1473720371006528,42.28787358296118,2.0061834421161113,0.0,0.0,0.0,0.0
2,[],811,23050,1085,3,False,True,45.89273,6.7114,Saint-Gervais,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St-Gervais,SIMPLE,"[{'pointId': 3, 'live': 'x3yl8jb', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-29T19:29:00.000+02:00,2025-08-29T21:48:00.000+02:00,2025-08-29T22:00:00.000+02:00,8495,140,996,,,,23050,1090,1754.0,0.0,5630.0,0.0,1127.0,0.0,0.0,0.0,1105.0,587.0,2550.0,2151.0,1098.0,360.0,660.0,0.0,1319.0,13.007651559741024,6.909947027663331,30.01765744555621,25.32077692760447,12.925250147145379,4.2377869334902885,7.769276044732195,0.0,20.64743967039435,0.0,66.27427898763979,0.0,13.266627427898763,0.0,0.0,0.0
3,[],1162,32710,1592,4,True,True,45.82224,6.72628,Les Contamines Montjoie,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Contamines,SIMPLE,"[{'pointId': 4, 'live': 'x4clajv', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-29T20:22:00.000+02:00,2025-08-29T23:43:00.000+02:00,2025-08-30T00:00:00.000+02:00,9664,495,143,,,,32714,1585,3535.0,466.0,2163.0,2646.0,869.0,0.0,0.0,0.0,1453.0,377.0,438.0,94.0,4542.0,988.0,1550.0,237.0,1462.0,15.035182119205299,3.9010761589403975,4.5322847682119205,0.9726821192052979,46.99917218543047,10.223509933774833,16.03890728476821,2.4524006622516556,36.57905629139073,4.8220198675496695,22.382036423841058,27.37996688741722,8.992135761589404,0.0,0.0,0.0
4,[],1712,41330,2193,6,False,False,45.75751,6.71079,La Balme,utmb,['EMERGENCY'],La Balme,SIMPLE,[],2025-08-29T21:16:00.000+02:00,2025-08-30T01:54:00.000+02:00,2025-08-30T02:00:00.000+02:00,8615,626,47,,,,41329,2211,2483.0,146.0,5396.0,514.0,92.0,0.0,0.0,0.0,548.0,381.0,72.0,0.0,3823.0,1164.0,2041.0,602.0,1509.0,6.360998258850842,4.422518862449216,0.8357515960533952,0.0,44.37608821822403,13.51131746952989,23.691236215902496,6.987811955890888,28.82182240278584,1.6947185142193848,62.63493905977946,5.966337782936739,1.0679048171793384,0.0,0.0,0.0
5,[],2449,47170,2991,7,False,False,45.72219,6.71757,Refuge de la Croix du Bonhomme,utmb,[],Bonhomme,SIMPLE,[],2025-08-29T22:09:00.000+02:00,2025-08-30T04:04:00.000+02:00,,5844,763,81,,,,47173,2974,114.0,0.0,570.0,0.0,5166.0,0.0,0.0,0.0,181.0,146.0,406.0,46.0,861.0,1044.0,1684.0,1482.0,1590.0,3.0971937029431897,2.4982888432580426,6.947296372347707,0.7871321013004791,14.733059548254621,17.864476386036962,28.815879534565365,25.35934291581109,1.9507186858316223,0.0,9.75359342915811,0.0,88.39835728952772,0.0,0.0,0.0
6,[],1546,52450,2991,8,False,True,45.69567,6.73354,Les Chapieux,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Chapieux,DOUBLE,"[{'pointId': 8, 'live': 'x3yl8ve', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-29T22:29:00.000+02:00,2025-08-30T04:56:00.000+02:00,2025-08-30T05:15:00.000+02:00,5270,0,877,,,,52443,2974,346.0,0.0,634.0,957.0,3349.0,0.0,0.0,0.0,148.0,702.0,1906.0,2177.0,353.0,0.0,0.0,0.0,2467.0,2.808349146110057,13.320683111954459,36.16698292220114,41.309297912713475,6.698292220113852,0.0,0.0,0.0,6.565464895635674,0.0,12.030360531309297,18.15939278937381,63.54838709677419,0.0,0.0,0.0
7,[],2511,63240,4058,9,False,False,45.75139,6.80711,Col de la Seigne,utmb,[],Col Seigne,SIMPLE,[],2025-08-29T23:58:00.000+02:00,2025-08-30T08:10:00.000+02:00,,10797,1060,130,,,,63240,4034,1578.0,0.0,2619.0,3137.0,3477.0,0.0,0.0,0.0,450.0,55.0,695.0,93.0,2262.0,2293.0,4277.0,686.0,2597.0,4.167824395665463,0.5094007594702232,6.436973233305548,0.8613503751041955,20.950263962211725,21.237380753913122,39.61285542280263,6.353616745392239,14.615170880800221,0.0,24.25673798277299,29.054366953783457,32.20338983050847,0.0,0.0,0.0
8,[],1961,70140,4339,11,False,False,45.77053,6.85585,Lac Combal,utmb,"['AID_STATION', 'EMERGENCY']",Lac Combal,SIMPLE,"[{'pointId': 11, 'live': 'x8d9v16', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T00:45:00.000+02:00,2025-08-30T09:45:00.000+02:00,2025-08-30T10:00:00.000+02:00,6904,280,797,,,,70144,4314,0.0,0.0,704.0,1161.0,4982.0,74.0,0.0,0.0,1287.0,426.0,1455.0,2080.0,374.0,99.0,521.0,679.0,3394.0,18.641367323290847,6.170336037079953,21.074739281575898,30.127462340672075,5.417149478563152,1.4339513325608342,7.546349942062572,9.834878331402086,0.0,0.0,10.196987253765933,16.816338354577056,72.16106604866745,1.0718424101969872,0.0,0.0
9,[],2435,74140,4818,12,False,False,45.77228,6.89009,Arête du Mont-Favre,utmb,[],Mt-Favre,SIMPLE,"[{'pointId': 12, 'live': 'x3yl9t5', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T01:25:00.000+02:00,2025-08-30T11:13:00.000+02:00,,3987,479,70,,,,74131,4793,0.0,0.0,1006.0,0.0,3004.0,0.0,0.0,0.0,166.0,0.0,153.0,178.0,1092.0,0.0,1517.0,904.0,3464.0,4.1635314773012295,0.0,3.837471783295711,4.464509656383245,27.389014296463504,0.0,38.04865813895159,22.67368949084525,0.0,0.0,25.232004013042385,0.0,75.34487083019815,0.0,0.0,0.0
