access,altitude,cutoff,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],3,2024-10-17T22:00:00.000+04:00,0,0,0,True,True,-21.33975,55.45966,St Pierre Ravine Blanche,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",St Pierre ,SIMPLE,[],2024-10-17T22:00:00.000+04:00,2024-10-17T22:00:00.000+04:00
[],650,2024-10-18T01:30:00.000+04:00,14040,646,2,True,True,-21.31272,55.5459,Domaine Vidot,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Dom Vidot,SIMPLE,[],2024-10-17T23:14:00.000+04:00,2024-10-18T01:24:00.000+04:00
[],1683,2024-10-18T07:00:00.000+04:00,33380,1976,10,True,True,-21.2458,55.59408,Notre Dame de la Paix,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Dame paix,SIMPLE,[],2024-10-18T01:30:00.000+04:00,2024-10-18T07:26:00.000+04:00
[],2018,2024-10-18T10:15:00.000+04:00,45400,2573,12,True,True,-21.20079,55.62105,Parking Aire Nez de Boeuf,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Nez boeuf,SIMPLE,[],2024-10-18T02:51:00.000+04:00,2024-10-18T11:21:00.000+04:00
[],1601,2024-10-18T12:30:00.000+04:00,55680,2604,14,True,True,-21.16127,55.57098,Mare à Boue,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Mare Boue,SIMPLE,[],2024-10-18T03:39:00.000+04:00,2024-10-18T13:41:00.000+04:00
[],2196,,65250,3289,15,False,True,-21.1272,55.50587,Coteaux Kerveguen,GRR,['DRINK_SUPPLY'],Kerveguen,SIMPLE,[],2024-10-18T05:01:00.000+04:00,2024-10-18T17:16:00.000+04:00
[],2486,,67770,3572,16,False,True,-21.11134,55.49528,Croisée coteaux Kerveguen,GRR,['EMERGENCY'],Croisée,SIMPLE,[],2024-10-18T05:29:00.000+04:00,2024-10-18T18:27:00.000+04:00
[],1389,,71830,3572,17,False,False,-21.12336,55.48316,Le Bloc,GRR,"['AID_STATION', 'DRINK_SUPPLY']",Le Bloc,SIMPLE,[],2024-10-18T05:53:00.000+04:00,2024-10-18T19:23:00.000+04:00
[],1393,,73820,3707,18,False,True,-21.12559,55.47233,Plateau des chênes,GRR,[],chênes,SIMPLE,[],2024-10-18T06:12:00.000+04:00,2024-10-18T20:09:00.000+04:00
[],1207,2024-10-18T20:00:00.000+04:00,76240,3707,19,True,True,-21.1364,55.47429,Cilaos (Stade),GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Cilaos,SIMPLE,[],2024-10-18T06:26:00.000+04:00,2024-10-18T20:44:00.000+04:00
[],1262,2024-10-18T22:45:00.000+04:00,82760,4236,30,False,True,-21.11769,55.45011, Sentier Taïbit,GRR,"['AID_STATION', 'DRINK_SUPPLY']", Sentier T,SIMPLE,[],2024-10-18T07:31:00.000+04:00,2024-10-18T23:33:00.000+04:00
[],1613,,88680,5094,32,True,False,-21.10354,55.43403,Marla,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Marla,SIMPLE,[],2024-10-18T08:49:00.000+04:00,2024-10-19T03:13:00.000+04:00
[],1808,2024-10-19T05:30:00.000+04:00,95170,5564,36,False,False,-21.06615,55.45099,Plaine des Merles,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2024-10-18T09:52:00.000+04:00,2024-10-19T06:10:00.000+04:00
[],1637,2024-10-19T06:30:00.000+04:00,97210,5587,38,True,True,-21.05498,55.4546,Sentier Scout,GRR,[],Sen. Scout,SIMPLE,[],2024-10-18T10:06:00.000+04:00,2024-10-19T06:48:00.000+04:00
[],913,,105910,5970,39,True,True,-21.01987,55.42491,Aurère,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Aurère,SIMPLE,[],2024-10-18T11:15:00.000+04:00,2024-10-19T10:05:00.000+04:00
