checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,barriere_horaire_dt
St Pierre,0,0,0,0.67,2023-10-19 21:40:00
Dom Vidot,14200,668,22,4.17,2023-10-20 01:10:00
Dame paix,28400,1830,148,8.42,2023-10-20 05:25:00
Nez boeuf,40800,2544,523,11.92,2023-10-20 08:55:00
Mare Boue,51200,2594,994,14.17,2023-10-20 11:10:00
Croisée,63300,3596,1112,,
Le Bloc,67900,3637,2243,,
chênes,70000,3754,2370,,
Cilaos,72500,3769,2561,21.92,2023-10-20 18:55:00
Taibit,79300,4336,3078,24.67,2023-10-20 21:40:00
Marla,85500,5174,3555,27.67,2023-10-21 00:40:00
Merles,92900,5698,3893,31.17,2023-10-21 04:10:00
Sen. Scout,95000,5789,4134,32.17,2023-10-21 05:10:00
Ilet Bours,102900,6127,5239,,
Gd Place,106200,6250,5583,36.42,2023-10-21 09:25:00
Roche plat,114200,7324,6051,41.67,2023-10-21 14:40:00
orangers,119600,7663,6692,,
Pass Oussy,125500,8007,7632,,
Deux Bras,128600,8124,7859,48.17,2023-10-21 21:10:00
Dos d'Ane,133800,8972,8102,,
Ratinaud,137100,8996,8529,52.67,2023-10-22 01:40:00
Possession,145500,9170,9163,55.67,2023-10-22 04:40:00
Chaloupe,152900,9479,9467,58.67,2023-10-22 07:40:00
Colorado,161900,10316,9638,64.42,2023-10-22 13:25:00
St Denis,167600,10371,10320,66.67,2023-10-22 15:40:00
