checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
St Pierre ,0,0,0,2024-10-17T22:00:00.000+04:00
Dom Vidot,14015,647,0,2024-10-18T01:30:00.000+04:00
Dame paix,33378,1983,303,2024-10-18T07:00:00.000+04:00
Nez boeuf,45393,2577,561,2024-10-18T10:15:00.000+04:00
Mare Boue,55627,2610,1010,2024-10-18T12:30:00.000+04:00
Kerveguen,65239,3336,1121,
Croisée,67763,3600,1190,
Le Bloc,71810,3619,2254,
chênes,73819,3729,2407,
Cilaos,76181,3729,2536,2024-10-18T20:00:00.000+04:00
 Sentier T,82747,4330,2989,2024-10-18T22:45:00.000+04:00
Marla,88677,5099,3524,
Merles,95159,5594,3823,2024-10-19T05:30:00.000+04:00
Sen. Scout,97203,5628,3989,2024-10-19T06:30:00.000+04:00
Aurère,105856,6018,5077,
Pass Oussy,109822,6166,5699,2024-10-19T11:45:00.000+04:00
Ilet  Oran,115465,6988,6053,
Pit Orange,123284,8169,6319,2024-10-19T20:15:00.000+04:00
Ilet Savan,140450,8243,8108,2024-10-19T23:45:00.000+04:00
Ratinaud,147307,8925,8439,2024-10-20T02:30:00.000+04:00
Possession,155578,8975,8966,2024-10-20T06:00:00.000+04:00
Chaloupe,162769,9476,9285,2024-10-20T08:30:00.000+04:00
Colorado,171380,10125,9496,2024-10-20T13:30:00.000+04:00
St Denis,175283,10141,10086,2024-10-20T16:00:00.000+04:00
