distance_cum,altitude,lon,lat
0,3,55.45966,-21.33975
88,3,55.46028,-21.34029
112,3,55.46046,-21.34043
170,3,55.46096,-21.34067
183,4,55.46106,-21.34074
197,4,55.46119,-21.34074
486,5,55.46372,-21.34183
552,5,55.4643,-21.34209
933,4,55.46766,-21.34348
982,4,55.4681,-21.34363
1253,4,55.47071,-21.34365
1287,4,55.47104,-21.34367
2009,4,55.478,-21.34363
2058,4,55.47847,-21.34361
2094,2,55.47881,-21.34367
2106,-1,55.47892,-21.34371
2126,2,55.47909,-21.34379
2154,3,55.47933,-21.34392
2199,3,55.47964,-21.3442
2235,3,55.47988,-21.34443
2354,4,55.48041,-21.34539
2376,2,55.48048,-21.34557
2485,2,55.48055,-21.34656
2513,3,55.48058,-21.34681
2571,3,55.48096,-21.34719
2641,4,55.48157,-21.34747
2663,4,55.48174,-21.34759
2676,4,55.4818,-21.34769
2692,4,55.48182,-21.34783
2713,4,55.48178,-21.34802
2721,4,55.4818,-21.34809
2741,5,55.48194,-21.34821
2767,4,55.48216,-21.34833
2801,4,55.48245,-21.34847
2849,4,55.4829,-21.34858
2859,4,55.48298,-21.34862
2890,4,55.48323,-21.34878
2911,4,55.48338,-21.3489
2932,4,55.48351,-21.34905
2966,5,55.48365,-21.34933
2978,5,55.48372,-21.34941
3044,8,55.48431,-21.34965
3076,10,55.48461,-21.34963
3089,10,55.4847,-21.34955
3108,12,55.48479,-21.3494
3142,13,55.48492,-21.34911
3177,15,55.48505,-21.34882
3223,18,55.48527,-21.34846
3244,21,55.48542,-21.34833
3263,22,55.48556,-21.34822
3277,23,55.48567,-21.34816
3321,25,55.4861,-21.34816
3342,26,55.4863,-21.34812
3412,28,55.48689,-21.34782
3431,30,55.48697,-21.34767
3450,30,55.487,-21.3475
3472,32,55.48697,-21.3473
3521,37,55.48681,-21.34689
3546,39,55.48668,-21.3467
3561,40,55.48668,-21.34656
3592,42,55.48661,-21.34629
3757,51,55.48675,-21.34481
3801,53,55.4868,-21.34442
3844,55,55.4868,-21.34403
3910,56,55.48671,-21.34344
3933,57,55.48674,-21.34323
3955,58,55.4868,-21.34304
4088,62,55.48721,-21.3419
4105,63,55.48728,-21.34176
4151,65,55.48755,-21.34144
4216,66,55.48803,-21.34106
4239,67,55.48818,-21.3409
4366,71,55.48922,-21.34031
4403,73,55.48955,-21.34017
4422,74,55.48963,-21.34002
4451,75,55.48961,-21.33976
4481,77,55.48965,-21.33949
4508,78,55.48966,-21.33925
4547,79,55.48992,-21.33899
4561,79,55.49001,-21.3389
4586,81,55.49025,-21.33888
4603,82,55.49039,-21.3388
4727,89,55.49131,-21.33808
4756,89,55.49153,-21.33793
4785,89,55.49179,-21.33782
4837,89,55.49228,-21.33772
4852,90,55.49239,-21.33763
4913,91,55.49256,-21.33711
4934,91,55.49266,-21.33694
5009,93,55.49317,-21.33646
5015,93,55.49322,-21.33643
5036,95,55.49341,-21.33637
5049,95,55.49352,-21.33642
5060,96,55.49358,-21.3365
5149,99,55.49382,-21.33728
5171,99,55.49394,-21.33744
5246,102,55.4946,-21.33772
5275,103,55.49482,-21.33787
5474,100,55.49618,-21.33914
5510,99,55.49643,-21.33937
5547,99,55.49672,-21.33957
5571,99,55.49693,-21.33964
5598,99,55.49719,-21.33962
5621,99,55.49741,-21.33956
5665,101,55.49778,-21.33937
5695,100,55.49803,-21.33924
5743,100,55.49846,-21.33908
5779,100,55.4988,-21.33899
5857,102,55.49955,-21.33895
5883,102,55.4998,-21.33897
5910,103,55.50004,-21.33905
5936,104,55.50028,-21.33911
5981,106,55.50071,-21.33917
6033,106,55.50121,-21.33921
6041,107,55.50128,-21.33924
6059,106,55.5014,-21.33936
6081,106,55.50149,-21.33954
6116,107,55.50166,-21.33981
6123,107,55.50168,-21.33987
6165,108,55.50157,-21.34024
6170,108,55.50157,-21.34028
6187,109,55.50169,-21.34039
6258,112,55.50229,-21.3407
6271,114,55.50241,-21.34071
6280,114,55.50249,-21.34067
6335,118,55.50276,-21.34024
6348,119,55.5028,-21.34013
6381,121,55.50303,-21.33992
6390,122,55.5031,-21.33988
6459,127,55.50374,-21.33971
6477,129,55.50391,-21.3397
6606,133,55.50515,-21.33982
6627,134,55.50535,-21.33982
6635,135,55.50539,-21.33976
6646,136,55.50537,-21.33966
6651,136,55.50538,-21.33962
6744,152,55.50575,-21.33886
6773,154,55.50584,-21.33862
6930,162,55.50661,-21.3374
6966,163,55.50669,-21.33708
7001,164,55.50687,-21.33681
7160,187,55.50794,-21.3358
7210,194,55.50827,-21.33547
7251,201,55.50859,-21.33526
7256,201,55.50864,-21.33525
7309,200,55.5091,-21.33546
7327,202,55.50925,-21.33554
7346,201,55.50939,-21.33565
7380,202,55.50965,-21.33583
7399,201,55.50982,-21.33591
7402,201,55.50984,-21.3359
7503,211,55.51062,-21.33536
7518,213,55.51072,-21.33527
7678,221,55.51163,-21.3341
7741,226,55.51207,-21.3337
7760,227,55.51221,-21.3336
7809,230,55.51257,-21.33331
7929,239,55.51356,-21.33275
7970,239,55.51385,-21.33251
8018,236,55.51412,-21.33215
8030,237,55.51414,-21.33205
8089,250,55.51363,-21.33182
8114,251,55.51344,-21.33168
8164,251,55.51317,-21.33131
8166,252,55.51317,-21.33129
8183,253,55.51323,-21.33115
8280,258,55.51397,-21.33061
8313,260,55.51421,-21.33041
8336,262,55.51432,-21.33023
8392,267,55.5145,-21.32976
8427,270,55.51462,-21.32946
8441,271,55.51465,-21.32934
8452,273,55.51467,-21.32924
8525,279,55.51469,-21.32858
8556,282,55.51472,-21.32831
8595,288,55.51487,-21.32799
8615,289,55.51493,-21.32782
8661,294,55.51513,-21.32745
8777,299,55.51591,-21.3267
8795,301,55.51602,-21.32657
8837,303,55.51632,-21.32632
8848,305,55.51638,-21.32625
8854,303,55.51643,-21.32621
8860,305,55.51648,-21.32621
8954,304,55.51704,-21.32688
8961,304,55.51711,-21.32687
9039,312,55.51762,-21.32635
9062,316,55.51775,-21.32619
9191,334,55.51862,-21.32537
9207,335,55.51874,-21.32528
9269,338,55.51912,-21.32572
9286,339,55.51927,-21.32576
9336,342,55.51964,-21.32547
9376,345,55.51997,-21.32527
9525,365,55.52103,-21.32439
9541,366,55.52115,-21.32429
9724,379,55.52269,-21.3235
9737,380,55.5228,-21.32343
9865,394,55.5236,-21.32257
9926,396,55.52402,-21.32218
9998,397,55.52458,-21.3218
10019,400,55.52472,-21.32167
10037,401,55.52483,-21.32154
10050,403,55.52487,-21.32143
10064,404,55.52482,-21.32131
10078,407,55.52485,-21.32119
10095,409,55.52498,-21.32109
10110,409,55.52512,-21.3211
10135,413,55.52534,-21.32102
10151,415,55.52547,-21.32094
10192,422,55.52571,-21.32064
10219,426,55.52588,-21.32046
10249,428,55.52612,-21.32031
10269,430,55.52627,-21.32021
10316,438,55.52657,-21.31989
10346,439,55.52675,-21.31968
10392,444,55.52711,-21.31944
10408,444,55.52722,-21.31934
10457,447,55.52748,-21.31898
10471,448,55.52756,-21.31888
10500,451,55.52782,-21.31877
10567,456,55.52839,-21.31849
10679,466,55.5293,-21.31796
10737,471,55.5298,-21.31773
10809,479,55.5303,-21.31728
10814,480,55.53034,-21.31725
10965,494,55.53177,-21.31708
10979,495,55.53189,-21.31703
10989,497,55.53195,-21.31695
11026,500,55.53194,-21.31662
11032,502,55.53195,-21.31657
11087,506,55.53212,-21.3161
11116,510,55.53225,-21.31587
11128,511,55.53232,-21.31579
11141,511,55.53241,-21.31571
11154,514,55.53254,-21.31568
11173,514,55.53268,-21.31578
11225,518,55.53272,-21.31625
11235,518,55.5328,-21.3162
11263,521,55.5329,-21.31596
11275,522,55.53295,-21.31587
11339,526,55.53334,-21.31542
11360,527,55.53345,-21.31527
11373,527,55.53348,-21.31515
11383,529,55.53341,-21.31509
11416,530,55.53314,-21.31494
11444,531,55.53341,-21.31491
11519,540,55.53411,-21.31472
11526,540,55.53417,-21.31472
11540,542,55.53426,-21.31481
11549,542,55.53427,-21.31489
11574,544,55.53419,-21.3151
11585,544,55.5342,-21.3152
