checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Départ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
Dom Vidot,14000,646,0,3.5,14.0,646,0,14.0,646.0,0.0,0.0,46.142857142857146,0.0,0.04218413605723581,0.0030131525755168437,2024
Dame paix,33400,1976,296,9.0,33.4,1976,296,19.4,1330.0,296.0,14.0,68.55670103092784,15.257731958762887,0.08082393975575135,0.004166182461636667,2024
Nez boeuf,45400,2573,558,12.25,45.4,2573,558,12.0,597.0,262.0,33.4,49.75,21.833333333333332,0.04903776547237395,0.0040864804560311625,2024
Mare Boue,55700,2604,1006,14.5,55.7,2604,1006,10.300000000000004,31.0,448.0,45.4,3.0097087378640763,43.49514563106794,0.03735181024189835,0.0036263893438736243,2024
Kerveguen,65200,3289,1096,,65.2,3289,1096,9.5,685.0,90.0,55.7,72.10526315789474,9.473684210526315,0.05918188911974579,0.00622967253892061,2024
Croisée,67800,3572,1089,,67.8,3572,1089,2.5999999999999943,283.0,-7.0,65.2,108.84615384615408,-2.6923076923076983,0.025111171697989033,0.009658142960765033,2024
Le Bloc,71800,3572,2186,,71.8,3572,2186,4.0,0.0,1097.0,67.8,0.0,274.25,0.024359058730621337,0.006089764682655334,2024
chênes,73800,3707,2317,,73.8,3707,2317,2.0,135.0,131.0,71.8,67.5,65.5,0.009156975377701722,0.004578487688850861,2024
Cilaos,76200,3707,2503,22.0,76.2,3707,2503,2.4000000000000057,0.0,186.0,73.8,0.0,77.49999999999982,0.009213383850254308,0.0038389099376059527,2024
Sentier T,82800,4236,2977,24.75,82.8,4236,2977,6.599999999999994,529.0,474.0,76.2,80.15151515151523,71.81818181818188,0.03973976891329078,0.006021177108074365,2024
Marla,88700,5094,3484,,88.7,5094,3484,5.900000000000006,858.0,507.0,82.8,145.4237288135592,85.93220338983042,0.04853949063149285,0.00822703231042251,2024
Merles,95200,5564,3759,31.5,95.2,5564,3759,6.5,470.0,275.0,88.7,72.3076923076923,42.30769230769231,0.04277642501903788,0.006580988464467367,2024
Sen. Scout,97200,5587,3953,32.5,97.2,5587,3953,2.0,23.0,194.0,95.2,11.5,97.0,0.010087715174819245,0.005043857587409622,2024
Aurère,105900,5970,5060,,105.9,5970,5060,8.700000000000003,383.0,1107.0,97.2,44.022988505747115,127.24137931034478,0.0459447008940743,0.0052810001027671595,2024
Pass Oussy,109800,6018,5651,37.75,109.8,6018,5651,3.8999999999999915,48.0,591.0,105.9,12.307692307692335,151.53846153846186,0.020184831761730616,0.005175597887623246,2024
Ilet  Oran,115500,6927,5950,,115.5,6927,5950,5.700000000000003,909.0,299.0,109.8,159.47368421052624,52.45614035087716,0.047599349422283194,0.008350763056540906,2024
Pit Orange,123300,8137,6191,46.25,123.3,8137,6191,7.799999999999997,1210.0,241.0,115.5,155.1282051282052,30.89743589743591,0.07195840815290447,0.009225436942680064,2024
Ilet Savan,140500,8209,8086,49.75,140.5,8209,8086,17.200000000000003,72.0,1895.0,123.3,4.186046511627906,110.17441860465115,0.07662150855058433,0.004454738869220019,2024
Ratinaud,147300,8813,8351,52.5,147.3,8813,8351,6.800000000000011,604.0,265.0,140.5,88.82352941176455,38.97058823529405,0.05612643018981446,0.00825388679261976,2024
Possession,155600,9001,9000,56.0,155.6,9001,9000,8.299999999999983,188.0,649.0,147.3,22.6506024096386,78.19277108433751,0.05198040745720006,0.006262699693638575,2024
Chaloupe,162900,9326,9319,58.5,162.9,9326,9319,7.300000000000011,325.0,319.0,155.6,44.52054794520541,43.69863013698623,0.050024913742044104,0.006852727909869045,2024
Colorado,171400,10147,9468,63.5,171.4,10147,9468,8.5,821.0,149.0,162.9,96.58823529411765,17.529411764705884,0.06295185536867637,0.007406100631608984,2024
St Denis,175300,10163,10117,66.0,175.3,10163,10117,3.9000000000000057,16.0,649.0,171.4,4.102564102564097,166.41025641025618,0.03904406441847567,0.0100112985688399,2024
