access,altitude,cutoff,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],996,2022-10-21T01:20:00.000+00:00,0,0,0,False,True,-21.0698,55.521,Hell-Bourg,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Hell-Bourg,SIMPLE,[],2022-10-21T01:00:01.000+00:00,2022-10-21T01:00:01.000+00:00
[],1808,2022-10-21T06:20:00.000+00:00,17000,1347,36,False,False,-21.0662,55.4511,Plaine des Merles,MAS,"['EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2022-10-21T02:41:01.000+00:00,2022-10-21T05:24:01.000+00:00
[],1632,2022-10-21T06:50:00.000+00:00,19110,1360,38,False,True,-21.0549,55.4545,Sentier Scout,MAS,[],Sen. Scout,DOUBLE,[],2022-10-21T02:49:01.000+00:00,2022-10-21T05:45:01.000+00:00
[],913,2022-10-21T09:05:00.000+00:00,28000,1649,39,False,True,-21.0196,55.4247,Aurère,MAS,"['EMERGENCY', 'DRINK_SUPPLY']",Aurère,SIMPLE,[],2022-10-21T03:33:01.000+00:00,2022-10-21T07:38:01.000+00:00
[],260,2022-10-21T10:35:00.000+00:00,34300,1761,50,False,True,-21.0031,55.3924,Deux Bras,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Deux Bras,SIMPLE,[],2022-10-21T04:02:01.000+00:00,2022-10-21T08:48:01.000+00:00
[],867,2022-10-21T13:05:00.000+00:00,39270,2462,51,False,True,-20.9806,55.3721,Dos d'Ane,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Dos d'Ane,SIMPLE,[],2022-10-21T04:51:01.000+00:00,2022-10-21T10:44:01.000+00:00
[],467,2022-10-21T13:50:00.000+00:00,42710,2470,52,False,True,-20.9636,55.3587,Chemin Ratinaud,MAS,['DRINK_SUPPLY'],Ratinaud,SIMPLE,[],2022-10-21T05:06:01.000+00:00,2022-10-21T11:21:01.000+00:00
[],3,2022-10-21T16:05:00.000+00:00,51450,2650,54,False,True,-20.9274,55.3387,La possession,MAS,"['EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2022-10-21T05:51:01.000+00:00,2022-10-21T13:17:01.000+00:00
[],10,2022-10-21T18:20:00.000+00:00,58890,3014,56,False,True,-20.896,55.3771,Grande Chaloupe,MAS,"['EMERGENCY', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2022-10-21T06:40:01.000+00:00,2022-10-21T15:23:01.000+00:00
[],671,2022-10-21T20:50:00.000+00:00,68370,3853,60,False,True,-20.9062,55.4252,Le Colorado,MAS,"['EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2022-10-21T08:04:01.000+00:00,2022-10-21T18:36:01.000+00:00
[],53,2022-10-21T22:20:00.000+00:00,73090,3874,64,False,True,-20.8851,55.4421,St Denis La Redoute,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,"[{'pointId': 64, 'live': 'x4clajv', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-21T08:30:01.000+00:00,2022-10-21T19:30:01.000+00:00
