checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Hell-Bourg,0,0,0,2024-10-18T01:10:00.000+04:00
Merles,15930,1304,491,2024-10-18T06:10:00.000+04:00
Sen. Scout,18074,1352,707,2024-10-18T06:40:00.000+04:00
Aurère,26840,1697,1782,2024-10-18T08:55:00.000+04:00
Deux Bras,33260,1771,2508,2024-10-18T10:25:00.000+04:00
Dos d'Ane,37952,2513,2678,2024-10-18T12:40:00.000+04:00
Ratinaud,41399,2530,3081,2024-10-18T13:40:00.000+04:00
Possession,49919,2719,3702,2024-10-18T15:55:00.000+04:00
Chaloupe,57248,3105,4020,2024-10-18T18:10:00.000+04:00
Colorado,65821,3856,4181,2024-10-18T20:40:00.000+04:00
St Denis,70393,3856,4795,2024-10-18T22:10:00.000+04:00
