checkpoint,distance_cum_m,altitude_m,dplus_cum_m,dmoins_cum_m,ouverture,fermeture,partiel_km,pointage_electronique,assistance_personnelle,ravitaillement,eau,repas_chaud,medecin,infirmier,kine,podologue,secouriste,osteopathe
Hell-Bourg- Stade Paul Dominique Hubert,0.0,996,0,0,Jeudi 22h00,Vendredi 1h00,0.0,O,Non,,,,,,,,,
Parking Bras Marron,5.8,752,69,307,Vendredi 2h00,Vendredi 6h00,5.8,X,Non,X,X,,,,,,,
Intersection Mare d'Affouches GR1,7.9,895,296,402,Vendredi 2h00,Vendredi 6h30,2.1,X,Non,X,X,,,,,,,
Plaine des Merles,15.8,1808,1346,534,Vendredi 3h00,Vendredi 8h45,7.9,O,Non,,,,,,,,,
RF départ Sentier Scout,18.0,1635,1364,725,Vendredi 3h30,Vendredi 10h15,2.2,O,Non,,,,,,,,,
La Plaque,24.0,897,1434,1533,Vendredi 4h30,Vendredi 12h30,6.0,X,Non,X,X,,,,,,,
Aurère Ecole,26.7,914,1640,1722,Vendredi 5h00,Vendredi 13h30,2.7,O,Non,,,,,,,,,
La Porte Rivière des Galets,31.5,283,1686,2400,Vendredi 5h30,Vendredi 15h45,4.8,X,Non,X,X,,,,,,,
Deux Bras,33.0,258,1689,2427,Vendredi 6h30,Vendredi 18h00,1.5,O,Non,,,,,,,,,
Dos D'Ane,38.0,818,2390,2568,Vendredi 8h00,Vendredi 20h20,5.0,X,Non,X,X,,,,,,,
Chemin Ratinaud,41.3,439,2394,2950,Vendredi 8h30,Vendredi 22h00,3.3,X,Non,X,X,,,,,,,
Fin du sentier Kalla,47.4,67,2583,3510,,,6.1,X,Non,X,X,,,,,,,
La Possession - Ecole Evariste de Parny,49.5,3,2586,3578,,,2.1,O,Non,,,,,,,,,
Grande Chaloupe,56.8,9,2938,3924,,,7.3,O,Non,,,,,,,,,
Saint Bernard - Les Bambous,61.2,455,3410,3950,,,4.4,X,Non,X,X,,,,,,,
Colorado,66.2,682,3775,4089,,,5.0,O,Non,,,,,,,,,
Belvédère de La Vigie,70.2,347,3783,4432,,,4.0,X,Non,,,,,,,,,
La Redoute,73.2,53,3813,4756,,,3.0,,Non,,,,,,,,,
