portion_name,Meilleure perf,Type de tronçon,Quart de course,secteur_quart
Hell-Bourg → Merles,Alexandre DEPECHE (01:43:28),Montée,Premier quart,Hell-Bourg → Merles
Merles → Sen. Scout,Alexandre DEPECHE (00:10:49),Descente,Deuxième quart,Merles → Deux Bras
Sen. Scout → Aurère,Alexandre DEPECHE (00:52:48),Descente,Deuxième quart,Merles → Deux Bras
Aurère → Deux Bras,Rivosoa Hobilalaina ANDRIANIRINA (00:37:20),Descente,Deuxième quart,Merles → Deux Bras
Deux Bras → Dos d'Ane,Matis FUGIER (00:55:39),Montée,Troisième quart,Deux Bras → Possession
Dos d'Ane → Ratinaud,Jean Charles BRETON (00:15:54),Descente,Troisième quart,Deux Bras → Possession
Ratinaud → Possession,Rivosoa Hobilalaina ANDRIANIRINA (00:53:23),Descente,Troisième quart,Deux Bras → Possession
Possession → Chaloupe,Antoine COMPAROT (00:49:34),Montée,Quatrième quart,Possession → St Denis
Chaloupe → Colorado,Nicolas MARCY (01:10:53),Montée,Quatrième quart,Possession → St Denis
Colorado → St Denis,Nicolas MARCY (00:30:41),Descente,Quatrième quart,Possession → St Denis
