checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Hell-Bourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merles,15930,1304,491,2024-10-18T06:10:00.000+04:00,15.93,1304,491,15.93,1304.0,491.0,0.0,81.85812931575643,30.822347771500315,0.20865466223921447,0.013098221107295322,2024
Sen. Scout,18074,1352,707,2024-10-18T06:40:00.000+04:00,18.074,1352,707,2.144000000000002,48.0,216.0,15.93,22.388059701492516,100.74626865671632,0.025198426983045804,0.011752997660002696,2024
Aurère,26840,1697,1782,2024-10-18T08:55:00.000+04:00,26.84,1697,1782,8.765999999999998,345.0,1075.0,18.074,39.35660506502396,122.63289984029207,0.11128793622250388,0.012695406824378724,2024
Deux Bras,33260,1771,2508,2024-10-18T10:25:00.000+04:00,33.26,1771,2508,6.419999999999998,74.0,726.0,26.84,11.526479750778819,113.08411214953274,0.07777299553175343,0.012114173758840103,2024
Dos d'Ane,37952,2513,2678,2024-10-18T12:40:00.000+04:00,37.952,2513,2678,4.692,742.0,170.0,33.26,158.14151747655583,36.231884057971016,0.11478333987615169,0.024463627424584758,2024
Ratinaud,41399,2530,3081,2024-10-18T13:40:00.000+04:00,41.399,2530,3081,3.4470000000000027,17.0,403.0,37.952,4.931824775166808,116.91325790542491,0.03116948492619264,0.00904249635224619,2024
Possession,49919,2719,3702,2024-10-18T15:55:00.000+04:00,49.919,2719,3702,8.519999999999996,189.0,621.0,41.399,22.183098591549307,72.88732394366201,0.11198866492483293,0.013144209498219834,2024
Chaloupe,57248,3105,4020,2024-10-18T18:10:00.000+04:00,57.248,3105,4020,7.329000000000001,386.0,318.0,49.919,52.667485332241775,43.38927548096602,0.10463985260343868,0.014277507518548052,2024
Colorado,65821,3856,4181,2024-10-18T20:40:00.000+04:00,65.821,3856,4181,8.573,751.0,161.0,57.248,87.60060655546482,18.779890353435203,0.14612293275125993,0.01704455065336054,2024
St Denis,70393,3856,4795,2024-10-18T22:10:00.000+04:00,70.393,3856,4795,4.572000000000003,0.0,614.0,65.821,0.0,134.29571303587045,0.06838170394160657,0.01495662815870659,2024
