bib,name,status,category,sex,country,Hell-Bourg,Merles,Sen. Scout,Aurère,Deux Bras,Dos d'Ane,Ratinaud,Possession,Colorado,St Denis,Chaloupe
3365,Noël GIORDANO,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T02:55:32.000+00:00,2022-10-21T03:07:49.000+00:00,2022-10-21T04:06:44.000+00:00,2022-10-21T04:47:04.000+00:00,2022-10-21T05:46:52.000+00:00,2022-10-21T06:03:02.000+00:00,2022-10-21T06:57:25.000+00:00,2022-10-21T09:20:31.000+00:00,2022-10-21T09:51:01.000+00:00,
4513,Moises JIMENEZ,FINISHER,SE H,MALE,VE,2022-10-21T01:00:01.000+00:00,2022-10-21T02:55:30.000+00:00,2022-10-21T03:09:00.000+00:00,2022-10-21T04:09:47.000+00:00,2022-10-21T04:51:07.000+00:00,2022-10-21T05:48:38.000+00:00,2022-10-21T06:05:05.000+00:00,2022-10-21T06:59:14.000+00:00,2022-10-21T09:20:29.000+00:00,2022-10-21T09:56:28.000+00:00,
4361,Loic GAUVIN,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T02:55:33.000+00:00,2022-10-21T03:09:02.000+00:00,2022-10-21T04:10:24.000+00:00,2022-10-21T04:51:33.000+00:00,2022-10-21T05:57:49.000+00:00,2022-10-21T06:16:21.000+00:00,2022-10-21T07:16:05.000+00:00,2022-10-21T09:44:10.000+00:00,2022-10-21T10:17:00.000+00:00,2022-10-21T08:13:55.000+00:00
3304,Emmanuel HADOUX,FINISHER,M2 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T02:57:30.000+00:00,2022-10-21T03:12:15.000+00:00,2022-10-21T04:14:11.000+00:00,2022-10-21T04:53:45.000+00:00,2022-10-21T05:52:23.000+00:00,2022-10-21T06:07:50.000+00:00,2022-10-21T07:02:45.000+00:00,2022-10-21T09:45:17.000+00:00,2022-10-21T10:22:32.000+00:00,2022-10-21T08:03:40.000+00:00
3880,Sandy RÉTHORET,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T02:55:32.000+00:00,2022-10-21T03:09:03.000+00:00,2022-10-21T04:10:58.000+00:00,2022-10-21T04:52:34.000+00:00,2022-10-21T05:57:15.000+00:00,2022-10-21T06:13:57.000+00:00,2022-10-21T07:16:24.000+00:00,2022-10-21T09:49:11.000+00:00,2022-10-21T10:31:47.000+00:00,2022-10-21T08:20:22.000+00:00
3501,Alexandre DEPECHE,FINISHER,M0 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T02:55:59.000+00:00,2022-10-21T03:10:47.000+00:00,2022-10-21T04:17:15.000+00:00,2022-10-21T05:04:35.000+00:00,2022-10-21T06:10:50.000+00:00,2022-10-21T06:30:19.000+00:00,2022-10-21T07:38:37.000+00:00,2022-10-21T09:57:54.000+00:00,2022-10-21T10:36:03.000+00:00,2022-10-21T08:34:23.000+00:00
3964,Jean Philippe VITRY,FINISHER,M0 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:01:33.000+00:00,2022-10-21T03:15:45.000+00:00,2022-10-21T04:20:40.000+00:00,2022-10-21T05:05:23.000+00:00,2022-10-21T06:10:49.000+00:00,2022-10-21T06:28:36.000+00:00,2022-10-21T07:30:34.000+00:00,2022-10-21T10:04:15.000+00:00,2022-10-21T10:41:55.000+00:00,2022-10-21T08:29:34.000+00:00
4454,Jovanny GONNEAU,FINISHER,M0 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T02:57:25.000+00:00,2022-10-21T03:11:56.000+00:00,2022-10-21T04:20:12.000+00:00,2022-10-21T05:04:37.000+00:00,2022-10-21T06:09:28.000+00:00,2022-10-21T06:28:31.000+00:00,2022-10-21T07:31:36.000+00:00,2022-10-21T10:11:17.000+00:00,2022-10-21T10:54:06.000+00:00,2022-10-21T08:35:55.000+00:00
4276,Loïc BOYER,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T02:55:30.000+00:00,2022-10-21T03:07:47.000+00:00,2022-10-21T04:06:46.000+00:00,2022-10-21T04:47:06.000+00:00,2022-10-21T05:51:27.000+00:00,2022-10-21T06:08:32.000+00:00,2022-10-21T07:11:30.000+00:00,2022-10-21T10:25:30.000+00:00,2022-10-21T11:12:24.000+00:00,2022-10-21T08:26:26.000+00:00
4398,Gilsey FÉLICITÉ,FINISHER,M1 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:03:33.000+00:00,2022-10-21T03:17:45.000+00:00,2022-10-21T04:26:38.000+00:00,2022-10-21T05:11:19.000+00:00,2022-10-21T06:18:02.000+00:00,2022-10-21T06:38:15.000+00:00,2022-10-21T07:44:41.000+00:00,2022-10-21T10:34:58.000+00:00,2022-10-21T11:12:28.000+00:00,2022-10-21T08:49:55.000+00:00
3799,Louis VANNUCCI,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:06:36.000+00:00,2022-10-21T03:21:18.000+00:00,2022-10-21T04:30:12.000+00:00,2022-10-21T05:17:59.000+00:00,2022-10-21T06:27:08.000+00:00,2022-10-21T06:46:43.000+00:00,2022-10-21T07:52:16.000+00:00,2022-10-21T10:39:36.000+00:00,2022-10-21T11:26:55.000+00:00,2022-10-21T08:59:47.000+00:00
3469,Raphael ZITTE,FINISHER,M0 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:06:54.000+00:00,2022-10-21T03:24:08.000+00:00,2022-10-21T04:37:03.000+00:00,2022-10-21T05:27:38.000+00:00,2022-10-21T06:35:24.000+00:00,2022-10-21T06:55:47.000+00:00,2022-10-21T08:03:47.000+00:00,2022-10-21T10:49:11.000+00:00,2022-10-21T11:27:46.000+00:00,2022-10-21T09:10:57.000+00:00
3942,Olivier PARMENTIER,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:03:25.000+00:00,2022-10-21T03:17:43.000+00:00,2022-10-21T04:25:04.000+00:00,2022-10-21T05:09:37.000+00:00,2022-10-21T06:18:04.000+00:00,2022-10-21T06:38:15.000+00:00,2022-10-21T07:47:32.000+00:00,2022-10-21T10:42:17.000+00:00,2022-10-21T11:28:21.000+00:00,2022-10-21T08:56:28.000+00:00
3394,Amélie HUCHET,FINISHER,SE F,FEMALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:09:54.000+00:00,2022-10-21T03:25:01.000+00:00,2022-10-21T04:38:17.000+00:00,2022-10-21T05:28:00.000+00:00,2022-10-21T06:35:58.000+00:00,2022-10-21T06:55:50.000+00:00,2022-10-21T08:05:08.000+00:00,2022-10-21T10:49:49.000+00:00,2022-10-21T11:29:19.000+00:00,2022-10-21T09:11:38.000+00:00
3266,Jean Paul VILLAIN,FINISHER,M0 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:04:31.000+00:00,2022-10-21T03:19:52.000+00:00,2022-10-21T04:29:59.000+00:00,2022-10-21T05:20:18.000+00:00,2022-10-21T06:32:05.000+00:00,2022-10-21T06:51:51.000+00:00,2022-10-21T07:54:52.000+00:00,2022-10-21T10:49:30.000+00:00,2022-10-21T11:29:20.000+00:00,2022-10-21T09:02:41.000+00:00
3388,Ronan QUERE,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:13:01.000+00:00,2022-10-21T03:28:26.000+00:00,2022-10-21T04:37:21.000+00:00,2022-10-21T05:27:43.000+00:00,2022-10-21T06:37:14.000+00:00,2022-10-21T06:56:26.000+00:00,2022-10-21T08:01:11.000+00:00,2022-10-21T10:52:23.000+00:00,2022-10-21T11:31:00.000+00:00,2022-10-21T09:09:37.000+00:00
4566,Teddy NICOLAS,FINISHER,SE H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:05:39.000+00:00,2022-10-21T03:20:53.000+00:00,2022-10-21T04:30:02.000+00:00,2022-10-21T05:20:11.000+00:00,2022-10-21T06:27:44.000+00:00,2022-10-21T06:47:02.000+00:00,2022-10-21T07:58:26.000+00:00,2022-10-21T10:57:04.000+00:00,2022-10-21T11:37:13.000+00:00,2022-10-21T09:13:55.000+00:00
4094,Yoann BARRET,FINISHER,M0 H,MALE,FR,2022-10-21T01:00:01.000+00:00,2022-10-21T03:12:59.000+00:00,2022-10-21T03:29:49.000+00:00,2022-10-21T04:43:32.000+00:00,2022-10-21T05:34:05.000+00:00,2022-10-21T06:49:10.000+00:00,2022-10-21T07:09:14.000+00:00,2022-10-21T08:20:58.000+00:00,2022-10-21T10:59:01.000+00:00,2022-10-21T11:38:06.000+00:00,2022-10-21T09:24:18.000+00:00
