bib,name,status,category,sex,country,Hell-Bourg,Merles,Sen. Scout,Aurère,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
4632,Loïc BOYER,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:50:20.000+00:00,2023-10-20T03:04:59.000+00:00,2023-10-20T04:05:42.000+00:00,2023-10-20T04:48:28.000+00:00,2023-10-20T05:45:08.000+00:00,2023-10-20T06:01:26.000+00:00,2023-10-20T06:53:41.000+00:00,2023-10-20T07:45:52.000+00:00,2023-10-20T09:06:41.000+00:00,2023-10-20T10:47:55.000+00:00
3691,Alexandre DEPECHE,FINISHER,M0 H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:50:21.000+00:00,2023-10-20T03:05:01.000+00:00,2023-10-20T04:05:40.000+00:00,2023-10-20T04:48:26.000+00:00,2023-10-20T05:49:26.000+00:00,2023-10-20T06:07:46.000+00:00,2023-10-20T07:05:38.000+00:00,2023-10-20T07:56:28.000+00:00,2023-10-20T09:22:52.000+00:00,2023-10-20T10:00:23.000+00:00
3393,Matis FUGIER,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:48:44.000+00:00,2023-10-20T03:01:26.000+00:00,2023-10-20T03:59:59.000+00:00,2023-10-20T04:39:03.000+00:00,2023-10-20T05:38:18.000+00:00,2023-10-20T05:58:19.000+00:00,2023-10-20T06:54:44.000+00:00,2023-10-20T07:56:37.000+00:00,2023-10-20T09:20:31.000+00:00,2023-10-20T10:00:30.000+00:00
3416,Orlan AYADEN,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:50:50.000+00:00,2023-10-20T03:04:57.000+00:00,2023-10-20T04:05:43.000+00:00,2023-10-20T04:48:24.000+00:00,2023-10-20T05:45:07.000+00:00,2023-10-20T06:01:27.000+00:00,2023-10-20T07:08:29.000+00:00,2023-10-20T08:06:44.000+00:00,2023-10-20T09:31:35.000+00:00,2023-10-20T10:18:40.000+00:00
3788,Emmanuel HADOUX,FINISHER,M2 H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:57:00.000+00:00,2023-10-20T03:16:00.000+00:00,2023-10-20T04:19:34.000+00:00,2023-10-20T05:03:09.000+00:00,2023-10-20T06:04:42.000+00:00,2023-10-20T06:22:46.000+00:00,2023-10-20T07:22:36.000+00:00,2023-10-20T08:18:21.000+00:00,2023-10-20T09:47:49.000+00:00,2023-10-20T10:28:06.000+00:00
3056,Jean Charles BRETON,FINISHER,M0 H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:57:23.000+00:00,2023-10-20T03:13:16.000+00:00,2023-10-20T04:19:40.000+00:00,2023-10-20T05:06:58.000+00:00,2023-10-20T06:08:17.000+00:00,2023-10-20T06:26:07.000+00:00,2023-10-20T07:30:49.000+00:00,2023-10-20T08:36:57.000+00:00,2023-10-20T10:01:54.000+00:00,2023-10-20T11:33:12.000+00:00
3845,Axelle HENRY,FINISHER,SE F,FEMALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:59:23.000+00:00,2023-10-20T03:15:07.000+00:00,2023-10-20T04:17:19.000+00:00,2023-10-20T05:01:44.000+00:00,2023-10-20T06:04:09.000+00:00,2023-10-20T06:21:46.000+00:00,2023-10-20T07:22:48.000+00:00,2023-10-20T08:25:11.000+00:00,2023-10-20T09:55:33.000+00:00,2023-10-20T15:33:47.000+00:00
4246,Nicolas MARCY,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:59:36.000+00:00,2023-10-20T03:16:34.000+00:00,2023-10-20T04:23:24.000+00:00,2023-10-20T05:07:28.000+00:00,2023-10-20T06:11:13.000+00:00,2023-10-20T06:28:10.000+00:00,2023-10-20T07:34:58.000+00:00,2023-10-20T08:31:33.000+00:00,2023-10-20T10:02:28.000+00:00,2023-10-20T10:39:04.000+00:00
3887,Stéphane ODULES,FINISHER,M1 H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:59:23.000+00:00,2023-10-20T03:14:47.000+00:00,2023-10-20T04:18:38.000+00:00,2023-10-20T05:01:15.000+00:00,2023-10-20T06:07:56.000+00:00,2023-10-20T06:25:23.000+00:00,2023-10-20T07:25:43.000+00:00,2023-10-20T08:28:07.000+00:00,2023-10-20T10:05:49.000+00:00,2023-10-20T10:46:06.000+00:00
3057,William ROSTAN,FINISHER,M0 H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:56:43.000+00:00,2023-10-20T03:13:58.000+00:00,2023-10-20T04:15:48.000+00:00,2023-10-20T04:57:44.000+00:00,2023-10-20T06:00:42.000+00:00,2023-10-20T06:19:50.000+00:00,2023-10-20T07:20:30.000+00:00,2023-10-20T08:28:06.000+00:00,2023-10-20T10:12:16.000+00:00,2023-10-20T10:54:29.000+00:00
3320,Antoine DAVOST,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T03:04:39.000+00:00,2023-10-20T03:22:31.000+00:00,2023-10-20T04:25:53.000+00:00,2023-10-20T05:14:36.000+00:00,2023-10-20T06:17:05.000+00:00,2023-10-20T06:35:38.000+00:00,2023-10-20T07:39:19.000+00:00,2023-10-20T08:38:58.000+00:00,2023-10-20T10:10:03.000+00:00,2023-10-20T10:55:08.000+00:00
3979,Loïc MOUSSELET,FINISHER,M1 H,MALE,RE,2023-10-20T01:00:00.000+00:00,2023-10-20T03:04:53.000+00:00,2023-10-20T03:22:30.000+00:00,2023-10-20T04:25:55.000+00:00,2023-10-20T05:09:54.000+00:00,2023-10-20T06:17:13.000+00:00,2023-10-20T06:36:15.000+00:00,2023-10-20T07:42:49.000+00:00,2023-10-20T08:44:13.000+00:00,2023-10-20T10:17:52.000+00:00,2023-10-20T10:57:17.000+00:00
4537,Omar KADDOUR HAMISSI,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T03:03:01.000+00:00,2023-10-20T03:18:28.000+00:00,2023-10-20T04:19:01.000+00:00,2023-10-20T05:02:33.000+00:00,2023-10-20T06:11:44.000+00:00,2023-10-20T06:31:28.000+00:00,2023-10-20T07:42:32.000+00:00,2023-10-20T08:49:16.000+00:00,2023-10-20T10:27:42.000+00:00,2023-10-20T11:10:28.000+00:00
4431,Johny VALIN,FINISHER,M2 H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:57:37.000+00:00,2023-10-20T03:13:18.000+00:00,2023-10-20T04:17:59.000+00:00,2023-10-20T05:03:29.000+00:00,2023-10-20T06:15:34.000+00:00,2023-10-20T06:36:48.000+00:00,2023-10-20T07:44:43.000+00:00,2023-10-20T08:51:08.000+00:00,2023-10-20T10:27:34.000+00:00,2023-10-20T11:12:34.000+00:00
3778,Quentin BUISSON,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T03:10:18.000+00:00,2023-10-20T03:29:45.000+00:00,2023-10-20T04:40:01.000+00:00,2023-10-20T05:29:30.000+00:00,2023-10-20T06:33:55.000+00:00,2023-10-20T06:55:04.000+00:00,2023-10-20T08:00:16.000+00:00,2023-10-20T09:01:46.000+00:00,2023-10-20T10:34:22.000+00:00,2023-10-20T11:18:30.000+00:00
4351,Jovanny GONNEAU,FINISHER,M1 H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T03:03:50.000+00:00,2023-10-20T03:20:27.000+00:00,2023-10-20T04:30:48.000+00:00,2023-10-20T05:18:46.000+00:00,2023-10-20T06:22:02.000+00:00,2023-10-20T06:43:33.000+00:00,2023-10-20T07:44:03.000+00:00,2023-10-20T08:48:38.000+00:00,2023-10-20T10:36:13.000+00:00,2023-10-20T11:21:22.000+00:00
4588,Aurélien DAMBREVILLE,FINISHER,SE H,MALE,FR,2023-10-20T01:00:00.000+00:00,2023-10-20T02:59:21.000+00:00,2023-10-20T03:17:12.000+00:00,2023-10-20T04:20:54.000+00:00,2023-10-20T05:08:43.000+00:00,2023-10-20T06:19:27.000+00:00,2023-10-20T06:40:14.000+00:00,2023-10-20T07:49:48.000+00:00,2023-10-20T08:58:48.000+00:00,2023-10-20T10:39:38.000+00:00,2023-10-20T11:27:13.000+00:00
3721,Sylvain LÉONARD,FINISHER,SE H,MALE,BE,2023-10-20T01:00:00.000+00:00,2023-10-20T03:05:00.000+00:00,2023-10-20T03:23:04.000+00:00,2023-10-20T04:29:16.000+00:00,2023-10-20T05:24:30.000+00:00,2023-10-20T06:32:13.000+00:00,2023-10-20T06:52:52.000+00:00,2023-10-20T08:04:47.000+00:00,2023-10-20T09:12:54.000+00:00,2023-10-20T10:47:50.000+00:00,2023-10-20T11:29:47.000+00:00
