year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2024,7007,le grand raid de la réunion - la diagonale des fous,167300.0,9710,MALE,100M,1795,60:49:32,2023,FR
2024,7007,le grand raid de la réunion - trail de bourbon,109200.0,5960,MALE,100K,643,37:25:53,2022,FR
2024,7007,le grand raid de la réunion - la mascareignes,72000.0,3874,MALE,100K,648,19:13:21,2021,FR
2024,7008,le grand raid de la réunion - zembrocal trail relais1,37200.0,2720,MALE,50K,184,09:52:05,2022,FR
2024,7013,trail nbz  - le pourcharet,29000.0,990,MALE,20K,183,03:59:44,2024,FR
2024,7013,trail de vulcain - marathon volcanique,48000.0,1840,MALE,50K,419,06:55:26,2024,FR
2024,7013,ardeche trail - la voie romaine - la virée des chateaux - 36km,36000.0,1700,MALE,50K,220,04:52:24,2023,FR
2024,7013,tour du nipalou 53km - tour du nipalou 21km,21000.0,1000,MALE,20K,79,02:46:01,2022,FR
2024,7013,les trails du sancy - le trail du sancy,33300.0,2000,MALE,50K,526,05:42:30,2022,FR
2024,7015,le grand raid de la réunion - la diagonale des fous,167300.0,9710,MALE,100M,476,43:02:19,2023,FR
2024,7019,grand raid des pyrénées - tour des lacs,80000.0,5000,MALE,100K,1267,25:21:19,2024,FR
2024,7019,le grand raid de la réunion - trail de bourbon,109000.0,6328,MALE,100M,1007,40:35:42,2023,FR
2024,7019,le grand raid de la réunion - la diagonale des fous,168400.0,10250,MALE,100M,1884,65:27:27,2022,FR
2024,7019,trail de minuit - trail de minuit,54200.0,3180,MALE,50K,512,12:02:53,2022,FR
2024,7019,le grand raid de la réunion - trail de bourbon,105100.0,6131,MALE,100K,717,39:37:13,2021,FR
2024,7020,préalpes trail du mouret #6 - trail surprise,23790.0,943,MALE,20K,86,03:43:32,2024,CH
2024,7020,corfu mountain trail - olive tree trail 24 km,24500.0,1200,MALE,20K,50,03:53:00,2023,GR
2024,7020,ultra madeira® - trail 30km,27200.0,1360,MALE,20K,67,04:32:33,2022,PT
2024,7020,trail de la dent de broc - tdb | 22km,22000.0,1700,MALE,20K,136,04:11:39,2022,CH
2024,7020,eiger ultra-trail® by UTMB - e35 north face trail,35000.0,2500,MALE,50K,285,06:59:36,2022,CH
2024,7020,trail verbier st bernard by UTMB - verbier x-plore,26000.0,1700,MALE,20K,296,05:05:41,2022,CH
2024,7020,tenerife bluetrail - mediatrail,23600.0,1106,MALE,20K,264,03:30:49,2022,ES
2024,7020,supertrail du barlatay - trail découverte,24300.0,1390,MALE,20K,76,04:09:02,2021,CH
2024,7020,gruyère trail charmey (gtc) - gtc_24,24100.0,1510,MALE,20K,228,04:17:21,2021,CH
2024,7020,torgon portes du soleil - 20 k,19500.0,1460,MALE,20K,174,03:41:18,2021,CH
2024,7021,meribel trail - 25 km,23900.0,1830,MALE,20K,268,06:08:58,2024,FR
2024,7021,gruissan poli trail - las caladas,25000.0,800,MALE,20K,288,03:01:57,2020,FR
2024,7022,mauritius by UTMB - bel ombre,59100.0,1790,MALE,50K,239,12:47:13,2024,MU
2024,7022,utcs - trail ambodirano - utcs - trail ambodirano,31000.0,1000,MALE,20K,207,06:10:09,2024,MG
