distance_cum,altitude,lon,lat
0,6,55.26093,-21.01589
29,6,55.26089,-21.01563
64,6,55.26094,-21.01532
93,6,55.26113,-21.01512
123,6,55.26134,-21.01494
151,7,55.2616,-21.01486
195,7,55.262,-21.01476
233,6,55.26234,-21.01462
272,6,55.26271,-21.01456
417,6,55.26409,-21.01439
453,6,55.26444,-21.01435
516,6,55.26504,-21.0143
556,6,55.26542,-21.01431
617,7,55.26599,-21.01445
653,7,55.26632,-21.01456
703,7,55.26674,-21.01477
772,6,55.26734,-21.01505
810,5,55.26769,-21.01512
851,4,55.26809,-21.01513
919,4,55.26874,-21.01509
948,4,55.26902,-21.01509
990,4,55.26942,-21.01507
1026,4,55.26976,-21.01501
1076,4,55.27021,-21.01485
1115,4,55.27057,-21.01474
1144,4,55.27085,-21.01472
1189,4,55.27127,-21.01481
1225,4,55.27156,-21.01463
1325,5,55.27245,-21.0143
1354,6,55.2726,-21.01407
1392,5,55.27281,-21.01435
1422,4,55.27309,-21.01437
1471,4,55.27353,-21.01421
1527,4,55.27402,-21.01399
1564,4,55.27435,-21.01387
1617,4,55.27469,-21.01351
1647,4,55.27486,-21.01329
1686,5,55.27506,-21.01299
1734,7,55.27536,-21.01267
1776,7,55.27571,-21.01247
1805,7,55.27597,-21.01238
1854,6,55.27634,-21.01211
1914,4,55.27688,-21.01191
1950,3,55.27722,-21.01195
1988,3,55.27757,-21.01207
2070,5,55.27833,-21.01225
2118,5,55.27879,-21.01222
2150,5,55.27906,-21.01208
2196,5,55.27947,-21.01193
2238,4,55.27986,-21.01181
2281,4,55.28023,-21.01164
2351,3,55.28087,-21.01145
2399,3,55.28131,-21.01131
2537,3,55.28258,-21.01096
2571,3,55.28288,-21.01084
2600,3,55.28312,-21.0107
2643,3,55.28349,-21.01052
2702,4,55.28398,-21.01026
2754,4,55.2844,-21.01001
2823,5,55.28499,-21.00971
2860,5,55.28528,-21.00953
2894,4,55.28559,-21.00941
2985,4,55.28633,-21.00898
3021,4,55.28663,-21.00881
3073,9,55.28704,-21.00907
3097,13,55.28725,-21.00916
3129,15,55.28752,-21.00901
3162,18,55.28779,-21.00916
3194,23,55.28801,-21.00936
3227,28,55.28817,-21.00961
3273,35,55.28829,-21.01
3311,41,55.28852,-21.01027
3344,45,55.28876,-21.01046
3375,48,55.28903,-21.01057
3411,52,55.28933,-21.01074
3439,54,55.28959,-21.01079
3471,61,55.28988,-21.01071
3528,66,55.29042,-21.01064
3559,72,55.2907,-21.01072
3609,77,55.29102,-21.01106
3635,82,55.29099,-21.01128
3663,88,55.29072,-21.0113
3696,90,55.29041,-21.01134
3718,95,55.29031,-21.01151
3752,101,55.29054,-21.01172
3777,105,55.29036,-21.01187
3798,116,55.2904,-21.01203
3834,120,55.29008,-21.01217
3862,134,55.29028,-21.0123
3877,133,55.29018,-21.01239
3906,135,55.28991,-21.01248
3946,148,55.28963,-21.01271
3974,151,55.2894,-21.01284
4011,161,55.28934,-21.01316
4050,168,55.28943,-21.01349
4078,175,55.28969,-21.01351
4146,184,55.29027,-21.01378
4184,189,55.29059,-21.01396
4216,196,55.29064,-21.01423
4256,202,55.29078,-21.01456
4282,205,55.29093,-21.01437
4310,211,55.29109,-21.01457
4342,218,55.29119,-21.01483
4375,224,55.29148,-21.01471
4402,231,55.29163,-21.0149
4433,236,55.29177,-21.01515
4465,240,55.29196,-21.01536
4500,245,55.29228,-21.01547
4543,255,55.29264,-21.01564
4607,269,55.29321,-21.01581
4639,273,55.29346,-21.01598
4684,277,55.29388,-21.01603
4717,277,55.2942,-21.01602
4745,278,55.29447,-21.01604
4774,275,55.29475,-21.01605
4800,278,55.29496,-21.01618
4831,273,55.29508,-21.01643
4863,274,55.29525,-21.01667
4889,267,55.29533,-21.01689
4916,276,55.29551,-21.01673
4943,275,55.2956,-21.01696
4977,287,55.29585,-21.01715
5006,292,55.29605,-21.01733
5038,298,55.29634,-21.0174
5071,306,55.29663,-21.01732
5109,312,55.29692,-21.01752
5136,314,55.29717,-21.01746
5173,315,55.2975,-21.01732
5199,314,55.29767,-21.01715
5226,320,55.29787,-21.017
5253,326,55.29812,-21.01696
5282,332,55.29838,-21.01705
5319,339,55.29872,-21.017
5347,342,55.29898,-21.01693
5377,344,55.29916,-21.01672
5402,349,55.29938,-21.0168
5434,353,55.29941,-21.01709
5456,359,55.29961,-21.0171
5479,362,55.29977,-21.01724
5513,370,55.30003,-21.01742
5548,373,55.30036,-21.01747
5580,378,55.30055,-21.01769
5609,383,55.30075,-21.01787
5640,388,55.30084,-21.01813
5685,390,55.30105,-21.01849
5716,396,55.30117,-21.01874
5742,401,55.30142,-21.01877
5776,402,55.30164,-21.01855
5806,404,55.30191,-21.01845
5843,405,55.30223,-21.0183
5881,405,55.30254,-21.01812
5929,405,55.30294,-21.01791
6011,403,55.30354,-21.01742
6026,402,55.30366,-21.01736
6035,402,55.30371,-21.01729
6068,401,55.30387,-21.01703
6097,400,55.3041,-21.01689
6147,400,55.30457,-21.01679
6173,399,55.30473,-21.01661
6194,400,55.30476,-21.01642
6217,400,55.3048,-21.01622
6246,400,55.30497,-21.01601
6281,400,55.30518,-21.01576
6311,400,55.30543,-21.01562
6336,397,55.30561,-21.01547
6368,397,55.3056,-21.01518
6414,395,55.30594,-21.01492
6448,394,55.30615,-21.01468
6484,392,55.30612,-21.01436
6519,391,55.3061,-21.01404
6553,388,55.30623,-21.01376
6581,387,55.30637,-21.01355
6604,387,55.30658,-21.01348
6630,389,55.30681,-21.0134
6652,383,55.30686,-21.0132
6688,372,55.30686,-21.01289
6719,369,55.30688,-21.01261
6762,363,55.30699,-21.01224
6790,359,55.3069,-21.012
6818,353,55.30691,-21.01175
6842,346,55.3069,-21.01155
6866,343,55.30688,-21.01133
6897,342,55.30679,-21.01106
6928,339,55.30665,-21.01082
6955,335,55.30658,-21.01059
6988,333,55.30663,-21.01029
7014,328,55.3066,-21.01006
7045,325,55.3067,-21.0098
7104,325,55.3072,-21.00955
7146,323,55.3076,-21.00951
7170,319,55.30778,-21.00937
7203,322,55.30798,-21.00914
7236,322,55.30817,-21.0089
7282,321,55.30835,-21.00852
7310,320,55.3086,-21.00843
7337,317,55.3086,-21.00819
7361,313,55.30862,-21.00797
7404,313,55.30891,-21.0077
7437,306,55.30904,-21.00743
7469,303,55.3088,-21.00761
7507,303,55.30848,-21.00777
7524,297,55.30845,-21.00762
7552,291,55.30855,-21.00739
7583,288,55.30857,-21.00711
7612,280,55.3087,-21.00689
7648,277,55.30874,-21.00657
7683,273,55.3089,-21.00629
7695,270,55.30879,-21.00626
7743,266,55.30844,-21.00653
7775,263,55.30822,-21.00674
7809,263,55.30795,-21.0069
7821,258,55.30788,-21.00681
7877,256,55.30808,-21.00634
7911,250,55.30828,-21.0061
7944,248,55.30843,-21.00584
7985,241,55.30809,-21.00602
8016,239,55.30781,-21.00612
8048,234,55.30752,-21.00605
8075,232,55.30775,-21.00594
8088,226,55.30768,-21.00585
8100,223,55.30763,-21.00575
8116,221,55.30754,-21.00564
8142,213,55.30758,-21.00542
8154,212,55.30746,-21.00541
8191,209,55.30711,-21.00536
8214,202,55.30724,-21.0052
8244,201,55.30695,-21.00521
8268,191,55.30699,-21.00501
8312,179,55.30719,-21.00468
8345,173,55.3073,-21.0044
8378,173,55.30737,-21.00411
8437,173,55.30785,-21.00383
8462,165,55.308,-21.00366
8494,167,55.30771,-21.00376
8528,162,55.30738,-21.00376
8557,157,55.30717,-21.00393
8608,155,55.30684,-21.00427
8638,149,55.30673,-21.00403
8672,144,55.30683,-21.00373
8696,141,55.30661,-21.00373
8725,132,55.30642,-21.00355
8780,130,55.30668,-21.00312
8817,126,55.30694,-21.0029
8850,125,55.30726,-21.00293
8885,115,55.30748,-21.0027
8921,114,55.30771,-21.00246
8970,111,55.30724,-21.00253
9006,106,55.30692,-21.00244
9034,101,55.30683,-21.0022
9063,91,55.30689,-21.00196
9091,86,55.30703,-21.00174
9123,86,55.30721,-21.00151
9152,83,55.3074,-21.00132
9193,78,55.30708,-21.0011
9223,75,55.30697,-21.00086
9251,72,55.30705,-21.00062
9280,66,55.307,-21.00037
9320,61,55.30661,-21.00032
9353,56,55.30643,-21.00009
9388,53,55.30663,-20.99983
9420,49,55.30685,-20.99963
9449,47,55.30707,-20.99948
9486,43,55.30742,-20.99941
9516,39,55.30768,-20.99929
9593,32,55.30798,-20.99866
9634,30,55.30812,-20.99832
9664,28,55.30819,-20.99805
9730,22,55.30819,-20.99746
9766,18,55.30824,-20.99714
9797,18,55.30843,-20.99692
9826,15,55.30859,-20.99671
9850,13,55.30855,-20.9965
9880,12,55.30835,-20.9963
9920,10,55.30808,-20.99604
9953,8,55.30796,-20.99577
9989,7,55.30785,-20.99546
10030,5,55.30796,-20.99511
10067,5,55.30818,-20.99484
10095,5,55.30839,-20.99468
