bib,name,status,category,sex,country,St Paul,Ecole  Bel,Ilet Savan,Ratinaud,Possession,Chaloupe,Colorado,St Denis
7109,Corentin FOURNI,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:05:44.000+04:00,2024-10-19T08:48:49.000+04:00,2024-10-19T09:45:38.000+04:00,2024-10-19T10:43:36.000+04:00,2024-10-19T11:46:13.000+04:00,2024-10-19T13:22:27.000+04:00,2024-10-19T14:00:13.000+04:00
7284,Leo SERCA,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:05:46.000+04:00,2024-10-19T08:52:04.000+04:00,2024-10-19T09:54:08.000+04:00,2024-10-19T10:55:43.000+04:00,2024-10-19T11:58:31.000+04:00,2024-10-19T13:33:09.000+04:00,2024-10-19T14:15:17.000+04:00
7491,Grégoire RUYSSEN,FINISHER,SE H,MALE,BE,2024-10-19T07:31:52.000+04:00,2024-10-19T08:08:16.000+04:00,2024-10-19T08:56:42.000+04:00,2024-10-19T10:06:53.000+04:00,2024-10-19T11:10:10.000+04:00,2024-10-19T12:08:38.000+04:00,2024-10-19T13:42:32.000+04:00,2024-10-19T14:18:31.000+04:00
7153,Jonathan COTTE,FINISHER,M0 H,MALE,MU,2024-10-19T07:31:52.000+04:00,2024-10-19T08:11:42.000+04:00,2024-10-19T09:01:58.000+04:00,2024-10-19T10:07:49.000+04:00,2024-10-19T11:08:28.000+04:00,2024-10-19T12:08:05.000+04:00,2024-10-19T13:42:35.000+04:00,2024-10-19T14:18:38.000+04:00
7026,Yannick IMBROSCIANO,FINISHER,M1 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:07:14.000+04:00,2024-10-19T08:54:54.000+04:00,2024-10-19T09:56:14.000+04:00,2024-10-19T10:58:41.000+04:00,2024-10-19T11:56:38.000+04:00,2024-10-19T13:38:55.000+04:00,2024-10-19T14:20:56.000+04:00
7411,Jean-Pierre CHOW-SHI-YEE,FINISHER,M4 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:11:49.000+04:00,2024-10-19T09:03:12.000+04:00,2024-10-19T10:13:15.000+04:00,2024-10-19T11:20:16.000+04:00,2024-10-19T12:21:14.000+04:00,2024-10-19T14:01:30.000+04:00,2024-10-19T14:43:10.000+04:00
7552,Tristan ROUX,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:12:36.000+04:00,2024-10-19T09:08:53.000+04:00,2024-10-19T10:19:57.000+04:00,2024-10-19T11:32:59.000+04:00,2024-10-19T12:34:29.000+04:00,2024-10-19T14:06:08.000+04:00,2024-10-19T14:43:40.000+04:00
7156,Julien WEISSENBACHER,FINISHER,M0 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:11:39.000+04:00,2024-10-19T09:04:41.000+04:00,2024-10-19T10:17:47.000+04:00,2024-10-19T11:21:22.000+04:00,2024-10-19T12:28:01.000+04:00,2024-10-19T14:02:54.000+04:00,2024-10-19T14:44:36.000+04:00
7373,Marcelle PUY,FINISHER,M4 F,FEMALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:12:03.000+04:00,2024-10-19T09:06:12.000+04:00,2024-10-19T10:13:13.000+04:00,2024-10-19T11:20:54.000+04:00,2024-10-19T12:25:50.000+04:00,2024-10-19T14:05:05.000+04:00,2024-10-19T14:49:19.000+04:00
7256,Vincent OPALA,FINISHER,M1 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:12:38.000+04:00,2024-10-19T09:06:58.000+04:00,2024-10-19T10:23:06.000+04:00,2024-10-19T11:31:15.000+04:00,2024-10-19T12:34:32.000+04:00,2024-10-19T14:12:29.000+04:00,2024-10-19T14:56:51.000+04:00
7186,Yassin KOO PIN HIN,FINISHER,M1 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:11:56.000+04:00,2024-10-19T09:06:14.000+04:00,2024-10-19T10:14:07.000+04:00,2024-10-19T11:23:57.000+04:00,2024-10-19T12:34:40.000+04:00,2024-10-19T14:17:14.000+04:00,2024-10-19T15:02:24.000+04:00
7209,Matthieu THOMAS,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:09:00.000+04:00,2024-10-19T08:58:26.000+04:00,2024-10-19T10:05:55.000+04:00,2024-10-19T11:09:29.000+04:00,2024-10-19T12:16:32.000+04:00,2024-10-19T14:06:04.000+04:00,2024-10-19T15:03:14.000+04:00
7044,Jean Stéphane NARBÉ,FINISHER,M1 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:16:13.000+04:00,2024-10-19T09:14:33.000+04:00,2024-10-19T10:24:12.000+04:00,2024-10-19T11:32:07.000+04:00,2024-10-19T12:35:16.000+04:00,2024-10-19T14:17:20.000+04:00,2024-10-19T15:07:49.000+04:00
7427,Brice Antoine DIJOUX,FINISHER,M1 H,MALE,RE,2024-10-19T07:31:52.000+04:00,2024-10-19T08:14:58.000+04:00,2024-10-19T09:08:50.000+04:00,2024-10-19T10:17:21.000+04:00,2024-10-19T11:22:03.000+04:00,2024-10-19T12:37:46.000+04:00,2024-10-19T14:31:00.000+04:00,2024-10-19T15:11:36.000+04:00
7315,Alexandre CAER,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:13:41.000+04:00,2024-10-19T09:07:03.000+04:00,2024-10-19T10:19:33.000+04:00,2024-10-19T11:33:33.000+04:00,2024-10-19T12:38:34.000+04:00,2024-10-19T14:25:06.000+04:00,2024-10-19T15:14:16.000+04:00
7378,Ivans LALIRON,FINISHER,M1 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:15:19.000+04:00,2024-10-19T09:11:46.000+04:00,2024-10-19T10:28:06.000+04:00,2024-10-19T11:39:07.000+04:00,2024-10-19T12:49:53.000+04:00,2024-10-19T14:32:14.000+04:00,2024-10-19T15:15:01.000+04:00
7282,Alexandre CHARLETTINE,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:09:04.000+04:00,2024-10-19T08:58:09.000+04:00,2024-10-19T10:07:35.000+04:00,2024-10-19T11:19:46.000+04:00,2024-10-19T12:32:56.000+04:00,2024-10-19T14:30:39.000+04:00,2024-10-19T15:20:27.000+04:00
7354,Céline LOUIS,FINISHER,M0 F,FEMALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:17:31.000+04:00,2024-10-19T09:16:51.000+04:00,2024-10-19T10:29:15.000+04:00,2024-10-19T11:40:37.000+04:00,2024-10-19T12:49:19.000+04:00,2024-10-19T14:32:29.000+04:00,2024-10-19T15:24:16.000+04:00
7236,Gilles SIMON,FINISHER,M0 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:12:25.000+04:00,2024-10-19T09:06:17.000+04:00,2024-10-19T10:17:48.000+04:00,2024-10-19T11:30:35.000+04:00,2024-10-19T12:48:36.000+04:00,2024-10-19T14:37:06.000+04:00,2024-10-19T15:27:27.000+04:00
7150,Chris Alexandre ROUSSETY,FINISHER,SE H,MALE,MU,2024-10-19T07:31:52.000+04:00,2024-10-19T08:16:27.000+04:00,2024-10-19T09:15:56.000+04:00,2024-10-19T10:27:55.000+04:00,2024-10-19T11:44:08.000+04:00,2024-10-19T12:54:32.000+04:00,2024-10-19T14:39:39.000+04:00,2024-10-19T15:31:04.000+04:00
7215,Jeremy RIVIERE,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:15:28.000+04:00,2024-10-19T09:12:10.000+04:00,2024-10-19T10:28:18.000+04:00,2024-10-19T11:41:12.000+04:00,2024-10-19T12:57:42.000+04:00,2024-10-19T14:42:32.000+04:00,2024-10-19T15:31:04.000+04:00
7252,Sabrina SAUVE,FINISHER,SE F,FEMALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:20:19.000+04:00,2024-10-19T09:22:25.000+04:00,2024-10-19T10:38:45.000+04:00,2024-10-19T11:58:19.000+04:00,2024-10-19T13:06:46.000+04:00,2024-10-19T14:46:32.000+04:00,2024-10-19T15:34:52.000+04:00
7107,Quentin GIRARD,FINISHER,SE H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:14:11.000+04:00,2024-10-19T09:07:35.000+04:00,2024-10-19T10:25:23.000+04:00,2024-10-19T11:42:14.000+04:00,2024-10-19T13:01:06.000+04:00,2024-10-19T14:52:37.000+04:00,2024-10-19T15:41:29.000+04:00
7258,Elise DUCHEZ,FINISHER,SE F,FEMALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:16:57.000+04:00,2024-10-19T09:13:30.000+04:00,2024-10-19T10:30:13.000+04:00,2024-10-19T11:44:14.000+04:00,2024-10-19T13:06:54.000+04:00,2024-10-19T14:57:02.000+04:00,2024-10-19T15:43:38.000+04:00
7340,Pascal FORTIN,FINISHER,M4 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:15:37.000+04:00,2024-10-19T09:11:52.000+04:00,2024-10-19T10:28:00.000+04:00,2024-10-19T11:48:00.000+04:00,2024-10-19T13:07:03.000+04:00,2024-10-19T15:04:00.000+04:00,2024-10-19T15:51:38.000+04:00
7532,Jimmy Marc PAYET,FINISHER,M3 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:17:36.000+04:00,2024-10-19T09:17:28.000+04:00,2024-10-19T10:43:52.000+04:00,2024-10-19T11:58:49.000+04:00,2024-10-19T13:17:27.000+04:00,2024-10-19T15:09:34.000+04:00,2024-10-19T15:57:34.000+04:00
7277,Martini ROBERT,FINISHER,M3 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:16:39.000+04:00,2024-10-19T09:13:35.000+04:00,2024-10-19T10:33:45.000+04:00,2024-10-19T11:58:20.000+04:00,2024-10-19T13:14:02.000+04:00,2024-10-19T15:09:36.000+04:00,2024-10-19T15:57:37.000+04:00
7155,Jean Loïc Sully DARID,FINISHER,M2 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:16:54.000+04:00,2024-10-19T09:16:32.000+04:00,2024-10-19T10:36:53.000+04:00,2024-10-19T11:54:36.000+04:00,2024-10-19T13:15:37.000+04:00,2024-10-19T15:14:50.000+04:00,2024-10-19T15:59:52.000+04:00
7350,Gilbert PERRIN,FINISHER,M1 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:16:28.000+04:00,2024-10-19T09:17:43.000+04:00,2024-10-19T10:44:10.000+04:00,2024-10-19T12:06:52.000+04:00,2024-10-19T13:23:42.000+04:00,2024-10-19T15:10:01.000+04:00,2024-10-19T16:01:51.000+04:00
7359,Eric MOISSON,FINISHER,M4 H,MALE,FR,2024-10-19T07:31:52.000+04:00,2024-10-19T08:16:04.000+04:00,2024-10-19T09:15:00.000+04:00,2024-10-19T10:39:01.000+04:00,2024-10-19T11:58:03.000+04:00,2024-10-19T13:25:24.000+04:00,2024-10-19T15:14:45.000+04:00,2024-10-19T16:02:23.000+04:00
