access,altitude,cutoff,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],1207,2022-10-21T20:20:00.000+00:00,0,0,0,False,True,-21.1363,55.4743,Cilaos (Stade),TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Cilaos,SIMPLE,[],2022-10-21T20:45:00.000+00:00,2022-10-21T20:45:00.000+00:00
[],1400,2022-10-21T22:45:00.000+00:00,8450,335,20,False,True,-21.13,55.4969,Mare à Joseph,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Mare Josep,SIMPLE,[],2022-10-21T21:35:00.000+00:00,2022-10-21T22:58:00.000+00:00
[],2476,2022-10-22T03:15:00.000+00:00,13440,1424,21,False,False,-21.1099,55.4961,Caverne Dufour,TDB,[],Cav Dufour,SIMPLE,[],2022-10-21T22:46:00.000+00:00,2022-10-22T02:11:00.000+00:00
[],1500,2022-10-22T05:45:00.000+00:00,22050,1437,22,False,False,-21.0611,55.5359,Bélouve,TDB,[],Bélouve,SIMPLE,[],2022-10-21T23:30:00.000+00:00,2022-10-22T04:25:00.000+00:00
[],992,2022-10-22T07:00:00.000+00:00,25710,1460,24,False,True,-21.0695,55.5205,Hell-Bourg,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Hell-Bourg,SIMPLE,[],2022-10-21T23:50:00.000+00:00,2022-10-22T05:26:00.000+00:00
[],756,2022-10-22T08:00:00.000+00:00,29630,1475,26,False,True,-21.0572,55.5014,Parking Bras Marron,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Bras Marro,SIMPLE,[],2022-10-22T00:11:00.000+00:00,2022-10-22T06:21:00.000+00:00
[],1809,2022-10-22T12:35:00.000+00:00,39140,2677,29,False,False,-21.0662,55.451,Plaine des Merles,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2022-10-22T02:05:00.000+00:00,2022-10-22T11:28:00.000+00:00
[],1422,2022-10-22T14:15:00.000+00:00,44710,2806,31,False,True,-21.0775,55.4232,La Nouvelle,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Nouvelle,SIMPLE,[],2022-10-22T02:43:00.000+00:00,2022-10-22T13:08:00.000+00:00
[],1612,2022-10-22T16:30:00.000+00:00,49620,3168,32,False,False,-21.1035,55.4339,Marla,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Marla,SIMPLE,[],2022-10-22T03:31:00.000+00:00,2022-10-22T15:09:00.000+00:00
[],1257,2022-10-22T19:15:00.000+00:00,57250,3449,46,False,False,-21.0737,55.4008,Plateau de cerf - Roche plate,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Plat. Cerf,SIMPLE,[],2022-10-22T04:31:00.000+00:00,2022-10-22T17:39:00.000+00:00
[],982,2022-10-22T21:15:00.000+00:00,62820,3723,48,False,False,-21.0426,55.3924,Ilet des orangers,TDB,[],orangers,SIMPLE,[],2022-10-22T05:20:00.000+00:00,2022-10-22T19:47:00.000+00:00
[],371,2022-10-22T22:55:00.000+00:00,68140,3948,49,False,False,-21.0222,55.4044,Passerelle d'Oussy,TDB,['DRINK_SUPPLY'],Pass Oussy,SIMPLE,[],2022-10-22T06:06:00.000+00:00,2022-10-22T21:52:00.000+00:00
[],258,2022-10-23T00:10:00.000+00:00,71280,4002,50,False,True,-21.0032,55.3925,Deux Bras,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Deux Bras,SIMPLE,[],2022-10-22T06:28:00.000+00:00,2022-10-22T22:48:00.000+00:00
[],863,2022-10-23T02:55:00.000+00:00,76100,4670,51,False,True,-20.9805,55.372,Dos d'Ane,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Dos d'Ane,SIMPLE,[],2022-10-22T07:39:00.000+00:00,2022-10-23T02:06:00.000+00:00
[],462,2022-10-23T03:55:00.000+00:00,79460,4670,52,False,True,-20.9635,55.3587,Chemin Ratinaud,TDB,['DRINK_SUPPLY'],Ratinaud,SIMPLE,[],2022-10-22T08:00:00.000+00:00,2022-10-23T03:04:00.000+00:00
[],3,2022-10-23T05:55:00.000+00:00,88010,4807,54,False,True,-20.927,55.3389,La possession,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2022-10-22T09:03:00.000+00:00,2022-10-23T05:52:00.000+00:00
[],10,2022-10-23T09:20:00.000+00:00,95280,5141,56,False,True,-20.8959,55.3772,Grande Chaloupe,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2022-10-22T10:12:00.000+00:00,2022-10-23T08:43:00.000+00:00
[],672,2022-10-23T13:20:00.000+00:00,104480,5949,60,False,True,-20.9062,55.4253,Le Colorado,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2022-10-22T11:32:00.000+00:00,2022-10-23T12:33:00.000+00:00
[],49,2022-10-23T15:35:00.000+00:00,109240,5955,64,False,True,-20.885,55.4425,St Denis La Redoute,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,"[{'pointId': 64, 'live': 'x4clajv', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-22T12:08:00.000+00:00,2022-10-23T13:53:00.000+00:00
