checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Cilaos,0,0,0,2024-10-18T21:10:00.000+04:00
 Sentier T,6882,134,0,2024-10-18T22:50:00.000+04:00
Marla,12940,966,573,2024-10-19T02:10:00.000+04:00
Merles,19524,1432,827,2024-10-19T05:25:00.000+04:00
Sen. Scout,21636,1453,1017,2024-10-19T06:25:00.000+04:00
Aurère,30381,1789,2083,2024-10-19T10:10:00.000+04:00
Pass Oussy,34385,1953,2719,2024-10-19T11:40:00.000+04:00
Ilet  Oran,39950,2732,2940,2024-10-19T15:10:00.000+04:00
Pit Orange,47963,3920,3231,2024-10-19T20:10:00.000+04:00
Ilet Savan,65016,3942,5023,2024-10-19T23:40:00.000+04:00
Ratinaud,72118,4568,5370,2024-10-20T02:25:00.000+04:00
Possession,80607,4711,5906,2024-10-20T05:10:00.000+04:00
Chaloupe,88058,5172,6225,2024-10-20T07:40:00.000+04:00
Colorado,96902,5816,6368,2024-10-20T12:40:00.000+04:00
St Denis,101204,5835,6983,2024-10-20T15:10:00.000+04:00
