distance_cum,altitude,lon,lat
0,1208,55.47418,-21.1363
40,1208,55.47445,-21.13604
98,1208,55.47484,-21.13567
104,1208,55.4749,-21.13565
119,1208,55.47504,-21.13564
135,1208,55.47519,-21.13566
158,1208,55.47541,-21.13566
166,1208,55.47549,-21.13567
172,1208,55.47554,-21.13564
206,1209,55.47581,-21.13547
232,1209,55.476,-21.13532
250,1209,55.47612,-21.1352
261,1209,55.47619,-21.13512
270,1209,55.47623,-21.13505
275,1209,55.47625,-21.13501
283,1209,55.47627,-21.13494
289,1209,55.4763,-21.13489
324,1210,55.47654,-21.13467
357,1210,55.47678,-21.13448
371,1210,55.47688,-21.1344
458,1210,55.47747,-21.13384
468,1210,55.47754,-21.13378
474,1211,55.4776,-21.13377
479,1211,55.47764,-21.13375
505,1211,55.47784,-21.1336
511,1211,55.47789,-21.13357
516,1211,55.47793,-21.13355
521,1212,55.47798,-21.13354
531,1212,55.47807,-21.13354
538,1212,55.47814,-21.13355
545,1212,55.4782,-21.13358
550,1212,55.47824,-21.1336
558,1212,55.4783,-21.13365
573,1212,55.47841,-21.13373
584,1213,55.47851,-21.13377
593,1213,55.47859,-21.13379
615,1213,55.47881,-21.13379
621,1213,55.47886,-21.13379
634,1214,55.47898,-21.13376
640,1214,55.47903,-21.13373
645,1214,55.47906,-21.13369
649,1214,55.47908,-21.13366
655,1214,55.47909,-21.13361
658,1214,55.47909,-21.13358
724,1215,55.47895,-21.133
740,1215,55.47891,-21.13286
757,1215,55.47893,-21.13271
771,1215,55.47897,-21.13259
794,1215,55.47908,-21.1324
857,1216,55.47942,-21.13193
876,1216,55.47953,-21.1318
896,1216,55.47966,-21.13166
920,1217,55.47982,-21.13151
951,1217,55.48005,-21.13133
957,1217,55.48009,-21.13129
981,1217,55.48028,-21.13116
987,1217,55.48032,-21.13113
998,1217,55.48038,-21.13105
1002,1217,55.4804,-21.13101
1004,1218,55.4804,-21.131
1008,1218,55.48039,-21.13096
1013,1218,55.48036,-21.13093
1021,1218,55.48032,-21.13087
