checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Départ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentier T,6882,134,0,2024-10-18T22:50:00.000+04:00,6.882,134,0,6.882,134.0,0.0,0.0,19.47108398721302,0.0,0.03444828851905941,0.00500556357440561,2024
Marla,12940,966,573,2024-10-19T02:10:00.000+04:00,12.94,966,573,6.058,832.0,573.0,6.882,137.3390557939914,94.58567183889073,0.07386350324490228,0.012192720905398196,2024
Merles,19524,1432,827,2024-10-19T05:25:00.000+04:00,19.524,1432,827,6.584000000000001,466.0,254.0,12.94,70.77764277035236,38.57837181044957,0.06720188680718799,0.010206847935478124,2024
Sen. Scout,21636,1453,1017,2024-10-19T06:25:00.000+04:00,21.636,1453,1017,2.1119999999999983,21.0,190.0,19.524,9.943181818181825,89.96212121212129,0.018102727904597528,0.008571367379070806,2024
Aurère,30381,1789,2083,2024-10-19T10:10:00.000+04:00,30.381,1789,2083,8.745000000000001,336.0,1066.0,21.636,38.42195540308747,121.8982275586049,0.07337930603606488,0.00839100126198569,2024
Pass Oussy,34385,1953,2719,2024-10-19T11:40:00.000+04:00,34.385,1953,2719,4.003999999999998,164.0,636.0,30.381,40.95904095904098,158.84115884115892,0.03341741704217983,0.008346008252292668,2024
Ilet  Oran,39950,2732,2940,2024-10-19T15:10:00.000+04:00,39.95,2732,2940,5.565000000000005,779.0,221.0,34.385,139.98203054806817,39.71248876909251,0.07567533796184213,0.013598443479216902,2024
Pit Orange,47963,3920,3231,2024-10-19T20:10:00.000+04:00,47.963,3920,3231,8.012999999999998,1188.0,291.0,39.95,148.2590789966305,36.31598652190192,0.11462978437604944,0.01430547664745407,2024
Ilet Savan,65016,3942,5023,2024-10-19T23:40:00.000+04:00,65.016,3942,5023,17.053000000000004,22.0,1792.0,47.963,1.2900955843546587,105.08414941652492,0.1209399673557366,0.007092005357165107,2024
Ratinaud,72118,4568,5370,2024-10-20T02:25:00.000+04:00,72.118,4568,5370,7.10199999999999,626.0,347.0,65.016,88.14418473669402,48.8594762038863,0.08005654173858037,0.011272393936719303,2024
Possession,80607,4711,5906,2024-10-20T05:10:00.000+04:00,80.607,4711,5906,8.489000000000004,143.0,536.0,72.118,16.845329249617144,63.14053480975377,0.08275867454918895,0.009748930916384605,2024
Chaloupe,88058,5172,6225,2024-10-20T07:40:00.000+04:00,88.058,5172,6225,7.451000000000008,461.0,319.0,80.607,61.870889813447796,42.8130452288283,0.07180956992354372,0.0096375748119103,2024
Colorado,96902,5816,6368,2024-10-20T12:40:00.000+04:00,96.902,5816,6368,8.843999999999994,644.0,143.0,88.058,72.81772953414749,16.16915422885573,0.10297000320194932,0.0116429221169097,2024
St Denis,101204,5835,6983,2024-10-20T15:10:00.000+04:00,101.204,5835,6983,4.3019999999999925,19.0,615.0,96.902,4.416550441655052,142.9567642956767,0.05074699133911766,0.011796139316391853,2024
