bib,name,status,category,sex,country,Cilaos,Mare Josep,Cav Dufour,Bélouve,Hell-Bourg,Bras Marro,Merles,Nouvelle,Marla,Plat. Cerf,orangers,Pass Oussy,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
6318,Mathieu CLÉMENT,FINISHER,SE H,MALE,CH,2022-10-21T20:45:00.000+00:00,2022-10-21T21:27:27.000+00:00,2022-10-21T22:42:49.000+00:00,2022-10-21T23:54:05.000+00:00,2022-10-22T00:24:00.000+00:00,2022-10-22T00:43:12.000+00:00,2022-10-22T02:25:05.000+00:00,2022-10-22T03:14:01.000+00:00,2022-10-22T04:03:46.000+00:00,2022-10-22T05:17:03.000+00:00,2022-10-22T06:10:57.000+00:00,2022-10-22T07:00:18.000+00:00,2022-10-22T07:24:00.000+00:00,2022-10-22T08:28:06.000+00:00,2022-10-22T08:46:09.000+00:00,2022-10-22T09:49:06.000+00:00,2022-10-22T10:47:00.000+00:00,2022-10-22T12:12:43.000+00:00,2022-10-22T13:30:32.000+00:00
5121,Alexis SEVENNEC,FINISHER,M0 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:25:42.000+00:00,2022-10-21T22:37:53.000+00:00,2022-10-21T23:51:31.000+00:00,2022-10-22T00:19:00.000+00:00,2022-10-22T00:40:17.000+00:00,2022-10-22T02:20:50.000+00:00,2022-10-22T03:07:36.000+00:00,2022-10-22T03:53:06.000+00:00,2022-10-22T05:05:41.000+00:00,2022-10-22T06:01:36.000+00:00,2022-10-22T06:49:31.000+00:00,2022-10-22T07:13:05.000+00:00,2022-10-22T08:17:50.000+00:00,2022-10-22T08:37:33.000+00:00,2022-10-22T09:43:28.000+00:00,2022-10-22T10:53:57.000+00:00,2022-10-22T12:40:02.000+00:00,2022-10-22T13:30:44.000+00:00
6322,Robin COINUS,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:25:11.000+00:00,2022-10-21T22:44:43.000+00:00,2022-10-21T23:56:44.000+00:00,2022-10-22T00:29:00.000+00:00,2022-10-22T00:49:15.000+00:00,2022-10-22T02:40:57.000+00:00,2022-10-22T03:30:23.000+00:00,2022-10-22T04:26:06.000+00:00,2022-10-22T05:40:23.000+00:00,2022-10-22T06:35:39.000+00:00,2022-10-22T07:27:01.000+00:00,2022-10-22T07:51:12.000+00:00,2022-10-22T09:11:33.000+00:00,2022-10-22T09:31:34.000+00:00,2022-10-22T10:34:23.000+00:00,2022-10-22T11:37:54.000+00:00,2022-10-22T13:07:58.000+00:00,2022-10-22T14:14:55.000+00:00
6292,Olivier LAMARQUE,FINISHER,M2 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:24:15.000+00:00,2022-10-21T22:40:46.000+00:00,2022-10-21T23:54:24.000+00:00,2022-10-22T00:26:00.000+00:00,2022-10-22T00:45:50.000+00:00,2022-10-22T02:31:20.000+00:00,2022-10-22T03:24:36.000+00:00,2022-10-22T04:18:29.000+00:00,2022-10-22T05:35:31.000+00:00,2022-10-22T06:32:13.000+00:00,2022-10-22T07:23:35.000+00:00,2022-10-22T07:47:48.000+00:00,2022-10-22T08:57:17.000+00:00,2022-10-22T09:17:14.000+00:00,2022-10-22T10:31:29.000+00:00,2022-10-22T11:32:48.000+00:00,2022-10-22T13:13:57.000+00:00,2022-10-22T13:53:50.000+00:00
5903,Fred MORIN,FINISHER,M2 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:27:05.000+00:00,2022-10-21T22:45:55.000+00:00,2022-10-21T23:57:32.000+00:00,2022-10-22T00:25:00.000+00:00,2022-10-22T00:50:59.000+00:00,2022-10-22T02:39:28.000+00:00,2022-10-22T03:30:57.000+00:00,2022-10-22T04:20:15.000+00:00,2022-10-22T05:40:22.000+00:00,2022-10-22T06:36:56.000+00:00,2022-10-22T07:31:02.000+00:00,2022-10-22T07:55:18.000+00:00,2022-10-22T09:11:32.000+00:00,2022-10-22T09:31:36.000+00:00,2022-10-22T11:02:44.000+00:00,2022-10-22T12:28:21.000+00:00,2022-10-22T14:13:48.000+00:00,2022-10-22T14:56:52.000+00:00
6045,Fabrice PAYET,FINISHER,M0 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:28:30.000+00:00,2022-10-21T22:48:18.000+00:00,2022-10-22T00:00:18.000+00:00,2022-10-22T00:30:00.000+00:00,2022-10-22T00:52:24.000+00:00,2022-10-22T02:45:00.000+00:00,2022-10-22T03:44:38.000+00:00,2022-10-22T04:34:38.000+00:00,2022-10-22T05:57:40.000+00:00,2022-10-22T06:57:45.000+00:00,2022-10-22T07:55:26.000+00:00,2022-10-22T08:22:07.000+00:00,2022-10-22T09:52:16.000+00:00,2022-10-22T10:11:43.000+00:00,2022-10-22T11:30:18.000+00:00,2022-10-22T12:42:56.000+00:00,2022-10-22T14:22:09.000+00:00,2022-10-22T15:01:44.000+00:00
5583,Mathieu DESSERPRIT,FINISHER,M0 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:23:48.000+00:00,2022-10-21T22:42:39.000+00:00,2022-10-22T00:12:37.000+00:00,2022-10-22T00:48:17.000+00:00,2022-10-22T01:08:34.000+00:00,2022-10-22T03:05:22.000+00:00,2022-10-22T04:10:45.000+00:00,2022-10-22T05:09:20.000+00:00,2022-10-22T06:32:18.000+00:00,2022-10-22T07:28:09.000+00:00,2022-10-22T08:28:27.000+00:00,2022-10-22T08:52:14.000+00:00,2022-10-22T10:04:12.000+00:00,2022-10-22T10:27:59.000+00:00,2022-10-22T11:45:40.000+00:00,2022-10-22T13:02:45.000+00:00,2022-10-22T14:42:30.000+00:00,2022-10-22T15:29:03.000+00:00
5956,Romain FONTAINE,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:27:07.000+00:00,2022-10-21T22:47:24.000+00:00,2022-10-21T23:57:27.000+00:00,2022-10-22T00:32:00.000+00:00,2022-10-22T00:53:07.000+00:00,2022-10-22T02:56:53.000+00:00,2022-10-22T04:39:02.000+00:00,2022-10-22T05:44:59.000+00:00,2022-10-22T07:12:08.000+00:00,2022-10-22T08:13:05.000+00:00,2022-10-22T09:13:14.000+00:00,2022-10-22T09:42:15.000+00:00,2022-10-22T10:58:02.000+00:00,2022-10-22T11:18:49.000+00:00,2022-10-22T12:28:10.000+00:00,2022-10-22T13:31:29.000+00:00,2022-10-22T15:18:48.000+00:00,2022-10-22T15:45:58.000+00:00
5985,Fabrice FONTAINE,FINISHER,M0 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:25:07.000+00:00,2022-10-21T22:40:03.000+00:00,2022-10-21T23:49:02.000+00:00,2022-10-22T00:18:00.000+00:00,2022-10-22T00:40:19.000+00:00,2022-10-22T02:47:16.000+00:00,2022-10-22T03:42:55.000+00:00,2022-10-22T04:34:45.000+00:00,2022-10-22T05:54:47.000+00:00,2022-10-22T06:50:07.000+00:00,2022-10-22T07:55:58.000+00:00,2022-10-22T08:22:22.000+00:00,2022-10-22T09:52:13.000+00:00,2022-10-22T10:11:39.000+00:00,2022-10-22T11:37:58.000+00:00,2022-10-22T13:04:02.000+00:00,2022-10-22T15:00:18.000+00:00,2022-10-22T15:46:18.000+00:00
5162,Josselin VIARD,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:29:48.000+00:00,2022-10-21T23:02:30.000+00:00,2022-10-22T00:25:31.000+00:00,2022-10-22T00:58:43.000+00:00,2022-10-22T01:21:48.000+00:00,2022-10-22T03:11:22.000+00:00,2022-10-22T04:07:36.000+00:00,2022-10-22T04:59:20.000+00:00,2022-10-22T06:20:08.000+00:00,2022-10-22T07:20:54.000+00:00,,2022-10-22T08:49:52.000+00:00,2022-10-22T10:21:35.000+00:00,2022-10-22T10:39:25.000+00:00,2022-10-22T11:58:38.000+00:00,2022-10-22T13:24:12.000+00:00,2022-10-22T15:07:03.000+00:00,2022-10-22T15:48:29.000+00:00
