bib,name,status,category,sex,country,Cilaos,Mare Josep,Cav Dufour,Bélouve,Hell-Bourg,Bras Marro,Merles,Nouvelle,Marla,Roche plat,orangers,Pass Oussy,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
6025,Nicolas GOURDON,FINISHER,SE H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:40:50.000+00:00,2023-10-20T21:51:54.000+00:00,2023-10-20T22:59:20.000+00:00,2023-10-20T23:25:06.000+00:00,2023-10-20T23:44:54.000+00:00,2023-10-21T01:23:25.000+00:00,2023-10-21T02:13:43.000+00:00,2023-10-21T03:01:56.000+00:00,2023-10-21T04:19:21.000+00:00,2023-10-21T05:12:39.000+00:00,2023-10-21T06:05:35.000+00:00,2023-10-21T06:29:52.000+00:00,2023-10-21T07:42:19.000+00:00,2023-10-21T08:02:55.000+00:00,2023-10-21T09:10:49.000+00:00,2023-10-21T10:05:58.000+00:00,2023-10-21T11:38:00.000+00:00,2023-10-21T12:30:48.000+00:00
5529,Sandy RÉTHORET,FINISHER,SE H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:42:44.000+00:00,2023-10-20T21:59:53.000+00:00,2023-10-20T23:05:38.000+00:00,2023-10-20T23:32:26.000+00:00,2023-10-20T23:52:38.000+00:00,2023-10-21T01:35:14.000+00:00,2023-10-21T02:25:03.000+00:00,2023-10-21T03:13:28.000+00:00,2023-10-21T04:33:59.000+00:00,2023-10-21T05:30:06.000+00:00,2023-10-21T06:24:27.000+00:00,2023-10-21T06:48:04.000+00:00,2023-10-21T07:56:03.000+00:00,2023-10-21T08:13:30.000+00:00,2023-10-21T09:17:43.000+00:00,2023-10-21T10:19:23.000+00:00,2023-10-21T11:50:11.000+00:00,2023-10-21T14:13:15.000+00:00
5521,Mathieu DESSERPRIT,FINISHER,M0 H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:40:22.000+00:00,2023-10-20T21:50:55.000+00:00,2023-10-20T23:01:05.000+00:00,2023-10-20T23:31:55.000+00:00,2023-10-20T23:52:11.000+00:00,2023-10-21T01:35:10.000+00:00,2023-10-21T02:24:54.000+00:00,2023-10-21T03:16:27.000+00:00,2023-10-21T04:33:52.000+00:00,2023-10-21T05:28:19.000+00:00,2023-10-21T06:23:21.000+00:00,2023-10-21T06:48:54.000+00:00,2023-10-21T07:56:34.000+00:00,2023-10-21T08:18:08.000+00:00,2023-10-21T09:29:08.000+00:00,2023-10-21T10:33:30.000+00:00,2023-10-21T12:08:33.000+00:00,2023-10-21T12:53:46.000+00:00
5642,Victor GUERDIN,FINISHER,SE H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:40:50.000+00:00,2023-10-20T21:54:13.000+00:00,2023-10-20T23:01:55.000+00:00,2023-10-20T23:32:21.000+00:00,2023-10-20T23:52:12.000+00:00,2023-10-21T01:35:16.000+00:00,2023-10-21T02:28:09.000+00:00,2023-10-21T03:19:37.000+00:00,2023-10-21T04:38:12.000+00:00,2023-10-21T05:35:47.000+00:00,2023-10-21T06:30:37.000+00:00,2023-10-21T06:57:27.000+00:00,2023-10-21T08:08:55.000+00:00,2023-10-21T08:29:09.000+00:00,2023-10-21T09:39:18.000+00:00,2023-10-21T10:45:35.000+00:00,2023-10-21T12:13:15.000+00:00,2023-10-21T13:14:16.000+00:00
5980,Felix DUCROCQ,FINISHER,SE H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:41:39.000+00:00,2023-10-20T22:02:14.000+00:00,2023-10-20T23:12:27.000+00:00,2023-10-20T23:41:37.000+00:00,2023-10-21T00:04:53.000+00:00,2023-10-21T01:55:28.000+00:00,2023-10-21T02:48:22.000+00:00,2023-10-21T03:37:24.000+00:00,2023-10-21T04:58:09.000+00:00,2023-10-21T05:54:17.000+00:00,2023-10-21T06:46:48.000+00:00,2023-10-21T07:08:01.000+00:00,2023-10-21T08:15:57.000+00:00,2023-10-21T08:34:54.000+00:00,2023-10-21T09:43:20.000+00:00,2023-10-21T10:43:47.000+00:00,2023-10-21T12:13:16.000+00:00,2023-10-21T12:55:54.000+00:00
5853,Gerald MOUTIAPOULLE,FINISHER,M0 H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:42:27.000+00:00,2023-10-20T21:57:37.000+00:00,2023-10-20T23:04:17.000+00:00,2023-10-20T23:33:16.000+00:00,2023-10-20T23:53:01.000+00:00,2023-10-21T01:35:13.000+00:00,2023-10-21T02:24:50.000+00:00,2023-10-21T03:13:24.000+00:00,2023-10-21T04:33:56.000+00:00,2023-10-21T05:30:04.000+00:00,2023-10-21T06:24:23.000+00:00,2023-10-21T06:48:03.000+00:00,2023-10-21T08:05:48.000+00:00,2023-10-21T08:26:28.000+00:00,2023-10-21T09:40:13.000+00:00,2023-10-21T10:45:57.000+00:00,2023-10-21T12:35:30.000+00:00,2023-10-21T13:27:05.000+00:00
5428,Eric CONCÉ,FINISHER,M2 H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:43:19.000+00:00,2023-10-20T22:07:41.000+00:00,2023-10-20T23:24:12.000+00:00,2023-10-20T23:55:52.000+00:00,2023-10-21T00:17:08.000+00:00,2023-10-21T02:08:00.000+00:00,2023-10-21T02:58:54.000+00:00,2023-10-21T03:48:00.000+00:00,2023-10-21T05:10:10.000+00:00,2023-10-21T06:05:10.000+00:00,2023-10-21T07:02:05.000+00:00,2023-10-21T07:25:37.000+00:00,2023-10-21T08:41:07.000+00:00,2023-10-21T09:00:43.000+00:00,2023-10-21T10:09:56.000+00:00,2023-10-21T11:27:28.000+00:00,2023-10-21T13:15:23.000+00:00,2023-10-21T13:59:31.000+00:00
6245,Matthieu OLIVER,FINISHER,SE H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:46:52.000+00:00,2023-10-20T22:13:16.000+00:00,2023-10-20T23:32:29.000+00:00,2023-10-21T00:03:52.000+00:00,2023-10-21T00:24:35.000+00:00,2023-10-21T02:10:55.000+00:00,2023-10-21T03:04:55.000+00:00,2023-10-21T03:54:58.000+00:00,2023-10-21T05:23:54.000+00:00,2023-10-21T06:23:23.000+00:00,2023-10-21T07:12:05.000+00:00,2023-10-21T07:32:35.000+00:00,2023-10-21T08:55:24.000+00:00,2023-10-21T09:17:25.000+00:00,2023-10-21T10:50:07.000+00:00,2023-10-21T11:59:29.000+00:00,2023-10-21T13:29:46.000+00:00,2023-10-21T14:09:52.000+00:00
6248,Augustin SAUREL,FINISHER,SE H,MALE,FR,2023-10-20T20:01:49.000+00:00,2023-10-20T20:44:46.000+00:00,2023-10-20T22:07:21.000+00:00,2023-10-20T23:18:55.000+00:00,2023-10-20T23:52:47.000+00:00,2023-10-21T00:11:47.000+00:00,2023-10-21T01:57:19.000+00:00,2023-10-21T02:48:17.000+00:00,2023-10-21T03:42:42.000+00:00,2023-10-21T05:02:28.000+00:00,2023-10-21T05:58:46.000+00:00,2023-10-21T06:52:53.000+00:00,2023-10-21T07:16:50.000+00:00,2023-10-21T08:34:04.000+00:00,2023-10-21T08:55:58.000+00:00,2023-10-21T10:15:57.000+00:00,2023-10-21T11:36:04.000+00:00,2023-10-21T13:24:47.000+00:00,2023-10-21T14:14:50.000+00:00
5664,Jeetesh Rao (bhuvish) LUKEA,FINISHER,SE H,MALE,MU,2023-10-20T20:01:49.000+00:00,2023-10-20T20:42:12.000+00:00,2023-10-20T21:59:45.000+00:00,2023-10-20T23:11:02.000+00:00,2023-10-20T23:44:00.000+00:00,2023-10-21T00:04:47.000+00:00,2023-10-21T02:06:38.000+00:00,2023-10-21T02:59:37.000+00:00,2023-10-21T03:48:02.000+00:00,2023-10-21T05:10:17.000+00:00,2023-10-21T06:08:41.000+00:00,2023-10-21T07:04:26.000+00:00,2023-10-21T07:29:02.000+00:00,2023-10-21T08:49:01.000+00:00,2023-10-21T09:14:59.000+00:00,2023-10-21T10:26:54.000+00:00,2023-10-21T11:45:07.000+00:00,2023-10-21T13:36:03.000+00:00,2023-10-21T14:27:21.000+00:00
