bib,name,status,category,sex,country,Cilaos,Sentier T,Marla,Merles,Sen. Scout,Aurère,Pass Oussy,Ilet  Oran,Pit Orange,Ilet Savan,Ratinaud,Possession,Chaloupe,Colorado,St Denis
5766,Louison COIFFET,FINISHER,SE H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:32:05.000+04:00,2024-10-18T22:30:48.000+04:00,2024-10-18T23:25:51.000+04:00,2024-10-18T23:38:03.000+04:00,2024-10-19T00:38:20.000+04:00,2024-10-19T01:02:35.000+04:00,2024-10-19T01:59:37.000+04:00,2024-10-19T03:20:11.000+04:00,2024-10-19T04:53:49.000+04:00,2024-10-19T05:49:15.000+04:00,2024-10-19T06:46:25.000+04:00,2024-10-19T07:36:02.000+04:00,2024-10-19T08:51:12.000+04:00,2024-10-19T09:27:23.000+04:00
6006,Augustin SAUREL,FINISHER,SE H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:32:09.000+04:00,2024-10-18T22:36:49.000+04:00,2024-10-18T23:35:23.000+04:00,2024-10-18T23:48:29.000+04:00,2024-10-19T00:51:31.000+04:00,2024-10-19T01:21:26.000+04:00,2024-10-19T02:28:10.000+04:00,2024-10-19T04:10:43.000+04:00,2024-10-19T05:44:29.000+04:00,2024-10-19T06:44:06.000+04:00,2024-10-19T07:52:13.000+04:00,2024-10-19T08:50:59.000+04:00,2024-10-19T10:18:55.000+04:00,2024-10-19T10:58:25.000+04:00
5433,Mickaël BRÉE,FINISHER,M0 H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:32:12.000+04:00,2024-10-18T22:36:18.000+04:00,2024-10-18T23:33:31.000+04:00,2024-10-18T23:48:22.000+04:00,2024-10-19T00:50:25.000+04:00,2024-10-19T01:16:58.000+04:00,2024-10-19T02:22:16.000+04:00,2024-10-19T04:02:25.000+04:00,2024-10-19T05:45:46.000+04:00,2024-10-19T06:47:45.000+04:00,2024-10-19T07:57:16.000+04:00,2024-10-19T09:06:06.000+04:00,2024-10-19T10:43:29.000+04:00,2024-10-19T11:30:33.000+04:00
6079,Gerald MOUTIAPOULLE,FINISHER,M0 H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:32:53.000+04:00,2024-10-18T22:38:15.000+04:00,2024-10-18T23:37:22.000+04:00,2024-10-18T23:51:41.000+04:00,2024-10-19T01:00:51.000+04:00,2024-10-19T01:29:56.000+04:00,2024-10-19T02:37:50.000+04:00,2024-10-19T04:22:38.000+04:00,2024-10-19T06:12:13.000+04:00,2024-10-19T07:23:37.000+04:00,2024-10-19T08:36:03.000+04:00,2024-10-19T09:38:22.000+04:00,2024-10-19T11:07:06.000+04:00,2024-10-19T11:45:59.000+04:00
5043,Eric CONCÉ,FINISHER,M2 H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:34:41.000+04:00,2024-10-18T22:44:36.000+04:00,2024-10-18T23:48:30.000+04:00,2024-10-19T00:04:55.000+04:00,2024-10-19T01:15:15.000+04:00,2024-10-19T01:47:48.000+04:00,2024-10-19T02:57:39.000+04:00,2024-10-19T04:42:04.000+04:00,2024-10-19T06:26:35.000+04:00,2024-10-19T07:33:42.000+04:00,2024-10-19T08:40:37.000+04:00,2024-10-19T09:47:33.000+04:00,2024-10-19T11:21:30.000+04:00,2024-10-19T12:05:42.000+04:00
5648,Maël BURES,FINISHER,SE H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:33:26.000+04:00,2024-10-18T22:40:52.000+04:00,2024-10-18T23:40:41.000+04:00,2024-10-18T23:53:53.000+04:00,2024-10-19T01:02:05.000+04:00,2024-10-19T01:32:35.000+04:00,2024-10-19T02:39:44.000+04:00,2024-10-19T04:30:09.000+04:00,2024-10-19T06:23:43.000+04:00,2024-10-19T07:30:18.000+04:00,2024-10-19T08:43:52.000+04:00,2024-10-19T09:49:53.000+04:00,2024-10-19T11:21:18.000+04:00,2024-10-19T12:05:43.000+04:00
6132,Nicolas RIVIERE,FINISHER,M1 H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:34:30.000+04:00,2024-10-18T22:41:57.000+04:00,2024-10-18T23:40:40.000+04:00,2024-10-18T23:53:55.000+04:00,2024-10-19T01:01:00.000+04:00,2024-10-19T01:27:36.000+04:00,2024-10-19T02:44:29.000+04:00,2024-10-19T04:28:35.000+04:00,2024-10-19T06:21:44.000+04:00,2024-10-19T07:31:25.000+04:00,2024-10-19T08:55:25.000+04:00,2024-10-19T09:59:56.000+04:00,2024-10-19T11:30:00.000+04:00,2024-10-19T12:09:47.000+04:00
5706,Romain BARDEUR,FINISHER,SE H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:34:31.000+04:00,2024-10-18T22:42:15.000+04:00,2024-10-18T23:44:22.000+04:00,2024-10-18T23:57:56.000+04:00,2024-10-19T01:10:49.000+04:00,2024-10-19T01:39:49.000+04:00,2024-10-19T02:52:55.000+04:00,2024-10-19T05:00:34.000+04:00,2024-10-19T07:06:36.000+04:00,2024-10-19T08:30:05.000+04:00,2024-10-19T09:37:42.000+04:00,2024-10-19T10:33:32.000+04:00,2024-10-19T11:58:46.000+04:00,2024-10-19T12:33:51.000+04:00
5161,Vincent BEUGNOT,FINISHER,SE H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:35:15.000+04:00,2024-10-18T22:47:31.000+04:00,2024-10-18T23:51:15.000+04:00,2024-10-19T00:07:51.000+04:00,2024-10-19T01:17:38.000+04:00,2024-10-19T01:50:07.000+04:00,2024-10-19T02:59:57.000+04:00,2024-10-19T05:02:52.000+04:00,2024-10-19T06:47:16.000+04:00,2024-10-19T07:53:41.000+04:00,2024-10-19T09:13:47.000+04:00,2024-10-19T10:21:53.000+04:00,2024-10-19T11:55:55.000+04:00,2024-10-19T12:38:40.000+04:00
5060,Mathieu DESSERPRIT,FINISHER,M0 H,MALE,FR,2024-10-18T20:59:55.000+04:00,2024-10-18T21:32:06.000+04:00,2024-10-18T22:36:16.000+04:00,2024-10-18T23:39:19.000+04:00,2024-10-18T23:57:36.000+04:00,2024-10-19T01:08:25.000+04:00,2024-10-19T01:41:33.000+04:00,2024-10-19T03:05:05.000+04:00,2024-10-19T04:55:06.000+04:00,2024-10-19T06:50:03.000+04:00,2024-10-19T08:00:26.000+04:00,2024-10-19T09:17:29.000+04:00,2024-10-19T10:18:37.000+04:00,2024-10-19T12:07:52.000+04:00,2024-10-19T12:50:05.000+04:00
