access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],2,0,0,0,True,True,-21.33975,55.45966,St Pierre Ravine Blanche,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",St Pierre ,SIMPLE,[],2025-10-16T22:00:00.000+04:00,2025-10-16T22:00:00.000+04:00,
[],651,14080,658,2,True,True,-21.31272,55.5459,Domaine Vidot,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Dom Vidot,SIMPLE,[],2025-10-16T23:13:00.000+04:00,2025-10-17T01:24:00.000+04:00,2025-10-17T01:30:00.000+04:00
[],1683,33530,2036,10,True,True,-21.2458,55.59408,Notre Dame de la Paix,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Dame paix,SIMPLE,[],2025-10-17T01:27:00.000+04:00,2025-10-17T07:29:00.000+04:00,2025-10-17T07:00:00.000+04:00
[],2018,45610,2662,12,True,True,-21.20079,55.62105,Parking Aire Nez de Boeuf,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Nez boeuf,SIMPLE,[],2025-10-17T02:48:00.000+04:00,2025-10-17T11:26:00.000+04:00,2025-10-17T10:15:00.000+04:00
[],1601,55950,2722,14,True,True,-21.16126,55.57098,Mare à Boue,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Mare Boue,SIMPLE,[],2025-10-17T03:38:00.000+04:00,2025-10-17T13:57:00.000+04:00,2025-10-17T12:30:00.000+04:00
[],2488,68140,3701,16,False,True,-21.11134,55.49528,Croisée coteaux Kerveguen,GRR,['EMERGENCY'],Croisée,SIMPLE,[],2025-10-17T05:25:00.000+04:00,2025-10-17T18:36:00.000+04:00,
[],1373,72240,3701,17,False,True,-21.12343,55.48316,Le Bloc,GRR,"['AID_STATION', 'DRINK_SUPPLY']",Le Bloc,SIMPLE,[],2025-10-17T05:49:00.000+04:00,2025-10-17T19:32:00.000+04:00,
[],1207,76670,3836,19,True,True,-21.13639,55.47432,Cilaos (Stade),GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Cilaos,SIMPLE,[],2025-10-17T06:22:00.000+04:00,2025-10-17T20:52:00.000+04:00,2025-10-17T20:00:00.000+04:00
[],1261,83260,4335,30,False,True,-21.11769,55.45011, Sentier Taïbit,GRR,"['AID_STATION', 'DRINK_SUPPLY']", Sentier T,SIMPLE,[],2025-10-17T07:24:00.000+04:00,2025-10-17T23:37:00.000+04:00,2025-10-17T22:45:00.000+04:00
[],1612,89310,5171,32,True,True,-21.10351,55.43416,Marla,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Marla,SIMPLE,[],2025-10-17T08:40:00.000+04:00,2025-10-18T03:15:00.000+04:00,
