portion_name,Meilleure perf,Type de tronçon,Quart de course,secteur_quart
St Pierre → Dom Vidot,Baptiste CHASSAGNE (01:10:13),Montée,1er quart,1er quart (0.0–33.5 km | St Pierre  → Dame paix)
Dom Vidot → Dame paix,Baptiste CHASSAGNE (02:06:18),Montée,1er quart,1er quart (0.0–33.5 km | St Pierre  → Dame paix)
Dame paix → Nez boeuf,Yannick NOËL (01:14:59),Non Catégorisé,2ème quart,2ème quart (33.5–83.3 km | Dame paix  → Sentier T)
Nez boeuf → Mare Boue,Yannick NOËL (00:56:29),Descente,2ème quart,2ème quart (33.5–83.3 km | Dame paix  → Sentier T)
Mare Boue → Croisée,Yannick NOËL (01:53:18),Montée,2ème quart,2ème quart (33.5–83.3 km | Dame paix  → Sentier T)
Croisée → Le Bloc,Blandine L HIRONDEL (00:36:06),Descente,2ème quart,2ème quart (33.5–83.3 km | Dame paix  → Sentier T)
Le Bloc → Cilaos,Fabrice PAYET (00:26:49),Non Catégorisé,2ème quart,2ème quart (33.5–83.3 km | Dame paix  → Sentier T)
Cilaos → Sentier T,Aurelien DUNAND-PALLAZ (00:56:41),Non Catégorisé,2ème quart,2ème quart (33.5–83.3 km | Dame paix  → Sentier T)
Sentier T → Marla,Baptiste CHASSAGNE (01:06:10),Non Catégorisé,3ème quart,3ème quart (83.3–124.2 km | Sentier T  → Tête dure)
Marla → Merles,Baptiste CHASSAGNE (00:57:47),Non Catégorisé,3ème quart,3ème quart (83.3–124.2 km | Sentier T  → Tête dure)
Merles → Sen. Scout,Jérôme VANDERSCHAEGHE (00:13:27),Descente,3ème quart,3ème quart (83.3–124.2 km | Sentier T  → Tête dure)
Sen. Scout → Aurère,Baptiste CHASSAGNE (01:04:32),Descente,3ème quart,3ème quart (83.3–124.2 km | Sentier T  → Tête dure)
Aurère → Ilet Oran,Baptiste CHASSAGNE (01:36:03),Non Catégorisé,3ème quart,3ème quart (83.3–124.2 km | Sentier T  → Tête dure)
Ilet Oran → Tête dure,Baptiste CHASSAGNE (01:39:11), Montée,3ème quart,3ème quart (83.3–124.2 km | Sentier T  → Tête dure)
Tête dure → Ilet Savan,Baptiste CHASSAGNE (01:42:00),Descente,4ème quart,4ème quart (124.2–180.3 km | Tête dure  → St Denis)
Ilet Savan → Ratinaud,Baptiste CHASSAGNE (01:11:05),Non Catégorisé,4ème quart,4ème quart (124.2–180.3 km | Tête dure  → St Denis)
Ratinaud → Possession,Baptiste CHASSAGNE (01:11:35),Descente,4ème quart,4ème quart (124.2–180.3 km | Tête dure  → St Denis)
Possession → Chaloupe,Baptiste CHASSAGNE (00:59:33),Non Catégorisé,4ème quart,4ème quart (124.2–180.3 km | Tête dure  → St Denis)
Chaloupe → Colorado,Noa OHMS (01:18:02),Montée,4ème quart,4ème quart (124.2–180.3 km | Tête dure  → St Denis)
Colorado → La Vigie,Noa OHMS (00:20:52),Descente,4ème quart,4ème quart (124.2–180.3 km | Tête dure  → St Denis)
La Vigie → St Denis,Jean Pascal COISSER (00:19:36),Descente,4ème quart,4ème quart (124.2–180.3 km | Tête dure  → St Denis)
