distance_cum,altitude,lon,lat
0,3.0,55.45966,-21.33975
16,3.0,55.45977,-21.339855
33,3.0,55.45988,-21.33996
52,3.0,55.460025,-21.3400775
72,3.0,55.46017,-21.340195
92,3.0,55.460314999999994,-21.340312500000003
112,3.0,55.46046,-21.34043
129,3.0,55.4606,-21.340505
146,3.0,55.46074,-21.34058
170,3.0,55.46096,-21.34067
183,4.0,55.46106,-21.34074
197,4.0,55.46119,-21.34074
213,4.0,55.461330000000004,-21.340805
229,4.0,55.46147,-21.34087
253,4.0,55.46168,-21.34096
277,4.0,55.46189,-21.34105
302,4.0,55.46211,-21.34113
324,4.25,55.462305,-21.34121
346,4.5,55.462500000000006,-21.34129
368,4.75,55.462695000000004,-21.341369999999998
390,5.0,55.46289,-21.34145
406,5.0,55.4630275,-21.341511249999996
422,5.0,55.463165000000004,-21.341572499999998
437,5.0,55.463302500000005,-21.34163375
453,5.0,55.463440000000006,-21.341695
469,5.0,55.46357750000001,-21.341756250000003
485,5.0,55.46371500000001,-21.3418175
501,5.0,55.4638525,-21.34187875
516,5.0,55.46399,-21.34194
534,5.0,55.46414,-21.34202
553,5.0,55.4643,-21.34209
571,5.0,55.46447,-21.34215
592,5.0,55.46465,-21.34223
613,5.0,55.46483,-21.34231
634,5.0,55.465015,-21.342385
655,5.0,55.4652,-21.34246
675,4.5,55.465385,-21.34253
696,4.0,55.46557,-21.3426
720,4.0,55.465779999999995,-21.3427
745,4.0,55.46599,-21.3428
771,4.0,55.46622,-21.3429
788,4.0,55.46637,-21.342955
805,4.0,55.46652,-21.34301
821,4.0,55.4666625,-21.34306875
837,4.0,55.466805,-21.3431275
853,4.0,55.4669475,-21.343186250000002
869,4.0,55.46709,-21.343245
885,4.0,55.4672325,-21.343303749999997
902,4.0,55.467375000000004,-21.343362499999998
918,4.0,55.4675175,-21.34342125
934,4.0,55.46766,-21.34348
958,4.0,55.46788,-21.343555000000002
982,4.0,55.4681,-21.34363
1005,4.0,55.468315000000004,-21.34364
1027,4.0,55.46853,-21.34365
1049,4.0,55.46874,-21.34365
1071,4.0,55.468954999999994,-21.34364
1093,4.0,55.46917,-21.34363
1115,4.0,55.46938,-21.34363
1137,4.0,55.46959,-21.34363
1158,4.0,55.46979,-21.34364
1179,4.0,55.46999,-21.34365
1197,4.0,55.470169999999996,-21.34365
1216,4.0,55.470349999999996,-21.34365
1235,4.0,55.47053,-21.34365
1253,4.0,55.47071,-21.34365
1270,4.0,55.470875,-21.34366
1288,4.0,55.47104,-21.34367
1307,4.0,55.471225000000004,-21.34367
1326,4.0,55.47141,-21.34367
1346,4.0,55.4716,-21.34366
1364,4.0,55.47178,-21.34366
1383,4.0,55.47196,-21.34366
1403,4.0,55.47215,-21.34365
1426,4.0,55.4723775,-21.34365
1450,4.0,55.472605,-21.34365
1474,4.0,55.4728325,-21.34365
1497,4.0,55.473060000000004,-21.34365
1521,4.0,55.473287500000005,-21.34365
1544,4.0,55.473515000000006,-21.34365
1568,4.0,55.4737425,-21.34365
1592,4.0,55.47397,-21.34365
1607,4.0,55.47412,-21.34364
1623,4.0,55.474270000000004,-21.34364
1638,4.0,55.47442,-21.34364
1666,4.0,55.47469,-21.34365
1692,4.0,55.474935,-21.34365
1717,4.0,55.47518,-21.34365
1743,4.0,55.47543,-21.34364
1768,4.0,55.47567,-21.34364
1787,4.0,55.47585,-21.34365
1810,3.75,55.4760725,-21.34365
1833,3.5,55.476295,-21.34365
1856,3.25,55.4765175,-21.34365
