checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,allure_ref_norm
Saint Pierre,0,0,0,0,0,0,0,0,0,0
Dom Vidot,14100.0,658,15,3.5,14.1,658,15,14.1,658.0,15.0,0.0,46.666666666666664,1.0638297872340425,0.04233630747107083,0.003002574997948286
Dame paix,33500.0,2057,376,9.0,33.5,2057,376,19.4,1399.0,361.0,14.100000000000001,72.11340206185568,18.608247422680414,0.08244534447245033,0.004249760024353111
Nez boeuf,45600.0,2662,686,12.25,45.6,2662,686,12.100000000000001,605.0,310.0,33.5,49.99999999999999,25.6198347107438,0.05062481928739294,0.004183869362594457
Mare Boue,56000.0,2722,1173,14.5,56.0,2722,1173,10.399999999999999,60.0,487.0,45.6,5.76923076923077,46.82692307692308,0.038288768143839524,0.0036816123215230316
Croisée,68100.0,3701,1291,,68.1,3701,1291,12.099999999999994,979.0,118.0,56.0,80.90909090909095,9.752066115702483,0.07784280142565878,0.006433289374021389
Le Bloc,72200.0,3775,2373,,72.2,3775,2373,4.1000000000000085,74.0,1082.0,68.1,18.04878048780484,263.9024390243897,0.02478140578586127,0.006044245313624688
Cilaos,76700.0,3900,2694,22.0,76.7,3900,2694,4.5,125.0,321.0,72.2,27.77777777777778,71.33333333333333,0.019860659010058627,0.004413479780013028
Sentier T,83300.0,4384,3132,24.75,83.3,4384,3132,6.599999999999994,484.0,438.0,76.7,73.3333333333334,66.36363636363642,0.041646373983755015,0.006310056664205311
Marla,89300.0,5224,3610,,89.3,5224,3610,6.0,840.0,478.0,83.3,140.0,79.66666666666667,0.05034308453287946,0.008390514088813243
Merles,95900.0,5721,3912,31.5,95.9,5721,3912,6.6000000000000085,497.0,302.0,89.3,75.30303030303021,45.7575757575757,0.04371101438733756,0.006622880967778409
Sen. Scout,97900.0,5744,4110,32.5,97.9,5744,4110,2.0,23.0,198.0,95.9,11.5,99.0,0.01117433935014376,0.00558716967507188
Aurère,106600.0,6012,5103,36.25,106.6,6012,5103,8.699999999999989,268.0,993.0,97.9,30.804597701149465,114.1379310344829,0.046247105310251446,0.005315759231063391
Ilet Oran,116400.0,6893,5915,,116.4,6893,5915,9.800000000000011,881.0,812.0,106.6,89.89795918367336,82.85714285714276,0.07062526031803161,0.007206659216125666
Tête dure,124000.0,7985,6131,46.25 13h45,124.0,7985,6131,7.599999999999994,1092.0,216.0,116.4,143.6842105263159,28.42105263157897,0.07642678332706561,0.010056155700929693
Ilet Savan,139700.0,8090,7965,49.75,139.7,8090,7965,15.699999999999989,105.0,1834.0,124.0,6.68789808917198,116.8152866242039,0.08046371697813466,0.005125077514530874
Ratinaud,148500.0,8727,8284,52.5,148.5,8727,8284,8.800000000000011,637.0,319.0,139.7,72.38636363636354,36.24999999999995,0.053711338745668614,0.006103561221098698
Possession,156500.0,8903,8899,56.0,156.5,8903,8899,8.0,176.0,615.0,148.5,22.0,76.875,0.053569058553842606,0.006696132319230326
Chaloupe,164000.0,9260,9254,58.5,164.0,9260,9254,7.5,357.0,355.0,156.5,47.6,47.333333333333336,0.04491315901200257,0.005988421201600342
Colorado,173200.0,9991,9309,63.5,173.2,9991,9309,9.199999999999989,731.0,55.0,164.0,79.45652173913054,5.978260869565225,0.05960050894807955,0.006478316190008654
La Vigie,177300.0,9996,9651,,177.3,9996,9651,4.100000000000023,5.0,342.0,173.2,1.2195121951219445,83.414634146341,0.016497420258453247,0.004023761038647111
St Denis,178600.0,10019,9972,66.0,178.6,10019,9972,1.299999999999983,23.0,321.0,177.3,17.692307692307924,246.92307692308017,0.014890730698021921,0.011454408229247781
