bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
177,Emmanuel COLLOMB,01:02:55,1,MALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2728,Baptiste CHASSAGNE,01:10:13,2,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1186,Matthis LEAU,01:11:08,3,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2605,Aurelien DUNAND-PALLAZ,01:11:09,4,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1778,Maël NIVINOU,01:11:10,5,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1551,Yannick NOËL,01:11:14,6,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1747,Rémi GILLIE,01:11:16,7,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
310,Mathieu DESSERPRIT,01:11:17,8,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1961,Fabrice PAYET,01:11:22,9,MALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1534,Guilherme LOURENÇO,01:11:26,10,MALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2610,Ben DHIMAN,01:11:28,11,MALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1820,Jean - Philippe TSCHUMI,01:11:29,12,MALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1950,Courtney DAUWALTER,01:14:25,1,FEMALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2628,Katie SCHIDE,01:14:31,2,FEMALE,2023,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
299,Blandine L HIRONDEL,01:15:13,3,FEMALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2428,Sarah VIEUILLE,01:16:53,4,FEMALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2220,Anne-Lise ROUSSET SEGURET,01:17:14,5,FEMALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2588,Sarah VIEUILLE,01:18:25,6,FEMALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2806,Julia HARNIE,01:19:26,7,FEMALE,2023,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2085,Manon BOHARD,01:19:57,8,FEMALE,2024,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2693,Emilie MAROTEAUX,01:21:42,9,FEMALE,2023,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2037,Anne CHAMPAGNE,01:22:24,10,FEMALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2741,Johanna ANTILA,01:22:40,11,FEMALE,2025,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
1584,Sylvaine CUSSOT,01:23:00,12,FEMALE,2022,Départ → Domaine à Vidot,Dom Vidot,St Pierre,False
2728,Baptiste CHASSAGNE,04:31:49,1,MALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1551,Yannick NOËL,04:37:09,2,MALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
926,Ben DHIMAN,04:40:07,3,MALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
317,Mathieu BLANCHARD,04:40:48,4,MALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2605,Aurelien DUNAND-PALLAZ,04:42:26,5,MALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2893,Jean - Philippe TSCHUMI,04:42:55,6,MALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1747,Rémi GILLIE,04:43:06,7,MALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1961,Fabrice PAYET,04:46:34,8,MALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1003,Jérôme VANDERSCHAEGHE,04:46:40,9,MALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2845,Martin KERN,04:48:00,10,MALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2732,Ludovic POMMERET,04:48:13,11,MALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2125,Jean-Marie THEVENARD,04:50:00,12,MALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
299,Blandine L HIRONDEL,05:01:17,1,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2428,Sarah VIEUILLE,05:14:04,2,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2085,Manon BOHARD,05:34:56,3,FEMALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2037,Anne CHAMPAGNE,05:40:44,4,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1343,Marion ZARADZKI,05:41:32,5,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1663,Maryline NAKACHE,05:46:19,6,FEMALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
380,Amélie HUCHET,05:46:21,7,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2741,Johanna ANTILA,05:46:55,8,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2314,Manon CAMPANO,05:50:29,9,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2290,Aline COQUARD,05:51:40,10,FEMALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2329,Angelique Victoria LESPORT,05:57:30,11,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
921,Marie DOHIN,05:58:16,12,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1551,Yannick NOËL,01:53:18,1,MALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2728,Baptiste CHASSAGNE,01:57:54,2,MALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2893,Jean - Philippe TSCHUMI,02:01:16,3,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1820,Jean - Philippe TSCHUMI,02:01:54,4,MALE,2022,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1328,Aurélien DUNAND-PALLAZ,02:02:10,5,MALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
317,Mathieu BLANCHARD,02:04:25,6,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2125,Jean-Marie THEVENARD,02:05:10,7,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
926,Ben DHIMAN,02:05:18,8,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2845,Martin KERN,02:07:56,9,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1989,Maxime CAZAJOUS,02:08:19,10,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2199,Vincent ESMIOL,02:08:53,11,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2605,Aurelien DUNAND-PALLAZ,02:09:28,12,MALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1950,Courtney DAUWALTER,02:09:39,1,FEMALE,2022,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
299,Blandine L HIRONDEL,02:15:07,2,FEMALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2628,Katie SCHIDE,02:17:03,3,FEMALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2460,Camille BRUYAS,02:18:48,4,FEMALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
