access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],995,0,0,0,True,True,-21.06976,55.52097,Hell-Bourg,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Hell-Bourg,SIMPLE,[],2025-10-17T00:59:59.000+04:00,2025-10-17T00:59:59.000+04:00,
[],1808,16010,1325,36,False,True,-21.06616,55.45106,Plaine des Merles,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2025-10-17T02:43:59.000+04:00,2025-10-17T05:43:59.000+04:00,2025-10-17T06:10:00.000+04:00
[],1629,18130,1332,38,True,True,-21.05486,55.45454,Sentier Scout,MAS,[],Sen. Scout,SIMPLE,[],2025-10-17T02:52:59.000+04:00,2025-10-17T06:06:59.000+04:00,2025-10-17T06:40:00.000+04:00
[],914,26860,1607,39,True,True,-21.0199,55.42489,Aurère,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Aurère,SIMPLE,[],2025-10-17T03:38:59.000+04:00,2025-10-17T08:08:59.000+04:00,2025-10-17T08:55:00.000+04:00
[],260,33280,1658,50,True,True,-21.0031,55.39243,Deux Bras,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Deux Bras,SIMPLE,[],2025-10-17T04:07:59.000+04:00,2025-10-17T09:23:59.000+04:00,2025-10-17T10:25:00.000+04:00
[],820,38270,2359,51,False,True,-20.97968,55.3696,Dos d'Ane,MAS,[],Dos d'Ane,SIMPLE,[],2025-10-17T05:00:59.000+04:00,2025-10-17T11:31:59.000+04:00,2025-10-17T12:40:00.000+04:00
[],440,41680,2364,52,False,True,-20.96239,55.35705,Chemin Ratinaud,MAS,"['AID_STATION', 'DRINK_SUPPLY']",Ratinaud,SIMPLE,[],2025-10-17T05:15:59.000+04:00,2025-10-17T12:11:59.000+04:00,2025-10-17T13:40:00.000+04:00
[],4,50020,2559,54,True,True,-20.92695,55.33795,La possession,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2025-10-17T06:02:59.000+04:00,2025-10-17T14:16:59.000+04:00,2025-10-17T15:55:00.000+04:00
[],11,57390,2915,56,True,True,-20.89581,55.37722,Grande Chaloupe,MAS,"['AID_STATION', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2025-10-17T06:54:59.000+04:00,2025-10-17T16:35:59.000+04:00,2025-10-17T18:10:00.000+04:00
[],683,67710,3794,60,True,True,-20.90812,55.42366,Le Colorado,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2025-10-17T08:29:59.000+04:00,2025-10-17T20:28:59.000+04:00,2025-10-17T20:30:00.000+04:00
[],345,71790,3799,62,False,True,-20.88485,55.43388,La Vigie,MAS,[],La Vigie,SIMPLE,[],2025-10-17T08:52:59.000+04:00,2025-10-17T21:20:59.000+04:00,
[],52,74830,3820,64,True,True,-20.88506,55.44212,St Denis La Redoute,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,"[{'pointId': 64, 'live': 'x4xs96j', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-10-17T09:11:59.000+04:00,2025-10-17T22:01:59.000+04:00,2025-10-17T22:10:00.000+04:00
