portion_name,Meilleure perf,Type de tronçon,Quart de course,secteur_quart
Hell-Bourg → Merles,Nirina HAJA (01:45:38),Non Catégorisé,1er quart,1er quart (0.0–16.0 km | Hell-Bourg  → Merles)
Merles → Sen. Scout,Orlan AYADEN (00:11:47),Descente,2ème quart,2ème quart (16.0–33.3 km | Merles  → Deux Bras)
Sen. Scout → Aurère,Nirina HAJA (01:01:46),Descente,2ème quart,2ème quart (16.0–33.3 km | Merles  → Deux Bras)
Aurère → Deux Bras,Nicolas DRAPPIER (00:40:34),Descente,2ème quart,2ème quart (16.0–33.3 km | Merles  → Deux Bras)
Deux Bras → Dos d'Ane,Orlan AYADEN (00:58:32),Montée,3ème quart,3ème quart (33.3–50.0 km | Deux Bras  → Possession)
Dos d'Ane → Ratinaud,Rivosoa Hobilalaina ANDRIANIRINA (00:15:54),Descente,3ème quart,3ème quart (33.3–50.0 km | Deux Bras  → Possession)
Ratinaud → Possession,Orlan AYADEN (00:55:02),Non Catégorisé,3ème quart,3ème quart (33.3–50.0 km | Deux Bras  → Possession)
Possession → Chaloupe,Nirina HAJA (00:49:00),Non Catégorisé,4ème quart,4ème quart (50.0–74.8 km | Possession  → St Denis)
Chaloupe → Colorado,Orlan AYADEN (01:16:55),Montée,4ème quart,4ème quart (50.0–74.8 km | Possession  → St Denis)
Colorado → La Vigie,Rivosoa Hobilalaina ANDRIANIRINA (00:20:26),Descente,4ème quart,4ème quart (50.0–74.8 km | Possession  → St Denis)
La Vigie → St Denis,Nirina HAJA (00:17:22),Descente,4ème quart,4ème quart (50.0–74.8 km | Possession  → St Denis)
