distance_cum,altitude,lon,lat
0,994.0,55.52097,-21.06976
23,992.0,55.521135,-21.069625
45,991.5,55.5213,-21.06949
74,991.0,55.52151,-21.06933
90,990.0,55.5216,-21.06921
105,989.0,55.52165,-21.06908
121,989.0,55.52159,-21.068945
138,989.0,55.52153,-21.06881
158,989.0,55.521425,-21.068649999999998
179,989.0,55.52132,-21.06849
184,989.0,55.52131,-21.06845
185,989.0,55.5213,-21.06846
197,989.0,55.52119,-21.06843
223,989.0,55.52094,-21.06843
243,989.0,55.52075,-21.06839
263,987.0,55.52056,-21.06836
287,984.0,55.52034,-21.06831
293,982.0,55.52029,-21.06829
303,981.0,55.52021,-21.06824
307,980.0,55.52019,-21.06821
313,979.0,55.52018,-21.06816
319,979.0,55.52019,-21.0681
340,978.0,55.52026,-21.067925000000002
361,978.0,55.52033,-21.06775
376,975.0,55.52039,-21.06763
389,974.0,55.5205,-21.06757
415,974.0,55.52069,-21.06741
428,972.0,55.52074,-21.06731
441,970.0,55.52082,-21.06722
471,967.0,55.52098,-21.067
481,965.0,55.52102,-21.06691
506,961.0,55.52114,-21.06672
532,961.0,55.52129,-21.06653
552,961.0,55.52145,-21.06643
569,960.0,55.52157,-21.06633
579,959.0,55.52162,-21.06625
597,959.0,55.521685,-21.066105
614,958.0,55.52175,-21.06596
643,957.0,55.52188,-21.06573
660,954.0,55.52194,-21.06559
674,954.0,55.52202,-21.06549
684,952.0,55.52207,-21.06541
699,950.0,55.52198,-21.06531
725,946.0,55.52177,-21.06519
740,944.0,55.521645,-21.06511
756,941.0,55.52152,-21.06503
776,939.0,55.52135,-21.06495
796,938.0,55.52119,-21.06486
812,937.0,55.52107,-21.06477
826,937.0,55.52095,-21.06471
841,936.0,55.52084,-21.06462
860,936.0,55.5209,-21.06446
879,934.0,55.52096,-21.0643
896,934.0,55.52099,-21.064147499999997
913,933.0,55.52102,-21.063995
930,933.0,55.52105,-21.0638425
947,932.0,55.52108,-21.06369
976,930.0,55.52111,-21.06343
1002,928.0,55.5211,-21.0632
1029,928.0,55.52104,-21.06296
1038,928.0,55.52101,-21.06289
1043,928.0,55.52098,-21.06285
1051,929.0,55.52091,-21.06283
1060,930.0,55.52084,-21.06277
1076,933.0,55.52072,-21.06269
1091,934.0,55.5206,-21.06261
1114,934.0,55.52041,-21.062505
1137,935.0,55.52022,-21.0624
1163,936.0,55.51998,-21.06232
1187,937.0,55.51976,-21.062379999999997
1211,940.0,55.51954,-21.06244
1231,943.0,55.51935,-21.06247
1240,943.0,55.51927,-21.0625
1258,944.0,55.51913,-21.06259
1272,944.0,55.51912,-21.06272
1288,945.0,55.51917,-21.06285
1295,945.0,55.51922,-21.0629
1320,946.0,55.51934,-21.06309
1325,947.0,55.51935,-21.06314
1331,947.0,55.51934,-21.06319
1350,950.0,55.51923,-21.06332
1375,953.0,55.51904,-21.06346
1399,955.0,55.51887,-21.06361
1414,956.0,55.51874,-21.06367
1429,956.0,55.51863,-21.06375
1438,956.0,55.51869,-21.06381
1463,956.0,55.51884,-21.06399
1482,953.0,55.51897,-21.06411
1504,952.0,55.5191,-21.06426
1520,952.0,55.5191925,-21.064375
1536,952.0,55.519284999999996,-21.06449
1552,951.0,55.5193775,-21.064605
1568,950.0,55.51947,-21.06472
1591,947.0,55.51958,-21.0649
1608,944.0,55.51967,-21.06503
1626,941.0,55.51976,-21.06516
1638,940.0,55.51982,-21.06526
1648,940.0,55.51975,-21.06532
1666,940.0,55.5196,-21.0654
1683,940.0,55.51948,-21.0655
1703,940.0,55.51933,-21.06561
1719,941.0,55.51919,-21.06568
1739,941.0,55.51903,-21.065784999999998
1760,941.0,55.51887,-21.06589
1774,941.0,55.51875,-21.06595
1784,941.0,55.51867,-21.06601
1802,940.0,55.518525,-21.06609
1819,940.0,55.51838,-21.06617
1840,940.0,55.51822,-21.06628
1860,940.0,55.518339999999995,-21.06642
1880,941.0,55.51846,-21.06656
1896,943.0,55.51855,-21.06668
1912,946.0,55.51865,-21.06679
1928,946.0,55.51874,-21.06691
1945,947.0,55.51883,-21.06703
1969,949.0,55.518975,-21.0672
1994,956.0,55.51912,-21.06737
2010,956.0,55.51921,-21.06749
2029,957.0,55.5193,-21.067639999999997
2048,958.0,55.51939,-21.06779
2072,960.0,55.51949,-21.06798
2084,961.0,55.51949,-21.06809
2090,961.0,55.51947,-21.06814
2117,963.0,55.51933,-21.06835
2130,963.0,55.5193,-21.06846
2152,963.0,55.51927,-21.06866
2166,964.0,55.5192,-21.06876
2179,964.0,55.5191,-21.06884
2202,964.0,55.51891,-21.06895
2218,964.0,55.51877,-21.06899
2232,965.0,55.51863,-21.06901
2247,965.0,55.51849,-21.06899
2265,965.0,55.51833,-21.06893
2291,965.0,55.51811,-21.06881
2312,965.0,55.51799,-21.06866
2333,965.0,55.51787,-21.06851
2351,965.0,55.51775,-21.06839
2361,965.0,55.51767,-21.06835
2370,964.0,55.51759,-21.06832
2387,964.0,55.51742,-21.06832
2411,964.0,55.51719,-21.06834
2425,964.0,55.51706,-21.06831
2447,964.0,55.51687,-21.06822
2464,964.0,55.516745,-21.06813
2480,964.0,55.51662,-21.06804
2497,964.0,55.51647,-21.06797
2519,964.0,55.51627,-21.067909999999998
2541,964.0,55.51607,-21.06785
2548,964.0,55.516,-21.06786
2563,964.0,55.51587,-21.0679
2593,964.0,55.51563,-21.06805
2617,964.0,55.51542,-21.06814
2637,964.0,55.515225,-21.068185
2658,964.0,55.51503,-21.06823
2674,963.0,55.514895,-21.068289999999998
2689,963.0,55.51476,-21.06835
2706,961.0,55.514625,-21.068424999999998
2722,960.0,55.51449,-21.0685
2747,960.0,55.514275,-21.06861
2773,960.0,55.51406,-21.06872
2789,960.0,55.51395,-21.06882
2801,960.0,55.51392,-21.06893
2814,960.0,55.51393,-21.06904
2821,959.0,55.51396,-21.0691
2848,958.0,55.51413,-21.06928
2856,957.0,55.51416,-21.06935
2862,957.0,55.51415,-21.0694
2870,956.0,55.51409,-21.06945
2893,954.0,55.51387,-21.06949
2909,951.0,55.51373,-21.06946
2926,947.0,55.5136,-21.06936
2939,946.0,55.51355,-21.06926
2955,945.0,55.51351,-21.06912
2979,943.0,55.5134,-21.06893
3002,941.0,55.51325,-21.06877
3020,937.0,55.5131,-21.06871
3029,936.0,55.51301,-21.06869
3040,933.0,55.51292,-21.06865
3060,932.0,55.51276,-21.06855
3079,930.0,55.51266,-21.06841
3105,929.0,55.51255999999999,-21.068195
3131,928.0,55.51246,-21.06798
3148,927.0,55.51244,-21.06783
3155,927.0,55.51244,-21.06776
3166,927.0,55.51246,-21.06767
3180,927.0,55.51254,-21.06756
3205,923.0,55.51277,-21.06753
3229,922.0,55.513,-21.06751
3244,922.0,55.513144999999994,-21.067475
3260,922.0,55.51329,-21.06744
3275,922.0,55.5134075,-21.067355
3291,922.0,55.513525,-21.06727
3306,923.0,55.5136425,-21.067185000000002
3321,923.0,55.51376,-21.0671
3338,924.0,55.51389,-21.06702
3354,926.0,55.514,-21.06691
3368,927.0,55.51405,-21.0668
3379,929.0,55.51406,-21.0667
3391,930.0,55.51402,-21.0666
3415,933.0,55.51383,-21.06647
3432,934.0,55.5136925,-21.0664
3448,935.0,55.513555,-21.06633
3464,936.0,55.5134175,-21.06626
3480,936.0,55.51328,-21.06619
3504,939.0,55.51309,-21.06607
3523,939.0,55.51297,-21.06595
3546,939.0,55.512795,-21.065820000000002
3569,939.0,55.51262,-21.06569
3585,938.0,55.512519999999995,-21.06558
3601,938.0,55.51242,-21.06547
3627,937.0,55.51227,-21.06528
3642,937.0,55.51216,-21.06519
3658,936.0,55.51205,-21.0651
3687,936.0,55.51179,-21.065
3712,935.0,55.51156,-21.06493
3728,935.0,55.51144,-21.06484
3744,935.0,55.51132,-21.06475
3767,935.0,55.51126,-21.064545000000003
3791,935.0,55.5112,-21.06434
3812,935.0,55.511065,-21.064195
3834,935.0,55.51093,-21.06405
3859,934.0,55.51074,-21.06391
3872,934.0,55.51065,-21.06383
3888,934.0,55.51052,-21.06374
3898,934.0,55.51044,-21.06369
3918,934.0,55.510270000000006,-21.06361
3938,934.0,55.5101,-21.06353
3953,934.0,55.50998,-21.06345
3969,935.0,55.509865,-21.06336
3984,935.0,55.50975,-21.06327
4000,935.0,55.50964,-21.06317
4027,935.0,55.50943,-21.06303
4042,935.0,55.50929,-21.06299
4056,934.0,55.50916,-21.06298
4069,933.0,55.50903,-21.063
4084,932.0,55.5089,-21.06304
4110,930.0,55.50869,-21.06317
4127,929.0,55.50856,-21.06326
4140,927.0,55.50845,-21.06332
4144,927.0,55.50841,-21.06331
4154,926.0,55.50837,-21.06323
4162,926.0,55.50841,-21.06317
4186,924.0,55.50855,-21.063
4204,922.0,55.50863,-21.06285
4227,921.0,55.50865,-21.06265
4243,919.0,55.50864,-21.062505
4259,917.0,55.50863,-21.06236
4283,914.0,55.50859,-21.06215
4295,913.0,55.50851,-21.06207
4311,911.0,55.50837,-21.06203
4326,909.0,55.50822,-21.06201
4342,907.0,55.50807,-21.06204
4369,903.0,55.507819999999995,-21.06207
4395,900.0,55.50757,-21.0621
4421,896.0,55.50734,-21.06217
4441,894.0,55.50715,-21.06219
4458,891.0,55.50703,-21.06209
4474,889.0,55.50691,-21.06199
4488,888.0,55.50682,-21.0619
4493,888.0,55.50682,-21.06186
4497,888.0,55.50684,-21.06182
4505,888.0,55.50686,-21.06175
4509,888.0,55.50688,-21.06173
4510,888.0,55.50688,-21.06172
4513,888.0,55.50691,-21.0617
4524,887.0,55.50695,-21.06161
4528,886.0,55.50694,-21.06158
4539,885.0,55.50694,-21.06148
4549,885.0,55.5069,-21.0614
4559,884.0,55.50684,-21.06133
4573,884.0,55.50671,-21.06128
4587,882.0,55.5066,-21.06122
4594,881.0,55.50653,-21.0612
4613,879.0,55.50635,-21.06117
4638,876.0,55.50633,-21.06139
4662,872.0,55.5063,-21.0616
4681,871.0,55.5063,-21.06177
4693,869.0,55.50627,-21.06188
4707,868.0,55.50616,-21.06181
4725,865.0,55.50607,-21.06168
4739,864.0,55.50601,-21.06156
4752,864.0,55.50606,-21.06145
4763,864.0,55.50608,-21.06136
4782,863.0,55.506,-21.0612
4804,862.0,55.50596,-21.06101
4817,861.0,55.50592,-21.0609
4841,860.0,55.50583,-21.0607
4864,856.0,55.50573,-21.06051
4882,852.0,55.50564,-21.06038
4897,848.0,55.50559,-21.06026
4911,843.0,55.50557,-21.06014
4924,842.0,55.50565,-21.06005
4933,842.0,55.5057,-21.05998
4937,841.0,55.50571,-21.05995
4946,840.0,55.50562,-21.05995
4954,839.0,55.50557,-21.06
4974,836.0,55.5054,-21.06008
4988,835.0,55.50532,-21.06018
4999,834.0,55.5053,-21.06028
5012,832.0,55.50529,-21.06039
5021,831.0,55.50526,-21.06047
5026,830.0,55.50521,-21.06046
5038,827.0,55.50512,-21.0604
5053,826.0,55.50508,-21.06027
5073,824.0,55.505,-21.06011
5078,824.0,55.50495,-21.0601
5085,823.0,55.50491,-21.06015
5098,822.0,55.50493,-21.06026
5113,819.0,55.50486,-21.06038
5134,818.0,55.50469,-21.06028
5143,816.0,55.50463,-21.06022
5172,812.0,55.50441,-21.06007
5181,812.0,55.50439,-21.05999
5197,811.0,55.50439,-21.05984
5214,809.0,55.50439,-21.05969
5228,805.0,55.50436,-21.05957
5245,805.0,55.50427,-21.05944
5270,800.0,55.50408,-21.05931
5296,799.0,55.50389,-21.05916
5312,797.0,55.50379,-21.05905
5318,795.0,55.50373,-21.05906
5321,794.0,55.50372,-21.05908
5328,793.0,55.50376,-21.05913
5340,793.0,55.50384,-21.0592
5348,791.0,55.50387,-21.05927
5360,791.0,55.50393,-21.05936
5366,789.0,55.50394,-21.05941
5374,787.0,55.50389,-21.05947
5383,786.0,55.50381,-21.05946
5407,782.0,55.50363,-21.05932
5423,780.0,55.503524999999996,-21.05922
5439,779.0,55.50342,-21.05912
5464,776.0,55.50337,-21.0589
5472,775.0,55.5033,-21.05886
5481,774.0,55.50327,-21.05893
5495,774.0,55.50329,-21.05906
5505,771.0,55.50327,-21.05914
5511,771.0,55.50321,-21.05916
5523,769.0,55.5031,-21.05914
5535,768.0,55.503,-21.05909
5547,768.0,55.50288,-21.05908
5560,767.0,55.50276,-21.05906
5568,767.0,55.5027,-21.05902
5584,766.0,55.502629999999996,-21.058889999999998
5600,766.0,55.50256,-21.05876
5623,765.0,55.502425,-21.058590000000002
5647,762.0,55.50229,-21.05842
5677,762.0,55.50202,-21.05833
5693,762.0,55.501875,-21.058265
5710,762.0,55.50173,-21.0582
5737,762.0,55.50155,-21.05802
5753,761.0,55.501485,-21.057895000000002
5768,761.0,55.50142,-21.05777
5787,760.0,55.5014,-21.0576
5802,759.0,55.5014,-21.05747
5823,757.0,55.50137,-21.05728
5828,757.0,55.50137,-21.05723
5844,755.0,55.50148,-21.05714
5851,754.0,55.50152,-21.05709
5860,751.0,55.50154,-21.05701
5868,749.0,55.50151,-21.05695
5883,746.0,55.50142,-21.05685
5912,742.0,55.50145,-21.05659
5933,742.0,55.50142,-21.0564
5949,742.0,55.50141,-21.05626
5966,741.0,55.501495,-21.056130000000003
5983,739.0,55.50158,-21.056
5996,735.0,55.50168,-21.05594
6002,733.0,55.50174,-21.05594
6019,733.0,55.501895,-21.055995
6038,723.0,55.50205,-21.05605
6047,722.0,55.50207,-21.05597
6073,715.0,55.50202,-21.05575
6097,710.0,55.50189,-21.05558
6101,708.0,55.50191,-21.05555
6113,706.0,55.50201,-21.0555
6134,701.0,55.50194,-21.05533
6144,699.0,55.50202,-21.05527
6170,687.0,55.50224,-21.05528
6186,686.0,55.50228,-21.05514
6207,679.0,55.50222,-21.05497
6235,674.0,55.50222,-21.05472
6248,674.0,55.50225,-21.0546
6264,671.0,55.50238,-21.05453
6276,670.0,55.50243,-21.05443
6288,670.0,55.50243,-21.05433
6294,668.0,55.50239,-21.05429
6309,667.0,55.50224,-21.05428
6325,665.0,55.50209,-21.05427
6344,665.0,55.50191,-21.05423
6364,661.0,55.50173,-21.05418
6383,660.0,55.50155,-21.054139999999997
6403,660.0,55.50137,-21.0541
6415,660.0,55.50126,-21.05405
6438,660.0,55.5011,-21.05391
6455,662.0,55.50094,-21.05391
6466,662.0,55.50084,-21.05396
6476,663.0,55.50075,-21.05397
6490,664.0,55.5007,-21.05409
6504,665.0,55.5007,-21.05422
6523,665.0,55.50075,-21.05438
6534,666.0,55.50081,-21.05446
6542,666.0,55.50084,-21.05453
6548,667.0,55.50084,-21.05458
6560,669.0,55.50072,-21.05456
6576,673.0,55.50058,-21.05456
6586,676.0,55.50053,-21.05464
6614,678.0,55.50062,-21.05488
6630,679.0,55.50057,-21.05501
6644,682.0,55.50057,-21.05513
6657,683.0,55.5006,-21.05525
6674,687.0,55.50047,-21.05517
6696,694.0,55.50027,-21.05513
6712,695.0,55.50015,-21.05504
6716,696.0,55.50013,-21.05501
6727,696.0,55.50012,-21.05491
6740,698.0,55.50005,-21.05482
6747,698.0,55.50003,-21.05476
6750,699.0,55.50001,-21.05474
6758,701.0,55.49994,-21.0547
6770,705.0,55.49984,-21.05469
6774,705.0,55.4998,-21.05471
6784,708.0,55.49974,-21.05477
6791,710.0,55.49971,-21.05483
6797,712.0,55.49966,-21.05484
6812,714.0,55.49962,-21.05471
6824,715.0,55.4997,-21.05463
6833,717.0,55.49974,-21.05456
6838,718.0,55.49974,-21.05452
6851,721.0,55.4997,-21.05441
6861,723.0,55.49965,-21.05433
6875,727.0,55.49962,-21.05422
6880,727.0,55.4996,-21.05418
6886,728.0,55.49956,-21.05423
6892,728.0,55.49954,-21.05428
6912,734.0,55.49941,-21.0544
6915,734.0,55.49938,-21.05439
6943,737.0,55.49938,-21.05414
6947,738.0,55.49934,-21.05414
6968,742.0,55.49921,-21.05428
6989,747.0,55.49907,-21.0544
6996,749.0,55.499,-21.05441
7012,750.0,55.49885,-21.0544
7017,751.0,55.49881,-21.05437
7023,751.0,55.49876,-21.05436
7026,752.0,55.49874,-21.05439
7031,752.0,55.49876,-21.05443
7043,755.0,55.49883,-21.05451
7050,756.0,55.49888,-21.05455
7054,757.0,55.4989,-21.05458
7063,759.0,55.49885,-21.05464
7066,759.0,55.49882,-21.05465
7073,760.0,55.49875,-21.05464
7080,761.0,55.49869,-21.05462
7086,762.0,55.49865,-21.05459
7088,764.0,55.49863,-21.05459
7094,764.0,55.49859,-21.05455
7102,765.0,55.49852,-21.05453
7110,766.0,55.49847,-21.05447
7122,769.0,55.49838,-21.05441
7126,769.0,55.49834,-21.05441
7138,771.0,55.49823,-21.05437
7147,772.0,55.49815,-21.05436
7152,773.0,55.49811,-21.05434
7171,776.0,55.49793,-21.05432
7178,777.0,55.49788,-21.05428
7189,779.0,55.49778,-21.05424
7193,779.0,55.49774,-21.05423
7218,783.0,55.49751,-21.05422
7241,790.0,55.4973,-21.05423
7247,791.0,55.49725,-21.05426
7258,792.0,55.49714,-21.05426
7266,792.0,55.49707,-21.05423
7275,793.0,55.49701,-21.05418
7280,794.0,55.49696,-21.05416
7285,795.0,55.49692,-21.05416
7287,795.0,55.4969,-21.05417
7301,798.0,55.4968,-21.05425
7308,798.0,55.49674,-21.05427
7311,799.0,55.49671,-21.05427
7315,799.0,55.49667,-21.05425
7325,800.0,55.4966,-21.05419
7339,804.0,55.49648,-21.05415
7344,806.0,55.49643,-21.05416
7356,809.0,55.49634,-21.05421
7364,809.0,55.4963,-21.05427
7367,810.0,55.49627,-21.05427
7369,811.0,55.49625,-21.05426
7373,812.0,55.49622,-21.05427
7380,813.0,55.49618,-21.05432
7388,815.0,55.49612,-21.05436
7395,817.0,55.49608,-21.05441
7403,820.0,55.49601,-21.05443
7407,821.0,55.49597,-21.05442
7423,823.0,55.49585,-21.05434
7430,824.0,55.49579,-21.05431
7447,826.0,55.49564,-21.05437
7455,827.0,55.49558,-21.05433
7480,829.0,55.49542,-21.05416
7491,831.0,55.49534,-21.0541
7508,836.0,55.49518,-21.05413
7515,837.0,55.49512,-21.05412
7519,837.0,55.49509,-21.0541
7531,838.0,55.495,-21.05403
7538,839.0,55.49498,-21.05397
7542,840.0,55.49498,-21.05393
7546,840.0,55.49496,-21.0539
7552,841.0,55.49492,-21.05386
7564,842.0,55.49482,-21.05381
7570,843.0,55.49477,-21.05382
7586,846.0,55.49464,-21.05389
7594,848.0,55.49458,-21.05394
7598,850.0,55.49457,-21.05397
7601,850.0,55.49457,-21.054
7610,851.0,55.49461,-21.05407
7637,851.0,55.49479,-21.05424
7640,853.0,55.49479,-21.05427
7643,853.0,55.49478,-21.05429
7650,856.0,55.49472,-21.05432
7674,860.0,55.4945,-21.05435
7683,861.0,55.49441,-21.05434
7693,862.0,55.49432,-21.05431
7719,867.0,55.49411,-21.05419
7742,873.0,55.49391,-21.05411
7769,877.0,55.49366,-21.05415
7774,879.0,55.49361,-21.05415
7779,880.0,55.49357,-21.05413
7785,881.0,55.49352,-21.05413
7806,886.0,55.49333,-21.0542
7811,886.0,55.49329,-21.0542
7819,887.0,55.49321,-21.05418
