checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,allure_ref_norm
Hell-Bourg,0,0,,0,0,0,0,0,
Merles,16005,1352,544,2025-10-17T06:10:00.000+04:00,16.005,1352,544,16.005,1352.0,544.0,0.0,84.4736019993752,33.989378319275225,0.20154031336597786,0.012592334480848353
Sen. Scout,18117,1374,731,2025-10-17T06:40:00.000+04:00,18.117,1374,731,2.112000000000002,22.0,187.0,16.005,10.416666666666657,88.54166666666659,0.02447792009627015,0.01158992428800669
Aurère,26846,1651,1731,2025-10-17T08:55:00.000+04:00,26.846,1651,1731,8.729,277.0,1000.0,18.117,31.733302783824037,114.56065986940085,0.11084832722220424,0.012698857511994987
Deux Bras,33259,1712,2450,2025-10-17T10:25:00.000+04:00,33.259,1712,2450,6.413,61.0,719.0,26.846,9.511928894433183,112.11601434585997,0.07620259717920348,0.011882519441634723
Dos d'Ane,38268,2414,2617,2025-10-17T12:40:00.000+04:00,38.268,2414,2617,5.009,702.0,167.0,33.259,140.1477340786584,33.33998802156119,0.10885945996738557,0.02173277300207338
Ratinaud,41670,2422,3032,2025-10-17T13:40:00.000+04:00,41.67,2422,3032,3.402000000000001,8.0,415.0,38.268,2.351557907113462,121.98706643151084,0.03075574542251927,0.009040489542186732
Possession,50016,2642,3628,2025-10-17T15:55:00.000+04:00,50.016,2642,3628,8.345999999999997,220.0,596.0,41.67,26.359932901988987,71.41145458902471,0.10924724848899216,0.013089773363167051
Chaloupe,57380,3080,3987,2025-10-17T18:10:00.000+04:00,57.38,3080,3987,7.364000000000004,438.0,359.0,50.016,59.47854426941876,48.750678978815834,0.10361125009640501,0.014069968780065854
Colorado,67709,3899,4214,2025-10-17T20:30:00.000+04:00,67.709,3899,4214,10.329,819.0,227.0,57.38,79.29131571304094,21.9769580791945,0.15474399522303164,0.014981507911998416
La Vigie,71785,3927,4611,,71.785,3927,4611,4.075999999999993,28.0,397.0,67.709,6.869479882237499,97.39941118743883,0.04229153061136956,0.010375743525851234
St Denis,74326,3934,4877,2025-10-17T22:10:00.000+04:00,74.326,3934,4877,2.540999999999997,7.0,266.0,71.785,2.754820936639122,104.68319559228664,0.03742161232664098,0.014727120160031887
