bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
3759,Alexandre DEPECHE,01:43:28,1,MALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4160,Rivosoa Hobilalaina ANDRIANIRINA,01:43:49,2,MALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4302,Nirina HAJA,01:45:38,3,MALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4186,Rivosoa Hobilalaina ANDRIANIRINA,01:45:39,4,MALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4457,Matis FUGIER,01:46:18,5,MALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3354,Orlan AYADEN,01:47:42,6,MALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3921,Orlan AYADEN,01:47:55,7,MALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3643,Moritz AUF DER HEIDE,01:48:00,8,MALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3212,Arthur GOURBIERE,01:48:43,9,MALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3393,Matis FUGIER,01:48:44,10,MALE,2023,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4609,Ludovic JASMIN,01:49:00,11,MALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4139,Adrien Karim CHOUCHOU,01:49:04,12,MALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3845,Axelle HENRY,01:59:23,1,FEMALE,2023,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4081,Victoria DEVOUGE,02:05:54,2,FEMALE,2022,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3285,Laure REBUFFET,02:06:38,3,FEMALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4004,Morgane SATGE,02:08:39,4,FEMALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3394,Amélie HUCHET,02:09:53,5,FEMALE,2022,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4073,Maëlys DEVOS,02:13:04,6,FEMALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4034,Pauline DURAND,02:13:04,7,FEMALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3294,Camille ANCIAUX,02:14:49,8,FEMALE,2023,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3304,Melanie HAUSS,02:15:20,9,FEMALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4365,Chloé MERIEL,02:15:24,10,FEMALE,2025,Hell-Bourg → Merles,Merles,Hell-Bourg,False
4298,Claire DAUCHEZ,02:15:24,11,FEMALE,2023,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3731,Thaïs PIBOULEAU,02:16:18,12,FEMALE,2024,Hell-Bourg → Merles,Merles,Hell-Bourg,False
3759,Alexandre DEPECHE,00:10:49,1,MALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
4160,Rivosoa Hobilalaina ANDRIANIRINA,00:11:02,2,MALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
3354,Orlan AYADEN,00:11:47,3,MALE,2025,Merles → Sen. Scout,Sen. Scout,Merles,False
3865,Nicolas COURT,00:12:15,4,MALE,2024,Merles → Sen. Scout,Sen. Scout,Merles,False
