bib,name,status,category,sex,country,Hell-Bourg,Merles,Sen. Scout,Aurère,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,La Vigie,St Denis
3354,Orlan AYADEN,FINISHER,M0 H,MALE,RE,2025-10-17T00:59:59.000+04:00,2025-10-17T02:47:41.000+04:00,2025-10-17T02:59:28.000+04:00,2025-10-17T04:02:34.000+04:00,2025-10-17T04:44:25.000+04:00,2025-10-17T05:42:57.000+04:00,2025-10-17T05:59:01.000+04:00,2025-10-17T06:54:03.000+04:00,2025-10-17T07:43:12.000+04:00,2025-10-17T09:00:07.000+04:00,2025-10-17T09:22:41.000+04:00,2025-10-17T09:42:45.000+04:00
4302,Nirina HAJA,FINISHER,SE H,MALE,MG,2025-10-17T00:59:59.000+04:00,2025-10-17T02:45:37.000+04:00,2025-10-17T02:58:42.000+04:00,2025-10-17T04:00:28.000+04:00,2025-10-17T04:44:28.000+04:00,2025-10-17T05:43:22.000+04:00,2025-10-17T06:00:17.000+04:00,2025-10-17T06:56:26.000+04:00,2025-10-17T07:45:26.000+04:00,2025-10-17T09:07:11.000+04:00,2025-10-17T09:28:44.000+04:00,2025-10-17T09:46:06.000+04:00
4186,Rivosoa Hobilalaina ANDRIANIRINA,FINISHER,M1 H,MALE,MG,2025-10-17T00:59:59.000+04:00,2025-10-17T02:45:38.000+04:00,2025-10-17T02:58:43.000+04:00,2025-10-17T04:01:13.000+04:00,2025-10-17T04:44:27.000+04:00,2025-10-17T05:45:53.000+04:00,2025-10-17T06:01:47.000+04:00,2025-10-17T07:01:02.000+04:00,2025-10-17T07:56:43.000+04:00,2025-10-17T09:18:30.000+04:00,2025-10-17T09:38:56.000+04:00,2025-10-17T09:58:55.000+04:00
3212,Arthur GOURBIERE,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:48:42.000+04:00,2025-10-17T03:02:16.000+04:00,2025-10-17T04:07:17.000+04:00,2025-10-17T04:52:17.000+04:00,2025-10-17T05:54:52.000+04:00,2025-10-17T06:13:31.000+04:00,2025-10-17T07:16:06.000+04:00,2025-10-17T08:09:50.000+04:00,2025-10-17T09:29:59.000+04:00,2025-10-17T09:52:07.000+04:00,2025-10-17T10:12:02.000+04:00
3745,Jonathan HOARAU,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:54:04.000+04:00,2025-10-17T03:06:55.000+04:00,2025-10-17T04:10:19.000+04:00,2025-10-17T04:52:16.000+04:00,2025-10-17T05:52:03.000+04:00,2025-10-17T06:08:23.000+04:00,2025-10-17T07:08:13.000+04:00,2025-10-17T08:08:47.000+04:00,2025-10-17T09:38:12.000+04:00,2025-10-17T10:03:40.000+04:00,2025-10-17T10:23:17.000+04:00
3050,Nicolas DRAPPIER,FINISHER,M0 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:57:22.000+04:00,2025-10-17T03:11:18.000+04:00,2025-10-17T04:14:22.000+04:00,2025-10-17T04:54:56.000+04:00,2025-10-17T05:54:37.000+04:00,2025-10-17T06:11:50.000+04:00,2025-10-17T07:09:10.000+04:00,2025-10-17T08:09:39.000+04:00,2025-10-17T09:35:29.000+04:00,2025-10-17T10:01:11.000+04:00,2025-10-17T10:24:10.000+04:00
4020,Gauthier DURET,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:06:50.000+04:00,2025-10-17T03:22:40.000+04:00,2025-10-17T04:30:30.000+04:00,2025-10-17T05:17:17.000+04:00,2025-10-17T06:18:37.000+04:00,2025-10-17T06:35:43.000+04:00,2025-10-17T07:36:06.000+04:00,2025-10-17T08:29:16.000+04:00,2025-10-17T09:52:12.000+04:00,2025-10-17T10:16:31.000+04:00,2025-10-17T10:38:11.000+04:00
4275,Thomas WIPLIER,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:06:21.000+04:00,2025-10-17T03:19:34.000+04:00,2025-10-17T04:27:23.000+04:00,2025-10-17T05:12:54.000+04:00,2025-10-17T06:15:22.000+04:00,2025-10-17T06:33:11.000+04:00,2025-10-17T07:33:00.000+04:00,2025-10-17T08:30:11.000+04:00,2025-10-17T09:59:17.000+04:00,2025-10-17T10:26:38.000+04:00,2025-10-17T10:49:06.000+04:00
3329,Logan ETTER,FINISHER,SE H,MALE,CH,2025-10-17T00:59:59.000+04:00,2025-10-17T02:57:12.000+04:00,2025-10-17T03:11:27.000+04:00,2025-10-17T04:25:17.000+04:00,2025-10-17T05:15:58.000+04:00,2025-10-17T06:15:03.000+04:00,2025-10-17T06:32:17.000+04:00,2025-10-17T07:33:44.000+04:00,2025-10-17T08:31:16.000+04:00,2025-10-17T09:59:42.000+04:00,2025-10-17T10:25:59.000+04:00,2025-10-17T10:50:25.000+04:00
4432,Titouan FORT,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:04:42.000+04:00,2025-10-17T03:18:33.000+04:00,2025-10-17T04:27:27.000+04:00,2025-10-17T05:14:35.000+04:00,2025-10-17T06:15:54.000+04:00,2025-10-17T06:34:43.000+04:00,2025-10-17T07:37:57.000+04:00,2025-10-17T08:32:23.000+04:00,2025-10-17T10:06:02.000+04:00,2025-10-17T10:31:04.000+04:00,2025-10-17T10:54:09.000+04:00
3181,Guillaume CAMBON,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:58:31.000+04:00,2025-10-17T03:12:03.000+04:00,2025-10-17T04:17:13.000+04:00,2025-10-17T05:03:41.000+04:00,2025-10-17T06:14:24.000+04:00,2025-10-17T06:32:28.000+04:00,2025-10-17T07:35:57.000+04:00,2025-10-17T08:40:25.000+04:00,2025-10-17T10:12:54.000+04:00,2025-10-17T10:35:46.000+04:00,2025-10-17T10:57:32.000+04:00
4440,Urko LARRANAGA,FINISHER,M1 H,MALE,ES,2025-10-17T00:59:59.000+04:00,2025-10-17T03:04:28.000+04:00,2025-10-17T03:19:04.000+04:00,2025-10-17T04:22:24.000+04:00,2025-10-17T05:05:51.000+04:00,2025-10-17T06:12:01.000+04:00,2025-10-17T06:30:48.000+04:00,2025-10-17T07:35:20.000+04:00,2025-10-17T08:36:08.000+04:00,2025-10-17T10:10:05.000+04:00,2025-10-17T10:37:17.000+04:00,2025-10-17T10:58:42.000+04:00
3968,Nicolas MARCY,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:54:03.000+04:00,2025-10-17T03:06:51.000+04:00,2025-10-17T04:11:07.000+04:00,2025-10-17T04:55:39.000+04:00,2025-10-17T06:09:49.000+04:00,2025-10-17T06:30:47.000+04:00,2025-10-17T07:38:03.000+04:00,2025-10-17T08:39:58.000+04:00,2025-10-17T10:19:15.000+04:00,2025-10-17T10:44:41.000+04:00,2025-10-17T11:05:27.000+04:00
4379,Rodolphe BABET,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:06:27.000+04:00,2025-10-17T03:20:33.000+04:00,2025-10-17T04:27:26.000+04:00,2025-10-17T05:12:05.000+04:00,2025-10-17T06:15:55.000+04:00,2025-10-17T06:34:44.000+04:00,2025-10-17T07:37:12.000+04:00,2025-10-17T08:34:27.000+04:00,2025-10-17T10:26:35.000+04:00,2025-10-17T10:53:34.000+04:00,2025-10-17T11:15:20.000+04:00
3196,Kristen NICOL,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:01:04.000+04:00,2025-10-17T03:14:39.000+04:00,2025-10-17T04:22:38.000+04:00,2025-10-17T05:07:50.000+04:00,2025-10-17T06:09:05.000+04:00,2025-10-17T06:27:35.000+04:00,2025-10-17T07:35:19.000+04:00,2025-10-17T08:37:34.000+04:00,2025-10-17T10:22:05.000+04:00,2025-10-17T10:51:47.000+04:00,2025-10-17T11:16:33.000+04:00
3992,Jérôme LEPASQUIER,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:58:33.000+04:00,2025-10-17T03:11:54.000+04:00,2025-10-17T04:14:21.000+04:00,2025-10-17T04:58:49.000+04:00,2025-10-17T06:08:24.000+04:00,2025-10-17T06:27:12.000+04:00,2025-10-17T07:30:57.000+04:00,2025-10-17T08:29:16.000+04:00,2025-10-17T10:24:49.000+04:00,2025-10-17T11:02:54.000+04:00,2025-10-17T11:24:07.000+04:00
4312,Alson RAJAT,FINISHER,M2 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:57:25.000+04:00,2025-10-17T03:15:23.000+04:00,2025-10-17T04:24:55.000+04:00,2025-10-17T05:12:07.000+04:00,2025-10-17T06:25:42.000+04:00,2025-10-17T06:46:35.000+04:00,2025-10-17T07:59:21.000+04:00,2025-10-17T09:04:34.000+04:00,2025-10-17T10:37:10.000+04:00,2025-10-17T11:05:00.000+04:00,2025-10-17T11:26:41.000+04:00
4044,David SUZANNE-BODIN,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:59:48.000+04:00,2025-10-17T03:14:33.000+04:00,2025-10-17T04:21:46.000+04:00,2025-10-17T05:07:34.000+04:00,2025-10-17T06:13:18.000+04:00,2025-10-17T06:33:05.000+04:00,2025-10-17T07:40:54.000+04:00,2025-10-17T08:45:40.000+04:00,2025-10-17T10:30:17.000+04:00,2025-10-17T11:03:28.000+04:00,2025-10-17T11:28:44.000+04:00
3556,Maxime PRAT,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:58:34.000+04:00,2025-10-17T03:12:34.000+04:00,2025-10-17T04:15:46.000+04:00,2025-10-17T04:58:48.000+04:00,2025-10-17T06:08:26.000+04:00,2025-10-17T06:27:13.000+04:00,2025-10-17T07:30:49.000+04:00,2025-10-17T08:42:22.000+04:00,2025-10-17T10:39:07.000+04:00,2025-10-17T11:08:07.000+04:00,2025-10-17T11:32:42.000+04:00
