year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2025,7004,mafate trail tour - mafate trail tour,53900.0,3560,FEMALE,50K,608,16:46:49,2023,FR
2025,7005,adidas terrex maxi-race - demi-tour du lac d'annecy,42000.0,2300,MALE,50K,219,06:21:29,2025,FR
2025,7005,trans aubrac - ta 50 - trail du capuchadou,53600.0,1410,MALE,50K,55,05:43:50,2024,FR
2025,7007,le grand raid de la réunion - trail de bourbon,109200.0,5960,FEMALE,100K,746,39:26:35,2022,FR
2025,7007,l'infernal trail des vosges - it 130,123800.0,5634,FEMALE,100M,120,31:11:05,2022,FR
2025,7007,les vosgirunners trails nature - dÉfi des seigneurs,80300.0,3270,FEMALE,100K,142,13:37:55,2022,FR
2025,7007,trail du petit ballon - 54 km,55900.0,2180,FEMALE,50K,553,09:27:08,2022,FR
2025,7007,terre de feu  - terre de feu,30300.0,1560,FEMALE,20K,225,04:33:44,2022,FR
2025,7011,le grand raid de la réunion - la mascareignes,70000.0,3829,FEMALE,100K,601,16:39:44,2024,FR
2025,7011,le grand raid de la réunion - zembrocal trail relais1,37200.0,2720,FEMALE,50K,115,08:15:52,2023,FR
2025,7012,tignes trail - 14km,14310.0,752,FEMALE,20K,317,02:15:36,2025,FR
2025,7012,la 6000d trail de légende - la 6000d en relais à 3 - section 3,20400.0,190,FEMALE,20K,46,02:05:18,2025,FR
2025,7012,trail des coursières - 25 km des coursieres,25000.0,990,FEMALE,20K,212,03:05:29,2025,FR
2025,7014,le grand raid de la réunion - zembrocal trail relais2,32700.000000000004,1168,MALE,20K,18,05:37:40,2024,FR
2025,7017,utcs - trail ambodirano - utcs - trail ambodirano,31000.0,1000,FEMALE,20K,35,03:37:07,2025,MG
2025,7018,grand raid des pyrénées - tour du bastan,51400.0,3046,MALE,50K,641,12:36:32,2025,FR
2025,7018,trail montan'aspe - le défi de l'ourdinse,37000.0,2689,MALE,50K,356,07:48:40,2025,FR
2025,7018,senpereko trail - senpereko trail 21km,20900.0,1070,MALE,20K,373,02:53:30,2025,FR
2025,7018,patou trail - marathon,42000.0,3450,MALE,50K,347,09:18:11,2024,FR
2025,7018,montan'aspe - le défi de l'ourdinse,34300.0,2540,MALE,50K,312,07:45:24,2024,FR
2025,7018,senpereko trail - senpereko trail 21km,20900.0,1070,MALE,20K,371,02:52:16,2024,FR
2025,7018,montan'aspe - le défi de l'ourdinse,34300.0,2540,MALE,50K,302,07:16:27,2023,FR
