bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
7454,Brian FRANÇOIS FILS,00:53:29,1,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7109,Corentin FOURNI,00:56:49,2,MALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7479,Leo SERCA,00:57:30,3,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7613,Joseph Jean Damien RAVINA,00:58:27,4,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7032,Yoann MARTIN,00:59:21,5,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7519,Julien HOAREAU,00:59:43,6,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7586,Jean Patrice PAYET,00:59:59,7,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7201,Yannick IMBROSCIANO,01:00:06,8,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7503,Christopher CAMACHETTY,01:01:13,9,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7026,Yannick IMBROSCIANO,01:01:20,10,MALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7512,Patrick JABERG,01:01:25,11,MALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7284,Leo SERCA,01:02:04,12,MALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7373,Marcelle PUY,01:07:01,1,FEMALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7455,Anne Marie JOHN,01:09:53,2,FEMALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7531,Lucie TRAISSAC,01:09:57,3,FEMALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7354,Céline LOUIS,01:12:24,4,FEMALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7615,Ludivine RABUEL,01:14:26,5,FEMALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7024,Miora RAZANAKOLONA,01:15:59,6,FEMALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7252,Sabrina SAUVE,01:16:20,7,FEMALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7258,Elise DUCHEZ,01:16:43,8,FEMALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7090,Estelle LAMARQUE,01:18:23,9,FEMALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7474,Marie QUILLEVERE,01:18:32,10,FEMALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7017,Nambinintsoa RAVAOARISOA,01:19:32,11,FEMALE,2025,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7055,Marie ALEKSANDROWICZ,01:21:36,12,FEMALE,2024,Ilet Savan → Ratinaud,Ratinaud,Ilet Savan,False
7441,Stéphane SERY,00:51:41,1,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7087,Cédric BOYER,00:51:56,2,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7454,Brian FRANÇOIS FILS,00:55:52,3,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7613,Joseph Jean Damien RAVINA,00:56:37,4,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7032,Yoann MARTIN,00:57:44,5,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7109,Corentin FOURNI,00:57:58,6,MALE,2024,Ratinaud → Possession,Possession,Ratinaud,False
7479,Leo SERCA,00:59:55,7,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7503,Christopher CAMACHETTY,01:00:22,8,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
7519,Julien HOAREAU,01:00:26,9,MALE,2025,Ratinaud → Possession,Possession,Ratinaud,False
