access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],1208,0,0,0,True,True,-21.1363,55.47418,Cilaos (Stade),TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Cilaos,SIMPLE,[],2025-10-17T21:00:08.000+04:00,2025-10-17T21:00:08.000+04:00,
[],1614,12910,1084,32,True,True,-21.10352,55.43404,Marla,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Marla,SIMPLE,[],2025-10-17T22:21:08.000+04:00,2025-10-18T01:38:08.000+04:00,
[],1808,19540,1575,36,False,True,-21.06616,55.45106,Plaine des Merles,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2025-10-17T23:06:08.000+04:00,2025-10-18T04:29:08.000+04:00,2025-10-18T05:30:00.000+04:00
[],1630,21630,1588,38,True,True,-21.05497,55.45456,Sentier Scout,TDB,[],Sen. Scout,SIMPLE,[],2025-10-17T23:16:08.000+04:00,2025-10-18T05:08:08.000+04:00,2025-10-18T06:30:00.000+04:00
[],914,30310,1867,39,True,True,-21.01988,55.4249,Aurère,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Aurère,SIMPLE,[],2025-10-18T00:04:08.000+04:00,2025-10-18T07:54:08.000+04:00,2025-10-18T10:10:00.000+04:00
[],979,40420,2803,43,True,True,-21.04246,55.39317,Ilet des orangers,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Ilet  Oran,SIMPLE,[],2025-10-18T01:26:08.000+04:00,2025-10-18T12:39:08.000+04:00,
[],1948,48410,3965,45,False,True,-21.05108,55.38097,Maido tête dure,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Tête dure,SIMPLE,[],2025-10-18T02:55:08.000+04:00,2025-10-18T17:25:08.000+04:00,2025-10-18T20:00:00.000+04:00
[],125,65450,4024,49,True,True,-20.97251,55.32463,Ilet Savannah,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'AID_STATION_WITH_WARM_MEAL']",Ilet Savan,SIMPLE,[],2025-10-18T04:18:08.000+04:00,2025-10-18T22:07:08.000+04:00,2025-10-18T23:30:00.000+04:00
[],440,72890,4653,52,False,True,-20.96234,55.35693,Chemin Ratinaud,TDB,"['AID_STATION', 'DRINK_SUPPLY']",Ratinaud,SIMPLE,[],2025-10-18T05:24:08.000+04:00,2025-10-19T01:59:08.000+04:00,2025-10-19T02:10:00.000+04:00
[],4,81170,4847,54,True,True,-20.92696,55.33792,La possession,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2025-10-18T06:15:08.000+04:00,2025-10-19T04:58:08.000+04:00,2025-10-19T05:20:00.000+04:00
[],11,88590,5201,56,True,True,-20.89583,55.37733,Grande Chaloupe,TDB,"['AID_STATION', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2025-10-18T07:12:08.000+04:00,2025-10-19T08:01:08.000+04:00,2025-10-19T07:40:00.000+04:00
[],683,97890,6037,60,True,True,-20.90827,55.4236,Le Colorado,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2025-10-18T08:47:08.000+04:00,2025-10-19T12:57:08.000+04:00,2025-10-19T12:40:00.000+04:00
[],346,101970,6047,62,False,True,-20.88488,55.43388,La Vigie,TDB,[],La Vigie,SIMPLE,[],2025-10-18T09:10:08.000+04:00,2025-10-19T14:06:08.000+04:00,
[],50,104900,6077,64,True,True,-20.88489,55.44269,St Denis La Redoute,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,"[{'pointId': 64, 'live': 'x4xs96j', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-10-18T09:30:08.000+04:00,2025-10-19T15:01:08.000+04:00,2025-10-19T15:10:00.000+04:00
