portion_name,Meilleure perf,Type de tronçon,Quart de course,secteur_quart
Cilaos → Marla,Judicael SAUTRON (01:30:47),Non Catégorisé,1er quart,1er quart (0.0–21.6 km | Cilaos  → Sen. Scout)
Marla → Merles,Alexandre DEPECHE (00:54:13),Non Catégorisé,1er quart,1er quart (0.0–21.6 km | Cilaos  → Sen. Scout)
Merles → Sen. Scout,Jean Charles BRETON (00:12:42),Descente,1er quart,1er quart (0.0–21.6 km | Cilaos  → Sen. Scout)
Sen. Scout → Aurère,Alexandre DEPECHE (00:57:31),Descente,2ème quart,2ème quart (21.6–40.4 km | Sen. Scout  → Ilet  Oran)
Aurère → Ilet  Oran,Alexandre DEPECHE (01:27:15),Non Catégorisé,2ème quart,2ème quart (21.6–40.4 km | Sen. Scout  → Ilet  Oran)
Ilet  Oran → Tête dure,Jean Charles BRETON (01:38:25),Montée,3ème quart,3ème quart (40.4–72.9 km | Ilet  Oran  → Ratinaud)
Tête dure → Ilet Savan,Cyril PORTEFAIX (01:40:05),Descente,3ème quart,3ème quart (40.4–72.9 km | Ilet  Oran  → Ratinaud)
Ilet Savan → Ratinaud,Cyril PORTEFAIX (01:01:04),Non Catégorisé,3ème quart,3ème quart (40.4–72.9 km | Ilet  Oran  → Ratinaud)
Ratinaud → Possession,Cyril PORTEFAIX (01:01:49),Descente,4ème quart,4ème quart (72.9–104.9 km | Ratinaud  → St Denis)
Possession → Chaloupe,Alexandre DEPECHE (00:54:21),Non Catégorisé,4ème quart,4ème quart (72.9–104.9 km | Ratinaud  → St Denis)
Chaloupe → Colorado,Jean Charles BRETON (01:21:54),Non Catégorisé,4ème quart,4ème quart (72.9–104.9 km | Ratinaud  → St Denis)
Colorado → La Vigie,Jean Charles BRETON (00:19:07),Descente,4ème quart,4ème quart (72.9–104.9 km | Ratinaud  → St Denis)
La Vigie → St Denis,Jean Charles BRETON (00:16:49),Descente,4ème quart,4ème quart (72.9–104.9 km | Ratinaud  → St Denis)
