distance_cum,altitude,lon,lat
0,1208,55.47418,-21.1363
24,1208,55.474345,-21.1361425
49,1208,55.474509999999995,-21.135984999999998
73,1208,55.474675,-21.135827499999998
98,1208,55.47484,-21.13567
104,1208,55.4749,-21.13565
119,1208,55.47504,-21.13564
135,1209,55.47519,-21.13566
158,1209,55.47541,-21.13566
166,1209,55.47549,-21.13567
186,1209,55.47565,-21.13557
206,1208,55.47581,-21.13547
232,1208,55.476,-21.13532
250,1207,55.47612,-21.1352
261,1206,55.47619,-21.13512
275,1205,55.47625,-21.13501
283,1205,55.47627,-21.13494
289,1205,55.4763,-21.13489
307,1205,55.476420000000005,-21.13478
324,1204,55.47654,-21.13467
347,1204,55.47671,-21.134535
371,1204,55.47688,-21.1344
397,1204,55.477064999999996,-21.134230000000002
424,1205,55.47725,-21.13406
441,1205,55.47736,-21.13395
458,1205,55.47747,-21.13384
468,1205,55.47754,-21.13378
474,1205,55.4776,-21.13377
479,1205,55.47764,-21.13375
499,1208,55.47779,-21.13363
512,1208,55.47789,-21.13357
516,1209,55.47793,-21.13355
522,1210,55.47798,-21.13354
531,1211,55.47807,-21.13354
538,1212,55.47814,-21.13355
550,1213,55.47824,-21.1336
573,1216,55.47841,-21.13373
585,1216,55.47851,-21.13377
593,1217,55.47859,-21.13379
621,1219,55.47886,-21.13379
628,1219,55.47892,-21.13378
634,1219,55.47898,-21.13376
640,1219,55.47903,-21.13373
650,1219,55.47908,-21.13366
653,1219,55.47909,-21.13363
659,1219,55.47909,-21.13358
665,1219,55.47908,-21.13352
684,1219,55.479037500000004,-21.133355
703,1219,55.478995,-21.13319
722,1219,55.4789525,-21.133025
741,1220,55.47891,-21.13286
757,1221,55.47893,-21.13271
771,1221,55.47897,-21.13259
795,1224,55.47908,-21.1324
800,1225,55.47911,-21.13237
824,1227,55.47923,-21.13219
841,1230,55.479325,-21.132060000000003
859,1231,55.47942,-21.13193
877,1233,55.47953,-21.1318
898,1234,55.47966,-21.13166
921,1236,55.47982,-21.13151
937,1237,55.479935,-21.13142
952,1237,55.48005,-21.13133
959,1238,55.48009,-21.13129
988,1239,55.48032,-21.13113
999,1240,55.48038,-21.13105
1004,1241,55.4804,-21.13101
1010,1241,55.48039,-21.13096
1014,1242,55.48036,-21.13093
1022,1243,55.48032,-21.13087
1051,1245,55.48013,-21.13068
1071,1248,55.47996,-21.13061
1088,1249,55.47979,-21.13062
1097,1250,55.47971,-21.13064
1119,1252,55.4795,-21.13065
1140,1253,55.4793,-21.13064
1156,1256,55.47915,-21.13061
1173,1257,55.479,-21.13054
1201,1259,55.47878,-21.1304
1211,1259,55.4787,-21.13036
1222,1259,55.47859,-21.13034
1241,1259,55.47841,-21.13034
1252,1259,55.47831,-21.13037
1256,1259,55.47827,-21.13039
1278,1259,55.47811,-21.13051
1299,1261,55.47795,-21.13063
1309,1261,55.47788,-21.13069
1317,1262,55.47781,-21.13072
1330,1264,55.47768,-21.13071
1336,1264,55.47763,-21.1307
1340,1264,55.47759,-21.13068
1349,1265,55.47752,-21.13064
1365,1266,55.47741,-21.13054
1381,1267,55.4773,-21.13044
