checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,allure_ref_norm
Cilaos,0,0,0,0,0,0,0,0
Marla,12898,1085,688,,12.898,1085,688,12.898,1085.0,688.0,0.0,84.12156923554039,53.34160334935649,0.10598423800829586,0.008217106373724288
Merles,19536,1576,988,2025-10-18T05:30:00.000+04:00,19.536,1576,988,6.638000000000002,491.0,300.0,12.898,73.96806266947874,45.19433564326603,0.06607361639499902,0.00995384398839997
Sen. Scout,21621,1599,1167,2025-10-18T06:30:00.000+04:00,21.621,1599,1167,2.0849999999999973,23.0,179.0,19.536,11.031175059952053,85.85131894484424,0.017297127960634703,0.00829598463339795
Aurère,30293,1872,2162,2025-10-18T10:10:00.000+04:00,30.293,1872,2162,8.672,273.0,995.0,21.621,31.48062730627306,114.7370848708487,0.07375014405533577,0.008504398530366209
Ilet  Oran,40417,2826,3085,,40.417,2826,3085,10.124000000000002,954.0,923.0,30.293,94.23152903990515,91.1694982220466,0.1115430509506498,0.011017685791253435
Tête dure,48405,3962,3331,2025-10-18T20:00:00.000+04:00,48.405,3962,3331,7.9879999999999995,1136.0,246.0,40.417,142.21331997996995,30.796194291437157,0.119165092383939,0.014918013568344895
Ilet Savan,65440,4073,5118,2025-10-18T23:30:00.000+04:00,65.44,4073,5118,17.034999999999997,111.0,1787.0,48.405,6.515996477839743,104.90167302612271,0.11779185038287865,0.006914696236153723
Ratinaud,72883,4766,5530,2025-10-19T02:10:00.000+04:00,72.883,4766,5530,7.442999999999998,693.0,412.0,65.44,93.1076178960097,55.35402391508802,0.0810123499567716,0.010884367856613144
Possession,81168,4848,6049,2025-10-19T05:20:00.000+04:00,81.168,4848,6049,8.28500000000001,82.0,519.0,72.883,9.897404948702462,62.64333132166558,0.08264782135817834,0.009975597025730625
Chaloupe,88589,5405,6398,2025-10-19T07:40:00.000+04:00,88.589,5405,6398,7.420999999999992,557.0,349.0,81.168,75.05726990971576,47.028702331222256,0.07130019853085705,0.009607896311933314
Colorado,97885,6043,6618,2025-10-19T12:40:00.000+04:00,97.885,6043,6618,9.296000000000006,638.0,220.0,88.589,68.63166953528395,23.66609294320136,0.1008338437582813,0.010847014173653318
La Vigie,101966,6073,7047,,101.966,6073,7047,4.080999999999989,30.0,429.0,97.885,7.3511394266111445,105.12129380053938,0.028058966308651484,0.00687551245004939
St Denis,103750,6077,7237,2025-10-19T15:10:00.000+04:00,103.75,6077,7237,1.784000000000006,4.0,190.0,101.966,2.2421524663677053,106.50224215246601,0.02454169995052752,0.013756558268232869
