checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m
,0,0,0
Le Ped,2297,0,81
Pen Trez,3362,11,86
Route des ,10750,166,240
Coaterel,15971,310,289
Kergoac,24972,542,483
Menez Hom,27814,715,483
Cosquer,32418,717,772
Tregarvan,36809,773,850
Argol,44168,921,1001
Landévenne,51932,1099,1179
Lomergat,60333,1319,1341
Kergoff,70091,1508,1545
Espace Nau,73795,1566,1645
Roscanvel,88870,1854,1887
Pointe des,93247,1886,1913
Fort du Pe,107871,2156,2241
Camaret,109934,2217,2268
Pointe du ,111747,2271,2312
Pointe de ,114918,2335,2372
Plage de G,124228,2462,2548
Pointe de ,126953,2558,2594
Cap de la ,137279,2849,2847
Port de Mo,147209,3179,3255
Le Ped Ret,162243,3570,3654
Arrivée,164540,3657,3658
