distance_cum,altitude,lon,lat
0,15.0,-4.3681,48.21003
27,13.0,-4.36839,48.20988
43,14.0,-4.368565,48.2098
59,15.0,-4.36874,48.20972
87,18.0,-4.36861,48.20948
102,20.0,-4.36843,48.209545
118,22.0,-4.36825,48.20961
143,27.0,-4.36795,48.2097
159,27.25,-4.36774,48.2097425
175,27.5,-4.36753,48.209785
192,27.75,-4.36732,48.2098275
208,28.0,-4.36711,48.20987
230,28.5,-4.366835,48.2099375
252,29.0,-4.36656,48.210005
273,29.5,-4.3662849999999995,48.2100725
295,30.0,-4.36601,48.21014
311,31.5,-4.3657975,48.21016
327,33.0,-4.365585,48.21018
343,34.5,-4.3653725,48.2102
359,36.0,-4.36516,48.21022
389,37.0,-4.3648,48.21011
404,37.25,-4.3646650000000005,48.21000875
419,37.5,-4.36453,48.2099075
434,37.75,-4.364395,48.20980625
449,38.0,-4.36426,48.209705
464,38.25,-4.364125,48.20960375
479,38.5,-4.363989999999999,48.2095025
494,38.75,-4.363854999999999,48.20940125
509,39.0,-4.36372,48.2093
526,39.5,-4.363555,48.209195
543,40.0,-4.36339,48.20909
569,41.0,-4.36306,48.20901
588,41.5,-4.3628325,48.209072500000005
606,42.0,-4.362605,48.209135
624,42.5,-4.3623775,48.2091975
642,43.0,-4.36215,48.20926
669,43.75,-4.3618325,48.20937
696,44.5,-4.361515,48.20948
722,45.25,-4.361197499999999,48.20959
749,46.0,-4.36088,48.2097
769,46.0,-4.3606300000000005,48.20976
788,46.0,-4.36038,48.20982
804,47.0,-4.360175,48.20982
819,48.0,-4.35997,48.20982
844,48.5,-4.35966,48.20992
870,49.0,-4.35935,48.21002
889,49.0,-4.35917,48.21014
918,48.0,-4.35942,48.210345000000004
948,47.0,-4.35967,48.21055
968,46.0,-4.359835,48.210695
988,45.0,-4.36,48.21084
1007,44.0,-4.360085,48.211
1026,43.0,-4.36017,48.21116
1043,43.0,-4.360275,48.211295
1060,43.0,-4.36038,48.21143
1084,40.0,-4.3607,48.21141
1100,37.75,-4.360914999999999,48.21139
1116,35.5,-4.361129999999999,48.21137
1133,33.25,-4.361345,48.211349999999996
1149,31.0,-4.36156,48.21133
1163,30.0,-4.36174,48.21135
1180,29.5,-4.361915,48.211455
1198,29.0,-4.36209,48.21156
1215,29.0,-4.362285,48.211465000000004
1233,29.0,-4.36248,48.21137
1250,28.5,-4.3626974999999995,48.2113625
1266,28.0,-4.362914999999999,48.211355
1282,27.5,-4.363132499999999,48.2113475
1298,27.0,-4.36335,48.21134
1319,25.75,-4.363635,48.21136
1341,24.5,-4.36392,48.21138
1362,23.25,-4.364205,48.2114
1383,22.0,-4.36449,48.21142
1406,21.0,-4.36478875,48.21141374999999
1428,20.0,-4.3650875,48.21140749999999
1450,19.0,-4.36538625,48.211401249999994
1472,18.0,-4.365685,48.211394999999996
1495,17.0,-4.36598375,48.21138875
1517,16.0,-4.3662825000000005,48.2113825
1539,15.0,-4.36658125,48.21137625
1561,14.0,-4.36688,48.21137
1589,13.0,-4.3672525,48.2113775
1617,12.0,-4.367625,48.211385
1645,11.0,-4.3679974999999995,48.2113925
1672,10.0,-4.36837,48.2114
1693,9.0,-4.368645,48.211445
1714,8.0,-4.36892,48.21149
1739,7.5,-4.36919,48.211614999999995
1763,7.0,-4.36946,48.21174
1782,6.5,-4.36965,48.211625
1801,6.0,-4.36984,48.21151
1822,6.0,-4.369715,48.2113425
1843,6.0,-4.3695900000000005,48.211175
1864,6.0,-4.369465,48.211007499999994
1885,6.0,-4.36934,48.21084
1900,6.5,-4.369265,48.21071
1916,7.0,-4.36919,48.21058
1945,8.75,-4.369082499999999,48.210322500000004
1975,10.5,-4.368975,48.210065
2005,12.25,-4.3688675,48.2098075
