checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Kergoac,24972,542,483,24.972,542,483,9.001000000000001,232.0,194.0,15.971,25.774913898455722,21.553160759915563,0.0515538688593717,0.005727571254235273,2024
Roscanvel,88870,1854,1887,88.87,1854,1887,15.075000000000003,288.0,242.0,73.795,19.104477611940293,16.053067993366497,0.12013493569470797,0.007969149963164706,2024
Pointe des,93247,1886,1913,93.247,1886,1913,4.376999999999995,32.0,26.0,88.87,7.310943568654337,5.940141649531649,0.03461943917351886,0.007909398943001805,2024
Camaret,109934,2217,2268,109.934,2217,2268,2.0630000000000024,61.0,27.0,107.871,29.568589432864727,13.08773630634996,0.03645793801391525,0.017672291814791668,2024
Tregarvan,36809,773,850,36.809,773,850,4.390999999999998,56.0,78.0,32.418,12.753359143703035,17.763607378729226,0.026118490406915464,0.005948187293763488,2024
Arrivée,164540,3657,3658,164.54,3657,3658,2.296999999999997,87.0,4.0,162.243,37.875489769264306,1.7414018284719222,0.0545308876238667,0.023740046854099597,2024
Pen Trez,3362,11,86,3.362,11,86,1.065,11.0,5.0,2.297,10.328638497652582,4.694835680751174,0.005380560826481131,0.005052169790123128,2024
Landévenne,51932,1099,1179,51.932,1099,1179,7.764000000000003,178.0,178.0,44.168,22.92632663575476,22.92632663575476,0.05103942652329749,0.006573857099857994,2024
Fort du Pe,107871,2156,2241,107.871,2156,2241,14.623999999999995,270.0,328.0,93.247,18.46280087527353,22.428884026258213,0.11380139152435172,0.00778182381867832,2024
Argol,44168,921,1001,44.168,921,1001,7.359000000000002,148.0,151.0,36.809,20.111428183177058,20.519092267971185,0.054960995150748475,0.00746854126250149,2024
Lomergat,60333,1319,1341,60.333,1319,1341,8.400999999999996,220.0,162.0,51.932,26.187358647780037,19.28341864063803,0.06294750158127767,0.007492858181320997,2024
Plage de G,124228,2462,2548,124.228,2462,2548,9.309999999999988,127.0,176.0,114.918,13.641245972073058,18.904403866809908,-0.015340501792114639,-0.0016477445533957743,2024
Cosquer,32418,717,772,32.418,717,772,4.603999999999999,2.0,289.0,27.814,0.4344048653344918,62.77150304083407,0.025781151170145462,0.005599728751117608,2024
Le Ped,2297,0,81,2.297,0,81,2.297,0.0,81.0,0.0,0.0,35.26338702655637,0.009892473118279569,0.0043066926940703385,2024
Kergoff,70091,1508,1545,70.091,1508,1545,9.757999999999996,189.0,204.0,60.333,19.368723098995705,20.905923344947745,0.07284840818047647,0.007465506064816202,2024
Le Ped Ret,162243,3570,3654,162.243,3570,3654,15.033999999999992,391.0,399.0,147.209,26.00771584408675,26.539843022482387,0.12446131140628293,0.008278655807255753,2024
Menez Hom,27814,715,483,27.814,715,483,2.8419999999999987,173.0,0.0,24.972,60.87262491203381,0.0,0.01862112586970272,0.006552120291943253,2024
Port de Mo,147209,3179,3255,147.209,3179,3255,9.930000000000007,330.0,408.0,137.279,33.23262839879152,41.087613293051334,0.10057769344296862,0.010128670034538625,2024
Coaterel,15971,310,289,15.971,310,289,5.221,144.0,49.0,10.75,27.58092319479027,9.3851752537828,0.02867383512544803,0.005492019752049038,2024
Espace Nau,73795,1566,1645,73.795,1566,1645,3.7040000000000077,58.0,100.0,70.091,15.65874730021595,26.99784017278612,0.02293906810035845,0.0061930529428613395,2024
