distance_cum,altitude,lon,lat
0,4.0,-4.58947,48.27593
22,4.0,-4.58972,48.27583
43,4.0,-4.58997,48.27573
62,4.125,-4.590192500000001,48.275647500000005
81,4.25,-4.590415,48.275565
100,4.375,-4.5906375,48.2754825
119,4.5,-4.59086,48.275400000000005
138,4.625,-4.591082500000001,48.2753175
157,4.75,-4.591305,48.275235
176,4.875,-4.5915275,48.275152500000004
194,5.0,-4.59175,48.27507
198,4.0,-4.59176,48.2751
226,5.0,-4.5921,48.27498
241,5.0,-4.5923,48.275005
257,5.0,-4.5925,48.27503
272,5.0,-4.592700000000001,48.275055
287,5.0,-4.5929,48.27508
293,4.0,-4.59298,48.2751
301,4.0,-4.59308,48.27508
326,4.0,-4.593389999999999,48.27517
351,4.0,-4.5937,48.27526
368,4.0,-4.59391,48.2753275
386,4.0,-4.59412,48.275395
403,4.0,-4.59433,48.2754625
420,4.0,-4.59454,48.27553
427,4.0,-4.59458,48.27558
448,4.0,-4.594745,48.275735
469,4.0,-4.5949100000000005,48.275890000000004
490,4.0,-4.5950750000000005,48.276045
511,4.0,-4.59524,48.2762
513,4.0,-4.59527,48.2762
516,4.0,-4.59524,48.2762
538,4.0,-4.59541,48.27637
554,4.0,-4.5955,48.2765
582,4.0,-4.59571,48.276709999999994
610,4.0,-4.59592,48.27692
624,4.0,-4.59606,48.277
625,4.0,-4.59607,48.27699
627,4.0,-4.59606,48.277
647,4.0,-4.596204999999999,48.27715
666,4.0,-4.59635,48.2773
688,4.0,-4.59649,48.277465
709,4.0,-4.59663,48.27763
727,4.0,-4.5967400000000005,48.277775000000005
745,4.0,-4.59685,48.27792
762,4.0,-4.5969425,48.278062500000004
779,4.0,-4.597035,48.278205
797,4.0,-4.5971275,48.2783475
814,4.0,-4.59722,48.278490000000005
831,4.0,-4.5973125,48.2786325
848,4.0,-4.597405,48.278775
866,4.0,-4.5974975,48.278917500000006
883,4.0,-4.59759,48.27906
900,4.0,-4.597635,48.279215
918,4.0,-4.59768,48.27937
937,4.0,-4.5978525,48.2794975
956,4.0,-4.598025,48.279624999999996
975,4.0,-4.5981974999999995,48.2797525
994,4.0,-4.59837,48.27988
1012,7.0,-4.5986,48.27987
1033,6.0,-4.598750000000001,48.280035
1054,5.0,-4.5989,48.2802
1058,5.0,-4.59894,48.28021
1064,5.0,-4.59889,48.28026
1071,5.0,-4.59894,48.28031
1074,5.0,-4.59898,48.28032
1102,5.0,-4.59898,48.28057
1128,4.0,-4.59883,48.28078
1147,4.0,-4.59868,48.280924999999996
1167,4.0,-4.59853,48.28107
1187,4.0,-4.598380000000001,48.281215
1206,4.0,-4.59823,48.28136
1208,4.0,-4.59824,48.28135
1217,4.0,-4.59823,48.28143
1221,4.0,-4.59827,48.28146
1223,4.0,-4.59828,48.28148
1244,4.75,-4.598545,48.28154
1265,5.5,-4.59881,48.2816
1286,6.25,-4.599075,48.28166
1306,7.0,-4.59934,48.28172
1321,8.0,-4.59949,48.2818
1342,9.0,-4.59976,48.281864999999996
1363,10.0,-4.60003,48.28193
1386,11.5,-4.60032,48.281985000000006
1408,13.0,-4.60061,48.28204
1434,16.0,-4.60092,48.28215
1440,16.0,-4.60097,48.28219
1448,18.0,-4.60101,48.28225
1471,19.5,-4.601235,48.28239
1493,21.0,-4.60146,48.28253
1509,22.75,-4.60167,48.2825225
1525,24.5,-4.6018799999999995,48.282515000000004
1541,26.25,-4.60209,48.2825075
1556,28.0,-4.6023,48.2825
1577,30.0,-4.60258,48.28251
1580,31.0,-4.60262,48.28252
1598,31.25,-4.6026125,48.28268
1616,31.5,-4.6026050000000005,48.28284
1634,31.75,-4.6025975,48.283
1652,32.0,-4.60259,48.28316
1678,32.0,-4.60224,48.28318
1699,31.0,-4.60202,48.2833
1722,30.0,-4.60191,48.283495
1745,29.0,-4.6018,48.28369
1749,25.0,-4.60175,48.2837
1766,27.0,-4.60178,48.28385
1776,27.0,-4.60174,48.28394
1790,27.0,-4.60173,48.28406
1810,27.0,-4.6018,48.28424
1827,28.5,-4.6017975,48.284387499999994
1843,30.0,-4.601795,48.284535
1860,31.5,-4.6017925,48.2846825
1876,33.0,-4.60179,48.28483
1885,37.0,-4.60183,48.2849
1902,34.0,-4.6018,48.28505
1914,34.0,-4.60175,48.28515
1930,34.25,-4.6016675,48.285285
1946,34.5,-4.601585,48.28542
1962,34.75,-4.6015025000000005,48.285555
1979,35.0,-4.60142,48.28569
1980,33.0,-4.60142,48.2857
1990,37.0,-4.60151,48.28577
2009,36.0,-4.60159,48.28593
2020,36.0,-4.60154,48.28602
2030,37.0,-4.60146,48.2861
2046,42.0,-4.60142,48.28624
2052,42.0,-4.60144,48.28629
2057,42.0,-4.60147,48.28633
2060,42.0,-4.6015,48.28635
2072,43.0,-4.60165,48.28639
2091,42.0,-4.6019,48.28642
2110,43.25,-4.602147499999999,48.28639
2128,44.5,-4.602395,48.28636
2147,45.75,-4.6026425,48.28633
2166,47.0,-4.60289,48.2863
2183,49.0,-4.60312,48.28631
2206,51.0,-4.60342,48.28626
2222,52.0,-4.60364,48.286275
2239,53.0,-4.60386,48.28629
2253,53.0,-4.60404,48.28633
2283,56.0,-4.60443,48.28638
2298,56.0,-4.60463,48.28636
2301,56.0,-4.60467,48.28637
2310,56.0,-4.60478,48.28634
2326,56.0,-4.60492,48.28623
2342,56.0,-4.60506,48.28612
2361,56.0,-4.605295,48.286055
2379,56.0,-4.60553,48.28599
2401,56.0,-4.60582,48.28595
2419,56.0,-4.60603,48.28588
2426,55.0,-4.60612,48.28587
2443,55.0,-4.60633,48.2858
2456,55.0,-4.60645,48.28571
2481,56.0,-4.60648,48.28549
2510,56.0,-4.60645,48.28523
2521,55.0,-4.60652,48.28514
2545,55.0,-4.6066,48.284935000000004
2568,55.0,-4.60668,48.28473
2589,54.0,-4.606785,48.284555
2610,53.0,-4.60689,48.28438
2629,53.0,-4.60692,48.28421
2646,53.0,-4.60699,48.28407
2665,53.5,-4.6070899999999995,48.28391
2684,54.0,-4.60719,48.28375
2699,54.0,-4.607285,48.28363
2714,54.0,-4.60738,48.28351
2738,54.0,-4.6075,48.28331
2764,53.5,-4.607810000000001,48.28321
2790,53.0,-4.60812,48.28311
2815,53.0,-4.60835,48.28294
2821,53.0,-4.60842,48.28291
2827,53.0,-4.60846,48.28286
2835,52.0,-4.60854,48.28282
2855,53.5,-4.608665,48.28266
2875,55.0,-4.60879,48.2825
2893,55.0,-4.6089400000000005,48.282375
2911,55.0,-4.60909,48.28225
2931,54.875,-4.6092375,48.282096249999995
2951,54.75,-4.609385,48.2819425
2972,54.625,-4.6095325,48.28178875
2992,54.5,-4.60968,48.281634999999994
3012,54.375,-4.6098275,48.28148125
3032,54.25,-4.609975,48.281327499999996
3053,54.125,-4.6101225,48.281173749999994
3073,54.0,-4.61027,48.28102
3094,53.5,-4.61039,48.28085
3115,53.0,-4.61051,48.28068
3127,51.0,-4.61062,48.2806
3137,53.0,-4.61066,48.28051
3156,52.0,-4.61067,48.28034
3177,53.0,-4.61055,48.28017
3203,54.0,-4.61057,48.27994
3219,54.0,-4.610695,48.27982
3235,54.0,-4.61082,48.2797
3255,53.0,-4.611035,48.27959
3276,52.0,-4.61125,48.27948
3304,47.0,-4.6116,48.27938
3311,46.0,-4.61161,48.27932
3320,46.0,-4.61171,48.27927
3336,43.0,-4.61192,48.27923
3353,40.5,-4.6121099999999995,48.27915
3370,38.0,-4.6123,48.27907
