bib,name,status,category,sex,country,Départ Cam,Pointe de,Plage de G,Cap de la,Port de Mo,Le Ped Ret,Arrivée
521,Maxime BLANCHARD,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:19.000+02:00,2024-09-14T13:50:31.000+02:00,2024-09-14T15:01:40.000+02:00,2024-09-14T16:06:08.000+02:00,2024-09-14T17:35:24.000+02:00,2024-09-14T19:32:17.000+02:00
791,Hugo TREUIL,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:06:08.000+02:00,2024-09-14T13:52:37.000+02:00,2024-09-14T15:01:44.000+02:00,2024-09-14T16:10:54.000+02:00,2024-09-14T17:45:27.000+02:00,2024-09-14T18:07:19.000+02:00
596,Cedric FABULET,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:22.000+02:00,2024-09-14T13:55:20.000+02:00,2024-09-14T15:10:57.000+02:00,2024-09-14T16:21:00.000+02:00,2024-09-14T17:53:26.000+02:00,2024-09-14T19:18:21.000+02:00
704,Julien MAGNERON,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:21.000+02:00,2024-09-14T13:54:22.000+02:00,2024-09-14T15:07:49.000+02:00,2024-09-14T16:14:19.000+02:00,2024-09-14T17:53:46.000+02:00,2024-09-14T18:35:56.000+02:00
789,Gaël TORILLEC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:27.000+02:00,2024-09-14T13:54:26.000+02:00,2024-09-14T15:08:04.000+02:00,2024-09-14T16:14:59.000+02:00,2024-09-14T17:57:55.000+02:00,2024-09-14T20:11:17.000+02:00
597,Franck FALQUERHO,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:39.000+02:00,2024-09-14T13:49:54.000+02:00,2024-09-14T15:05:28.000+02:00,2024-09-14T16:18:06.000+02:00,2024-09-14T18:05:29.000+02:00,2024-09-14T18:19:44.000+02:00
793,Aymeric TROADEC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:54.000+02:00,2024-09-14T13:54:18.000+02:00,2024-09-14T15:15:13.000+02:00,2024-09-14T16:26:59.000+02:00,2024-09-14T18:07:43.000+02:00,2024-09-14T18:36:29.000+02:00
691,Tristan LE ROUX,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:33.000+02:00,2024-09-14T13:57:19.000+02:00,2024-09-14T15:14:36.000+02:00,2024-09-14T16:33:51.000+02:00,2024-09-14T18:16:17.000+02:00,2024-09-14T19:58:33.000+02:00
593,Kévin DUSAUTIEZ,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:44.000+02:00,2024-09-14T13:51:25.000+02:00,2024-09-14T15:07:19.000+02:00,2024-09-14T16:28:29.000+02:00,2024-09-14T18:17:32.000+02:00,2024-09-14T19:02:33.000+02:00
550,Maxime CARIOU,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:06:03.000+02:00,2024-09-14T13:52:59.000+02:00,2024-09-14T15:13:04.000+02:00,2024-09-14T16:36:15.000+02:00,2024-09-14T18:18:23.000+02:00,2024-09-14T18:50:18.000+02:00
702,Christophe LOUAZON,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:30.000+02:00,2024-09-14T13:59:47.000+02:00,2024-09-14T15:20:26.000+02:00,2024-09-14T16:42:41.000+02:00,2024-09-14T18:34:15.000+02:00,2024-09-14T19:08:51.000+02:00
764,Matthieu ROPARS,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:07.000+02:00,2024-09-14T13:56:53.000+02:00,2024-09-14T15:16:33.000+02:00,2024-09-14T16:37:14.000+02:00,2024-09-14T18:31:07.000+02:00,2024-09-14T19:43:13.000+02:00
519,Arnaud BILLAUD,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:53.000+02:00,2024-09-14T14:02:12.000+02:00,2024-09-14T15:23:51.000+02:00,2024-09-14T16:49:32.000+02:00,2024-09-14T18:37:02.000+02:00,2024-09-14T18:52:14.000+02:00
714,Mickael MERRET,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:35.000+02:00,2024-09-14T13:57:00.000+02:00,2024-09-14T15:30:20.000+02:00,2024-09-14T16:48:56.000+02:00,2024-09-14T18:36:47.000+02:00,2024-09-14T19:20:34.000+02:00
507,Julien AUTRET,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:05:41.000+02:00,2024-09-14T13:50:42.000+02:00,2024-09-14T15:07:50.000+02:00,2024-09-14T16:31:45.000+02:00,2024-09-14T18:36:07.000+02:00,2024-09-14T19:21:06.000+02:00
508,Franck BALUSSON,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:12:28.000+02:00,2024-09-14T14:08:44.000+02:00,2024-09-14T15:33:54.000+02:00,2024-09-14T16:55:18.000+02:00,2024-09-14T18:44:16.000+02:00,2024-09-14T19:02:58.000+02:00
668,Rodolphe LE FRIEC,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:56.000+02:00,2024-09-14T13:59:34.000+02:00,2024-09-14T15:21:58.000+02:00,2024-09-14T16:49:10.000+02:00,2024-09-14T18:46:24.000+02:00,2024-09-14T19:31:24.000+02:00
503,Joseph ALLARD,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:09.000+02:00,2024-09-14T13:59:14.000+02:00,2024-09-14T15:21:45.000+02:00,2024-09-14T16:44:41.000+02:00,2024-09-14T18:46:24.000+02:00,2024-09-14T20:16:46.000+02:00
592,Dorian DURBACH,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:54.000+02:00,2024-09-14T14:00:15.000+02:00,2024-09-14T15:22:54.000+02:00,,2024-09-14T18:44:40.000+02:00,2024-09-14T20:19:32.000+02:00
524,Nicolas BLONDEL,FINISHER,M3 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:59.000+02:00,2024-09-14T13:59:48.000+02:00,2024-09-14T15:23:39.000+02:00,2024-09-14T16:53:05.000+02:00,2024-09-14T18:44:40.000+02:00,2024-09-14T18:59:48.000+02:00
709,Flavien MALET,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:07:55.000+02:00,2024-09-14T13:57:04.000+02:00,2024-09-14T15:23:51.000+02:00,2024-09-14T16:54:49.000+02:00,2024-09-14T18:51:04.000+02:00,2024-09-14T19:06:39.000+02:00
659,Jérôme LE BRIS,FINISHER,M2 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:08:55.000+02:00,2024-09-14T13:57:48.000+02:00,2024-09-14T15:30:44.000+02:00,2024-09-14T16:57:17.000+02:00,2024-09-14T18:53:21.000+02:00,2024-09-14T19:07:09.000+02:00
637,Guillaume JAOUEN,FINISHER,M0 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:34.000+02:00,2024-09-14T13:59:54.000+02:00,2024-09-14T15:25:31.000+02:00,2024-09-14T17:00:13.000+02:00,2024-09-14T18:55:12.000+02:00,2024-09-14T19:36:57.000+02:00
665,Julien LE DEZ,FINISHER,M1 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:10:03.000+02:00,2024-09-14T14:03:16.000+02:00,2024-09-14T15:28:19.000+02:00,2024-09-14T16:54:14.000+02:00,2024-09-14T18:54:46.000+02:00,2024-09-14T22:19:02.000+02:00
666,Marc LE DEZ,FINISHER,M2 H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:10:01.000+02:00,2024-09-14T14:03:13.000+02:00,2024-09-14T15:28:19.000+02:00,2024-09-14T16:52:56.000+02:00,2024-09-14T18:54:53.000+02:00,2024-09-14T19:54:30.000+02:00
578,Tanguy DELAFOSSE,FINISHER,SE H,MALE,,2024-09-14T12:32:00.000+02:00,2024-09-14T13:09:05.000+02:00,2024-09-14T13:57:46.000+02:00,2024-09-14T15:25:59.000+02:00,2024-09-14T17:02:59.000+02:00,2024-09-14T19:06:35.000+02:00,2024-09-14T19:25:21.000+02:00
