distance_cum,altitude,lon,lat
0,6,-4.45178,48.29262
32,6,-4.45221,48.29265
74,6,-4.45277,48.29266
140,6,-4.45366,48.29259
223,6,-4.45476,48.29273
278,6,-4.45549,48.29268
307,6,-4.45554,48.29242
318,6,-4.45566,48.29236
337,5,-4.45575,48.2922
377,6,-4.45589,48.29185
397,6,-4.45605,48.29171
420,6,-4.45631,48.2916
505,11,-4.45739,48.29133
576,13,-4.45833,48.29123
584,15,-4.45842,48.2912
606,16,-4.45863,48.29105
647,15,-4.45906,48.29128
674,12,-4.45927,48.29147
699,12,-4.45941,48.29168
714,11,-4.45943,48.29181
741,10,-4.45941,48.29205
754,10,-4.45937,48.29217
768,12,-4.45955,48.29215
798,17,-4.45986,48.29198
896,28,-4.46105,48.29161
908,28,-4.46118,48.29154
933,27,-4.4614,48.29138
943,27,-4.46147,48.2913
1005,25,-4.46184,48.2908
1100,26,-4.46245,48.29005
1105,26,-4.46251,48.29007
1113,25,-4.46262,48.29005
1123,23,-4.46274,48.29009
1160,16,-4.46309,48.29031
1183,14,-4.46328,48.29048
1190,14,-4.46333,48.29043
1219,13,-4.46363,48.29026
1232,12,-4.46373,48.29017
1260,13,-4.46401,48.28999
1279,14,-4.4642,48.28988
1374,19,-4.46506,48.28925
1436,13,-4.46572,48.28892
1498,10,-4.46638,48.28858
1534,11,-4.46673,48.28835
1545,8,-4.46671,48.28845
1551,8,-4.46678,48.28844
1558,8,-4.46685,48.28849
1565,8,-4.46683,48.28843
1584,12,-4.46689,48.28827
1648,15,-4.46766,48.28801
1711,15,-4.46842,48.28775
1739,16,-4.46875,48.28762
1760,16,-4.46893,48.28748
1777,18,-4.46912,48.28739
1782,20,-4.46912,48.28735
1787,20,-4.46908,48.28732
1791,21,-4.46912,48.28729
1794,21,-4.46912,48.28726
1800,21,-4.46919,48.28724
1808,21,-4.46929,48.28725
1816,20,-4.4694,48.28728
1819,20,-4.4694,48.2873
1835,16,-4.46962,48.28731
1842,14,-4.46971,48.28729
1846,13,-4.46969,48.28732
1885,9,-4.4702,48.28724
1894,10,-4.47032,48.28724
1924,15,-4.47062,48.28707
1937,24,-4.47067,48.28699
1942,24,-4.47062,48.28696
1950,24,-4.47062,48.28689
1964,28,-4.47079,48.28685
1983,29,-4.47105,48.28682
1987,29,-4.47109,48.2868
1991,29,-4.47109,48.28676
2002,29,-4.47121,48.28671
2011,30,-4.47133,48.2867
2032,29,-4.47161,48.28674
2064,26,-4.47201,48.28664
2100,26,-4.47248,48.28657
2112,24,-4.47264,48.28656
2148,24,-4.47311,48.28648
2166,25,-4.47332,48.2864
2183,25,-4.47356,48.2864
2195,25,-4.4737,48.28635
2217,25,-4.47399,48.28631
2233,25,-4.47419,48.28625
2253,24,-4.47445,48.28623
2277,23,-4.47478,48.28623
2305,22,-4.47515,48.2862
2326,20,-4.47543,48.28622
2352,19,-4.47576,48.28613
2396,17,-4.47634,48.28607
2454,21,-4.47708,48.2859
2488,24,-4.4775,48.28578
2508,21,-4.47776,48.28578
2554,19,-4.47834,48.28564
2565,18,-4.47848,48.28559
2611,18,-4.47907,48.28548
2620,18,-4.47919,48.2855
2636,18,-4.4794,48.28548
2649,18,-4.47954,48.28541
2674,19,-4.47987,48.28535
2686,18,-4.48003,48.28536
2698,18,-4.48018,48.2854
2708,18,-4.48031,48.28538
2721,19,-4.48041,48.28528
2743,21,-4.48067,48.2852
2788,23,-4.48118,48.28498
2864,24,-4.48212,48.28471
2953,19,-4.48313,48.28427
2962,19,-4.4832,48.28421
2977,18,-4.48325,48.28408
2993,19,-4.48332,48.28394
3006,19,-4.4835,48.28393
3030,19,-4.48381,48.28397
3039,19,-4.48393,48.28395
3082,20,-4.48442,48.28375
3103,18,-4.4847,48.28369
3116,18,-4.48482,48.28361
3126,18,-4.48494,48.28357
3139,17,-4.48512,48.28356
3161,16,-4.48536,48.28345
3202,16,-4.48587,48.28332
3229,16,-4.4862,48.28321
3259,19,-4.48653,48.28305
3273,20,-4.48669,48.28299
3293,23,-4.48684,48.28284
3309,25,-4.48702,48.28276
3371,22,-4.48784,48.28268
3396,20,-4.48817,48.28263
3400,20,-4.48822,48.28263
3413,19,-4.48838,48.28269
3424,17,-4.48852,48.28269
3441,17,-4.48857,48.28254
3454,17,-4.48874,48.28252
3475,18,-4.48902,48.28254
3496,17,-4.48928,48.28246
3515,18,-4.48953,48.28244
3552,17,-4.49003,48.28245
3562,17,-4.49017,48.28243
3582,14,-4.49043,48.28245
3589,14,-4.49052,48.28242
3618,13,-4.49091,48.28242
3626,13,-4.49101,48.28239
3633,13,-4.49108,48.28242
3659,14,-4.49143,48.28241
3708,16,-4.49209,48.28234
3723,17,-4.49228,48.28238
3731,17,-4.49237,48.28242
3739,17,-4.49247,48.2824
3753,19,-4.49265,48.28243
3758,19,-4.4927,48.2824
3770,12,-4.49284,48.28239
3799,25,-4.49289,48.28216
3812,24,-4.49305,48.28221
3824,23,-4.49322,48.28221
3884,18,-4.49399,48.28208
3916,15,-4.49436,48.28192
3939,10,-4.49465,48.28187
3957,8,-4.49487,48.2818
4000,9,-4.49533,48.28157
4018,9,-4.49556,48.28151
4029,8,-4.49568,48.28146
4055,7,-4.49602,48.28141
4072,0,-4.49605,48.28156
4097,-1,-4.49638,48.2816
4169,3,-4.49733,48.28176
4243,-2,-4.49829,48.28191
4278,-2,-4.49876,48.28188
4314,-2,-4.49925,48.28189
4346,-2,-4.49968,48.28193
4380,-1,-4.5001,48.28205
4453,0,-4.50108,48.28203
4489,0,-4.50152,48.28189
4536,0,-4.50202,48.28164
4573,-2,-4.50232,48.28137
4597,1,-4.50259,48.28125
4667,6,-4.50346,48.28101
4708,6,-4.50396,48.28116
4781,6,-4.50481,48.28149
4850,6,-4.50558,48.28183
4891,6,-4.50601,48.28207
4978,6,-4.50689,48.28259
5054,6,-4.50762,48.28306
5128,6,-4.50835,48.28352
5154,6,-4.50858,48.28369
5179,6,-4.50877,48.28388
5215,4,-4.50899,48.28417
5258,2,-4.50873,48.28383
5328,6,-4.50903,48.28443
5363,6,-4.50861,48.28458
5387,5,-4.50837,48.28472
5434,6,-4.50792,48.28502
5472,6,-4.5076,48.28528
5495,6,-4.5078,48.28544
5568,6,-4.50715,48.28593
5581,6,-4.507,48.28599
5594,6,-4.50714,48.28607
5641,6,-4.50683,48.28644
5687,5,-4.50736,48.28665
5713,5,-4.50762,48.2868
5731,5,-4.50783,48.28688
5754,5,-4.50804,48.28703
5777,4,-4.50821,48.28721
5819,4,-4.50861,48.28748
5837,4,-4.5087,48.28763
5853,4,-4.50875,48.28777
5862,4,-4.50868,48.28783
5878,4,-4.50863,48.28797
5918,4,-4.50875,48.28832
5951,4,-4.50887,48.28861
5976,4,-4.50903,48.28881
6009,4,-4.50929,48.28905
6065,3,-4.51004,48.2891
6070,4,-4.51009,48.28907
6088,4,-4.5103,48.28914
6111,4,-4.51055,48.28927
6121,4,-4.51064,48.28933
6129,4,-4.51067,48.2894
6134,4,-4.51074,48.28939
6159,4,-4.51093,48.28958
6198,4,-4.51116,48.28989
6212,4,-4.51121,48.29001
6221,4,-4.51121,48.29009
6235,5,-4.51119,48.29022
6237,5,-4.51119,48.29024
6251,6,-4.51137,48.29028
6252,6,-4.51138,48.29028
6324,8,-4.51227,48.29002
6357,8,-4.51269,48.28994
6363,9,-4.51276,48.28991
6369,9,-4.51281,48.28987
6377,10,-4.51285,48.2898
6395,11,-4.5129,48.28964
6402,11,-4.51297,48.2896
6465,15,-4.51375,48.28939
6502,16,-4.51421,48.28925
6565,19,-4.51482,48.28886
6579,19,-4.51494,48.28876
6653,23,-4.51548,48.2882
6689,25,-4.51579,48.28795
6730,26,-4.51609,48.28765
6741,26,-4.51619,48.28757
6775,28,-4.51637,48.28729
6820,30,-4.51663,48.28693
6856,30,-4.51694,48.28668
6901,31,-4.51741,48.28642
6968,33,-4.51804,48.28599
7044,38,-4.51855,48.2854
7056,38,-4.51859,48.28529
7121,39,-4.51933,48.28499
7183,39,-4.52015,48.28485
7213,38,-4.52055,48.28484
7284,36,-4.52149,48.28471
7292,36,-4.52159,48.28472
7310,36,-4.52147,48.28486
7314,36,-4.52153,48.28487
7327,35,-4.52169,48.28485
7362,35,-4.52207,48.28465
7394,35,-4.52238,48.28446
7406,36,-4.52245,48.28436
7421,36,-4.52257,48.28425
7445,36,-4.5228,48.2841
7478,34,-4.52318,48.28394
7552,31,-4.52404,48.28361
7607,29,-4.52461,48.2833
7642,28,-4.52505,48.28318
7680,28,-4.52556,48.28322
7709,28,-4.52578,48.283
7747,28,-4.52616,48.28323
7835,24,-4.52691,48.28384
7898,22,-4.52738,48.28431
7914,22,-4.52756,48.28439
7946,21,-4.52799,48.28441
7961,21,-4.52818,48.28444
7987,21,-4.5285,48.28433
8002,22,-4.52864,48.28424
8021,22,-4.52885,48.28414
8082,24,-4.52961,48.28392
8102,24,-4.52982,48.28382
8119,25,-4.53003,48.28376
8138,25,-4.53024,48.28366
8176,26,-4.53059,48.28341
8187,26,-4.53071,48.28335
8238,27,-4.53131,48.28313
8247,27,-4.53135,48.28305
8266,28,-4.53146,48.2829
8272,28,-4.53143,48.28285
8290,28,-4.53162,48.28275
8344,26,-4.53209,48.28237
