access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],360,0,0,0,False,False,44.1146,3.08683,Millau,Templi,[],Départ,SIMPLE,[],2024-10-20T05:18:05.000+02:00,2024-10-20T05:18:05.000+02:00,
[],825,8240,513,4,False,False,44.13555,3.1159,P10,Templi,[],P10,SIMPLE,[],2024-10-20T05:52:05.000+02:00,2024-10-20T06:59:05.000+02:00,
[],424,22780,701,10,False,False,44.18847,3.20717,Peyreleau,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Peyreleau,SIMPLE,"[{'pointId': 10, 'live': 'x6vqf7f', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-20T06:40:05.000+02:00,2024-10-20T09:35:05.000+02:00,2024-10-20T09:30:00.000+02:00
[],897,28950,1224,16,False,False,44.17959,3.24906,MASSABIAU,Templi,"['AID_STATION', 'EMERGENCY']",MASSABIAU,SIMPLE,[],2024-10-20T07:16:05.000+02:00,2024-10-20T11:22:05.000+02:00,
[],870,36350,1388,22,True,False,44.15273,3.2589,St Andrée de Vezines,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St Andrée ,SIMPLE,"[{'pointId': 22, 'live': 'x8d2z4s', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-20T07:45:05.000+02:00,2024-10-20T12:49:05.000+02:00,2024-10-20T12:00:00.000+02:00
[],838,43910,1652,24,False,False,44.13923,3.22877,Roquesaltes,Templi,['EMERGENCY'],Roquesalte,SIMPLE,[],2024-10-20T08:19:05.000+02:00,2024-10-20T14:25:05.000+02:00,
[],400,47860,1657,26,False,False,44.12329,3.22226,La Roque Ste Marguerite,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",La Roque,SIMPLE,[],2024-10-20T08:33:05.000+02:00,2024-10-20T15:04:05.000+02:00,
[],732,56200,2145,32,True,False,44.09605,3.18887,La Salvage,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",La Salvage,SIMPLE,"[{'pointId': 32, 'live': 'x4xs8rq', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-20T09:20:05.000+02:00,2024-10-20T17:25:05.000+02:00,2024-10-20T16:30:00.000+02:00
[],635,60280,2322,34,False,False,44.10442,3.16396,LA CLAPADE DIMANCHE,Templi,"['AID_STATION', 'EMERGENCY']",LA CLAPADE,SIMPLE,[],2024-10-20T09:42:05.000+02:00,2024-10-20T18:32:05.000+02:00,
[],749,64650,2544,36,False,False,44.0866,3.14636,Mas de Bru (P82),Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Mas de Bru,SIMPLE,[],2024-10-20T10:06:05.000+02:00,2024-10-20T19:46:05.000+02:00,2024-10-20T18:15:00.000+02:00
[],366,70110,2595,40,False,False,44.10194,3.1271,Massebiau,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Massebiau,SIMPLE,"[{'pointId': 40, 'live': 'x91cg54', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-20T10:28:05.000+02:00,2024-10-20T20:50:05.000+02:00,
[],835,73330,3082,54,True,False,44.12102,3.11861,Le Cade,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Cade,SIMPLE,"[{'pointId': 54, 'live': 'x4clciw', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-20T11:00:05.000+02:00,2024-10-20T22:17:05.000+02:00,
[],836,77950,3407,66,False,False,44.11034,3.10253,la pouncho,Templi,[],la pouncho,SIMPLE,[],2024-10-20T11:32:05.000+02:00,2024-10-20T23:43:05.000+02:00,
[],395,80790,3433,100,False,False,44.11417,3.08963,Arrivée Millau,Templi,"['AID_STATION', 'EMERGENCY']",Arrivée,SIMPLE,"[{'pointId': 100, 'live': 'x8d2z5w', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-20T11:46:05.000+02:00,2024-10-21T00:18:05.000+02:00,
