checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,barriere_horaire_dt
Départ,0,0,0,,
P10,8200,513,48,,
Peyreleau,22800,701,637,4.198611111111111,2024-10-20 09:30:00
MASSABIAU,28900,1224,687,,
St Andrée,36300,1388,878,6.698611111111111,2024-10-20 12:00:00
Roquesalte,43900,1652,1174,,
La Roque,47900,1657,1617,,
La Salvage,56200,2145,1773,11.198611111111111,2024-10-20 16:30:00
LA CLAPADE,60300,2322,2047,,
Mas de Bru,64600,2544,2155,12.948611111111111,2024-10-20 18:15:00
Massebiau,70100,2595,2589,,
Cade,73300,3082,2607,,
la pouncho,77900,3407,2931,,
Arrivée,80800,3433,3398,,
