distance_cum,altitude,lon,lat
0,360,3.08683,44.1146
32,360,3.08697,44.11487
214,360,3.08787,44.11637
281,360,3.08821,44.11692
303,360,3.08834,44.1171
326,360,3.08849,44.11728
338,360,3.08858,44.11736
347,360,3.08864,44.11743
407,360,3.08912,44.11784
460,360,3.08957,44.11819
511,360,3.09003,44.11851
526,360,3.09018,44.1186
546,360,3.09035,44.11873
568,361,3.09053,44.11888
610,361,3.09091,44.11914
649,361,3.09127,44.11938
698,362,3.09168,44.1197
702,362,3.09171,44.11973
715,363,3.09184,44.1198
745,362,3.09215,44.11995
769,363,3.09242,44.12005
780,364,3.09253,44.12011
837,365,3.09302,44.12048
858,364,3.09321,44.12061
903,365,3.09365,44.12086
938,365,3.094,44.12105
951,364,3.09414,44.12111
971,365,3.09433,44.12123
986,366,3.09449,44.1213
1008,365,3.09471,44.12142
1036,365,3.09498,44.12158
1066,365,3.09526,44.12175
1085,366,3.09542,44.12188
1104,365,3.09559,44.122
1165,365,3.09607,44.12243
1228,365,3.09658,44.12286
1279,365,3.09703,44.12319
1305,365,3.09725,44.12336
1329,367,3.09748,44.1235
1344,366,3.09763,44.12357
1369,369,3.09791,44.12368
1397,369,3.09822,44.12379
1423,368,3.09852,44.12387
1443,366,3.09877,44.12392
1467,368,3.09905,44.124
1484,370,3.09922,44.12408
1495,368,3.09935,44.12413
1535,368,3.09974,44.12435
1561,366,3.09995,44.12453
1585,366,3.10012,44.12471
1619,366,3.1003,44.12498
1643,366,3.10041,44.12518
1671,366,3.10051,44.12543
1713,366,3.10061,44.1258
1750,365,3.10065,44.12613
1864,365,3.10061,44.12715
1897,365,3.10059,44.12745
1925,365,3.10055,44.1277
1988,364,3.10034,44.12825
2031,364,3.10017,44.12861
2067,364,3.10008,44.12893
2113,364,3.09994,44.12933
2144,365,3.09988,44.12961
2162,365,3.09983,44.12977
2320,364,3.09989,44.13119
2345,365,3.09994,44.13141
2353,366,3.10004,44.13142
2377,366,3.10013,44.13163
2405,367,3.10023,44.13187
2423,368,3.10031,44.13202
2443,368,3.10039,44.13219
2546,377,3.10114,44.13294
2585,380,3.10141,44.13323
2613,381,3.10159,44.13345
2646,383,3.1018,44.13371
2665,387,3.10193,44.13385
2682,388,3.10203,44.13398
2693,389,3.10212,44.13405
2717,390,3.10236,44.13419
2743,393,3.10256,44.13437
2763,392,3.1027,44.13452
2780,395,3.1028,44.13465
2833,395,3.10298,44.13511
2864,401,3.10304,44.13538
2896,402,3.10317,44.13566
2948,406,3.10338,44.1361
2966,407,3.10348,44.13624
2990,408,3.10359,44.13645
3064,415,3.1038,44.13709
3104,417,3.10392,44.13744
3142,417,3.10407,44.13776
3166,419,3.10419,44.13796
3192,422,3.10434,44.13817
3239,423,3.1045,44.13858
3262,427,3.10455,44.13878
3299,430,3.10466,44.1391
