checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Cade,73600,3191,2719,23-20:30,73.6,3191,2719,3.1999999999999886,486.0,20.0,70.4,151.87500000000054,6.250000000000022,0.07157330460654568,0.022366657689545603,2022
la pouncho,78200,3519,3044,,78.2,3519,3044,4.6000000000000085,328.0,325.0,73.6,71.30434782608683,70.65217391304334,0.08438493895557606,0.018344551946864327,2022
St Andrée,34800,1400,890,23-12:00,34.8,1400,890,12.199999999999996,688.0,233.0,22.6,56.393442622950836,19.09836065573771,0.143403098389248,0.011754352326987546,2022
Roque,45700,1654,1614,,45.7,1654,1614,3.6000000000000014,11.0,437.0,42.1,3.0555555555555545,121.38888888888884,0.12664153072740328,0.03517820297983423,2022
La Salvage,56400,2231,1859,23-16:30,56.4,2231,1859,7.199999999999996,226.0,183.0,49.2,31.388888888888907,25.416666666666682,0.087244793269724,0.012117332398572784,2022
Peyreleau,22600,712,657,23-09:30,22.6,712,657,14.400000000000002,191.0,601.0,8.2,13.263888888888888,41.73611111111111,0.12644916384528576,0.008781191933700399,2022
Mas de Bru,64900,2672,2282,22-18:15,64.9,2672,2282,8.500000000000007,441.0,423.0,56.4,51.88235294117643,49.7647058823529,0.11807479224376732,0.013891152028678497,2022
P7,8200,521,56,,8.2,521,56,8.2,521.0,56.0,0.0,63.53658536585366,6.829268292682928,0.08505181081358366,0.010372172050437034,2022
Arrivée,81000,3532,3497,,81.0,3532,3497,2.799999999999997,13.0,453.0,78.2,4.642857142857148,161.78571428571445,0.04337231968810913,0.015490114174324705,2022
Massebiau,70400,2705,2699,23-19:00,70.4,2705,2699,5.5,33.0,417.0,64.9,6.0,75.81818181818181,0.056466092130912006,0.010266562205620364,2022
Pierrefich,49200,2005,1676,,49.2,2005,1676,3.5,351.0,62.0,45.7,100.28571428571429,17.714285714285715,0.057338155329845104,0.01638233009424146,2022
