bib,name,status,category,sex,country,Départ,P7,Peyreleau,St Andrée,Roque,Pierrefich,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée,Roquesalte
1,Jim WALMSLEY,FINISHER,SE H,MALE,US,2022-10-23T05:18:49.000+00:00,2022-10-23T05:59:53.000+00:00,2022-10-23T07:00:24.000+00:00,2022-10-23T08:04:37.000+00:00,2022-10-23T08:56:49.000+00:00,2022-10-23T09:17:55.000+00:00,2022-10-23T09:51:22.000+00:00,2022-10-23T10:39:16.000+00:00,2022-10-23T11:02:04.000+00:00,2022-10-23T11:30:03.000+00:00,2022-10-23T11:59:54.000+00:00,2022-10-23T12:21:30.000+00:00,
3,Sebastien SPEHLER,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:00:27.000+00:00,2022-10-23T07:01:12.000+00:00,2022-10-23T08:04:34.000+00:00,2022-10-23T08:56:48.000+00:00,2022-10-23T09:18:49.000+00:00,2022-10-23T09:54:36.000+00:00,2022-10-23T10:49:11.000+00:00,2022-10-23T11:11:39.000+00:00,2022-10-23T11:41:28.000+00:00,2022-10-23T12:14:21.000+00:00,2022-10-23T13:08:11.000+00:00,
19,Matthieu SIMON,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:00:54.000+00:00,2022-10-23T07:02:45.000+00:00,2022-10-23T08:11:23.000+00:00,2022-10-23T09:08:36.000+00:00,2022-10-23T09:31:45.000+00:00,2022-10-23T10:08:38.000+00:00,2022-10-23T10:58:57.000+00:00,2022-10-23T11:23:10.000+00:00,2022-10-23T11:50:58.000+00:00,2022-10-23T12:22:54.000+00:00,2022-10-23T12:42:00.000+00:00,
8,Simon GOSSELIN,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:43.000+00:00,2022-10-23T07:08:06.000+00:00,2022-10-23T08:16:05.000+00:00,2022-10-23T09:13:35.000+00:00,2022-10-23T09:37:14.000+00:00,2022-10-23T10:12:10.000+00:00,2022-10-23T11:00:16.000+00:00,2022-10-23T11:23:10.000+00:00,2022-10-23T11:52:51.000+00:00,2022-10-23T12:27:06.000+00:00,2022-10-23T13:51:10.000+00:00,
22,Remy BRASSAC,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:00:55.000+00:00,2022-10-23T07:02:08.000+00:00,2022-10-23T08:11:04.000+00:00,2022-10-23T09:08:47.000+00:00,2022-10-23T09:33:21.000+00:00,2022-10-23T10:11:50.000+00:00,2022-10-23T11:07:02.000+00:00,2022-10-23T11:32:21.000+00:00,2022-10-23T12:03:41.000+00:00,2022-10-23T12:37:21.000+00:00,2022-10-23T13:11:56.000+00:00,
9,Gautier AIRIAU,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:44.000+00:00,2022-10-23T07:08:06.000+00:00,2022-10-23T08:16:05.000+00:00,2022-10-23T09:13:36.000+00:00,2022-10-23T09:37:15.000+00:00,2022-10-23T10:15:08.000+00:00,2022-10-23T11:10:16.000+00:00,2022-10-23T11:34:45.000+00:00,2022-10-23T12:07:10.000+00:00,2022-10-23T12:40:33.000+00:00,2022-10-23T12:55:58.000+00:00,
16,Romain MAILLARD,FINISHER,M1-M2H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:00:26.000+00:00,,2022-10-23T08:05:32.000+00:00,2022-10-23T09:01:39.000+00:00,2022-10-23T09:26:21.000+00:00,2022-10-23T10:03:53.000+00:00,2022-10-23T10:58:06.000+00:00,2022-10-23T11:23:59.000+00:00,2022-10-23T12:03:08.000+00:00,2022-10-23T12:38:55.000+00:00,2022-10-23T12:55:58.000+00:00,
20,Sylvain COURT,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:00:29.000+00:00,2022-10-23T07:00:27.000+00:00,2022-10-23T08:06:41.000+00:00,2022-10-23T09:04:48.000+00:00,2022-10-23T09:30:55.000+00:00,2022-10-23T10:12:52.000+00:00,2022-10-23T11:08:33.000+00:00,2022-10-23T11:35:04.000+00:00,2022-10-23T12:08:26.000+00:00,2022-10-23T12:45:50.000+00:00,2022-10-23T13:03:13.000+00:00,
29,Clément CHRISTEN,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:05.000+00:00,2022-10-23T07:03:13.000+00:00,2022-10-23T08:13:55.000+00:00,2022-10-23T09:10:28.000+00:00,2022-10-23T09:36:23.000+00:00,2022-10-23T10:17:27.000+00:00,2022-10-23T11:11:41.000+00:00,2022-10-23T11:36:18.000+00:00,2022-10-23T12:10:22.000+00:00,2022-10-23T12:47:09.000+00:00,2022-10-23T13:03:20.000+00:00,
40,Lilian LEROY,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:52.000+00:00,2022-10-23T07:08:08.000+00:00,2022-10-23T08:19:05.000+00:00,2022-10-23T09:19:09.000+00:00,2022-10-23T09:45:09.000+00:00,2022-10-23T10:23:29.000+00:00,2022-10-23T11:18:43.000+00:00,2022-10-23T11:43:24.000+00:00,2022-10-23T12:14:30.000+00:00,2022-10-23T12:48:18.000+00:00,2022-10-23T13:17:41.000+00:00,
240,Robin JUILLAGUET,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:01:29.000+00:00,2022-10-23T07:04:55.000+00:00,2022-10-23T08:13:34.000+00:00,2022-10-23T09:10:27.000+00:00,2022-10-23T09:35:13.000+00:00,2022-10-23T10:13:23.000+00:00,2022-10-23T11:07:37.000+00:00,2022-10-23T11:33:48.000+00:00,2022-10-23T12:06:37.000+00:00,2022-10-23T12:43:39.000+00:00,2022-10-23T13:05:28.000+00:00,
164,Saïd MANSOURI,FINISHER,M1-M2H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:00:56.000+00:00,2022-10-23T07:02:46.000+00:00,2022-10-23T08:11:06.000+00:00,2022-10-23T09:08:56.000+00:00,2022-10-23T09:34:17.000+00:00,2022-10-23T10:12:46.000+00:00,2022-10-23T11:08:36.000+00:00,2022-10-23T11:34:46.000+00:00,2022-10-23T12:09:21.000+00:00,2022-10-23T12:48:09.000+00:00,2022-10-23T13:16:05.000+00:00,
27,Florian DEBETTE,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:45.000+00:00,2022-10-23T07:08:07.000+00:00,2022-10-23T08:19:45.000+00:00,2022-10-23T09:18:14.000+00:00,2022-10-23T09:44:32.000+00:00,2022-10-23T10:23:02.000+00:00,2022-10-23T11:19:34.000+00:00,2022-10-23T11:44:47.000+00:00,2022-10-23T12:17:26.000+00:00,2022-10-23T12:54:59.000+00:00,2022-10-23T13:13:00.000+00:00,
14,Valentin BENARD,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:02:07.000+00:00,2022-10-23T07:05:56.000+00:00,2022-10-23T08:20:11.000+00:00,2022-10-23T09:21:54.000+00:00,2022-10-23T09:48:00.000+00:00,2022-10-23T10:28:10.000+00:00,2022-10-23T11:25:02.000+00:00,2022-10-23T11:50:44.000+00:00,2022-10-23T12:24:10.000+00:00,2022-10-23T13:01:12.000+00:00,2022-10-23T13:19:33.000+00:00,
23,Edouard LAUDIER,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:13.000+00:00,2022-10-23T07:07:06.000+00:00,2022-10-23T08:17:41.000+00:00,2022-10-23T09:17:33.000+00:00,2022-10-23T09:45:11.000+00:00,2022-10-23T10:26:07.000+00:00,2022-10-23T11:25:28.000+00:00,2022-10-23T11:51:14.000+00:00,2022-10-23T12:25:15.000+00:00,2022-10-23T13:05:37.000+00:00,2022-10-23T13:23:38.000+00:00,
33,Pierre-Arnaud BOURGUENOLLE,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:02:07.000+00:00,,2022-10-23T08:20:37.000+00:00,2022-10-23T09:22:14.000+00:00,2022-10-23T09:50:38.000+00:00,2022-10-23T10:31:50.000+00:00,2022-10-23T11:30:25.000+00:00,2022-10-23T11:56:46.000+00:00,2022-10-23T12:32:33.000+00:00,2022-10-23T13:09:11.000+00:00,2022-10-23T13:27:00.000+00:00,
32,Kristoffer EFTEDAL,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:22.000+00:00,2022-10-23T07:07:07.000+00:00,2022-10-23T08:16:09.000+00:00,2022-10-23T09:17:01.000+00:00,2022-10-23T09:44:33.000+00:00,2022-10-23T10:25:23.000+00:00,2022-10-23T11:31:11.000+00:00,2022-10-23T11:56:28.000+00:00,2022-10-23T12:30:16.000+00:00,2022-10-23T13:10:25.000+00:00,2022-10-23T13:28:26.000+00:00,
42,Yann BLANCHARD,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:04:33.000+00:00,2022-10-23T07:10:32.000+00:00,2022-10-23T08:25:35.000+00:00,2022-10-23T09:26:15.000+00:00,2022-10-23T09:51:32.000+00:00,2022-10-23T10:30:44.000+00:00,2022-10-23T11:27:58.000+00:00,2022-10-23T11:55:15.000+00:00,2022-10-23T12:27:59.000+00:00,2022-10-23T13:06:33.000+00:00,2022-10-23T13:30:18.000+00:00,
50,Emmanuel GAULT,FINISHER,M1-M2H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:03:28.000+00:00,2022-10-23T07:10:02.000+00:00,2022-10-23T08:25:57.000+00:00,2022-10-23T09:32:12.000+00:00,2022-10-23T10:01:44.000+00:00,2022-10-23T10:43:53.000+00:00,2022-10-23T11:41:03.000+00:00,2022-10-23T12:08:18.000+00:00,2022-10-23T12:42:19.000+00:00,2022-10-23T13:20:26.000+00:00,2022-10-23T14:10:03.000+00:00,
45,Clément BARRET,FINISHER,SE H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:00:27.000+00:00,2022-10-23T07:00:23.000+00:00,2022-10-23T08:09:06.000+00:00,2022-10-23T09:17:55.000+00:00,2022-10-23T09:49:06.000+00:00,2022-10-23T10:35:27.000+00:00,2022-10-23T11:37:28.000+00:00,2022-10-23T12:05:22.000+00:00,2022-10-23T12:43:03.000+00:00,2022-10-23T13:22:07.000+00:00,2022-10-23T13:40:38.000+00:00,
190,François HOLZERNY,FINISHER,M3-M4H,MALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:04:37.000+00:00,2022-10-23T07:15:14.000+00:00,2022-10-23T08:30:59.000+00:00,2022-10-23T09:31:51.000+00:00,2022-10-23T10:00:25.000+00:00,2022-10-23T10:40:15.000+00:00,2022-10-23T11:38:13.000+00:00,2022-10-23T12:06:28.000+00:00,2022-10-23T12:40:55.000+00:00,2022-10-23T13:21:09.000+00:00,2022-10-23T13:40:58.000+00:00,
4,Camille BRUYAS,FINISHER,SE F,FEMALE,FR,2022-10-23T05:18:49.000+00:00,2022-10-23T06:06:57.000+00:00,2022-10-23T07:19:54.000+00:00,2022-10-23T08:36:05.000+00:00,2022-10-23T09:38:39.000+00:00,2022-10-23T10:05:36.000+00:00,2022-10-23T10:46:19.000+00:00,2022-10-23T11:43:23.000+00:00,2022-10-23T12:11:04.000+00:00,2022-10-23T12:46:01.000+00:00,2022-10-23T13:22:59.000+00:00,2022-10-23T14:21:07.000+00:00,
