bib,name,status,category,sex,country,Départ,P7,Peyreleau,St André,La Roque,Pierrefich,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
1,Jonathan ALBON,FINISHER,S-M0H,MALE,GB,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:09.000+00:00,2023-10-22T06:58:29.000+00:00,2023-10-22T08:00:16.000+00:00,2023-10-22T08:52:07.000+00:00,2023-10-22T09:10:00.000+00:00,2023-10-22T09:40:25.000+00:00,2023-10-22T10:26:10.000+00:00,2023-10-22T10:46:33.000+00:00,2023-10-22T11:14:03.000+00:00,2023-10-22T11:45:25.000+00:00,2023-10-22T12:01:10.000+00:00,
4,Francesco PUPPI,FINISHER,S-M0H,MALE,IT,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:08.000+00:00,2023-10-22T07:00:47.000+00:00,2023-10-22T08:02:03.000+00:00,2023-10-22T08:54:34.000+00:00,2023-10-22T09:13:00.000+00:00,2023-10-22T09:45:18.000+00:00,2023-10-22T10:31:54.000+00:00,2023-10-22T10:52:26.000+00:00,2023-10-22T11:19:14.000+00:00,2023-10-22T11:50:59.000+00:00,2023-10-22T12:18:11.000+00:00,
7,Ben DHIMAN,FINISHER,S-M0H,MALE,US,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:10.000+00:00,2023-10-22T06:59:25.000+00:00,2023-10-22T08:01:29.000+00:00,2023-10-22T08:54:38.000+00:00,2023-10-22T09:13:00.000+00:00,2023-10-22T09:46:52.000+00:00,2023-10-22T10:36:32.000+00:00,2023-10-22T10:58:43.000+00:00,2023-10-22T11:28:01.000+00:00,2023-10-22T12:03:13.000+00:00,2023-10-22T12:27:57.000+00:00,
6,Thomas CARDIN,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:43.000+00:00,2023-10-22T07:01:11.000+00:00,2023-10-22T08:04:12.000+00:00,2023-10-22T08:58:27.000+00:00,2023-10-22T09:19:00.000+00:00,2023-10-22T09:53:33.000+00:00,2023-10-22T10:44:22.000+00:00,2023-10-22T11:06:59.000+00:00,2023-10-22T11:37:02.000+00:00,2023-10-22T12:09:26.000+00:00,2023-10-22T12:24:21.000+00:00,
120,Robin JUILLAGUET,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:12.000+00:00,2023-10-22T07:01:43.000+00:00,2023-10-22T08:06:39.000+00:00,2023-10-22T09:03:32.000+00:00,,2023-10-22T09:59:27.000+00:00,2023-10-22T10:50:44.000+00:00,2023-10-22T11:14:19.000+00:00,2023-10-22T11:43:12.000+00:00,2023-10-22T12:15:10.000+00:00,2023-10-22T12:28:43.000+00:00,
188,Andreas REITERER,FINISHER,S-M0H,MALE,IT,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:27.000+00:00,2023-10-22T06:59:27.000+00:00,2023-10-22T08:03:06.000+00:00,2023-10-22T08:57:47.000+00:00,2023-10-22T09:19:00.000+00:00,2023-10-22T09:53:33.000+00:00,,2023-10-22T11:07:25.000+00:00,2023-10-22T11:38:20.000+00:00,2023-10-22T12:13:09.000+00:00,2023-10-22T12:28:44.000+00:00,
8,Arnaud BONIN,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:15.000+00:00,2023-10-22T07:01:43.000+00:00,2023-10-22T08:06:35.000+00:00,2023-10-22T09:02:41.000+00:00,2023-10-22T09:21:00.000+00:00,2023-10-22T09:56:40.000+00:00,2023-10-22T10:48:56.000+00:00,2023-10-22T11:13:43.000+00:00,2023-10-22T11:41:59.000+00:00,2023-10-22T12:15:56.000+00:00,2023-10-22T12:32:36.000+00:00,
63,Robin BONDUELLE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:23.000+00:00,2023-10-22T07:03:38.000+00:00,2023-10-22T08:08:03.000+00:00,2023-10-22T09:04:48.000+00:00,,2023-10-22T10:02:10.000+00:00,2023-10-22T10:54:19.000+00:00,2023-10-22T11:17:36.000+00:00,2023-10-22T11:48:39.000+00:00,2023-10-22T12:22:51.000+00:00,2023-10-22T12:38:26.000+00:00,
26,Clovis CHAVEROT,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:42.000+00:00,2023-10-22T07:01:11.000+00:00,2023-10-22T08:04:29.000+00:00,2023-10-22T09:00:54.000+00:00,2023-10-22T09:24:00.000+00:00,2023-10-22T10:03:42.000+00:00,2023-10-22T10:56:49.000+00:00,2023-10-22T11:20:28.000+00:00,2023-10-22T11:51:49.000+00:00,2023-10-22T12:25:32.000+00:00,2023-10-22T13:04:54.000+00:00,
42,Johan LANTZ,FINISHER,S-M0H,MALE,SE,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:03.000+00:00,2023-10-22T07:04:29.000+00:00,2023-10-22T08:10:51.000+00:00,2023-10-22T09:08:02.000+00:00,,2023-10-22T10:06:20.000+00:00,2023-10-22T10:59:13.000+00:00,2023-10-22T11:23:37.000+00:00,2023-10-22T11:54:04.000+00:00,2023-10-22T12:29:00.000+00:00,2023-10-22T13:55:39.000+00:00,
33,Clément CHRISTEN,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:34.000+00:00,2023-10-22T07:03:12.000+00:00,2023-10-22T08:11:25.000+00:00,2023-10-22T09:09:04.000+00:00,,2023-10-22T10:09:38.000+00:00,2023-10-22T11:04:24.000+00:00,2023-10-22T11:27:15.000+00:00,2023-10-22T11:58:27.000+00:00,2023-10-22T12:35:04.000+00:00,2023-10-22T13:16:40.000+00:00,
32,Said MANSOURI,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:24.000+00:00,2023-10-22T07:04:19.000+00:00,2023-10-22T08:11:13.000+00:00,2023-10-22T09:09:09.000+00:00,,2023-10-22T10:08:19.000+00:00,2023-10-22T11:01:42.000+00:00,2023-10-22T11:24:55.000+00:00,2023-10-22T11:55:51.000+00:00,2023-10-22T12:32:43.000+00:00,2023-10-22T12:55:28.000+00:00,
36,Louis THERON,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:35.000+00:00,2023-10-22T07:06:07.000+00:00,2023-10-22T08:10:51.000+00:00,2023-10-22T09:11:15.000+00:00,,2023-10-22T10:12:51.000+00:00,2023-10-22T11:07:32.000+00:00,2023-10-22T11:32:06.000+00:00,2023-10-22T11:59:32.000+00:00,2023-10-22T12:35:01.000+00:00,2023-10-22T12:57:33.000+00:00,
37,Goulwen KERNEGUEZ,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:01.000+00:00,2023-10-22T07:06:09.000+00:00,2023-10-22T08:11:13.000+00:00,2023-10-22T09:09:02.000+00:00,,2023-10-22T10:09:47.000+00:00,2023-10-22T11:04:33.000+00:00,2023-10-22T11:28:12.000+00:00,2023-10-22T11:59:50.000+00:00,2023-10-22T12:35:45.000+00:00,2023-10-22T13:20:24.000+00:00,
23,Gautier AIRIAU,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:35.000+00:00,2023-10-22T07:10:19.000+00:00,2023-10-22T08:18:33.000+00:00,2023-10-22T09:15:51.000+00:00,,2023-10-22T10:15:01.000+00:00,2023-10-22T11:09:20.000+00:00,2023-10-22T11:33:48.000+00:00,2023-10-22T12:03:50.000+00:00,2023-10-22T12:38:17.000+00:00,2023-10-22T12:54:38.000+00:00,
