access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],360,0,0,0,False,False,44.11368,3.08707,Millau,endur,[],Départ,SIMPLE,[],2024-10-18T04:02:06.000+02:00,2024-10-18T04:02:06.000+02:00,
[],827,8340,520,4,False,False,44.13555,3.1159,P10,endur,[],P10,SIMPLE,[],2024-10-18T04:48:06.000+02:00,2024-10-18T05:43:06.000+02:00,
[],427,17100,601,8,False,False,44.17789,3.1341,La Cresse,endur,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Cresse,SIMPLE,"[{'pointId': 8, 'live': 'x4xs9ci', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T05:23:06.000+02:00,2024-10-18T07:02:06.000+02:00,2024-10-18T07:10:00.000+02:00
[],396,27740,1034,12,True,False,44.1913,3.20532,Le Rozier,endur,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Rozier,SIMPLE,[],2024-10-18T06:19:06.000+02:00,2024-10-18T09:30:06.000+02:00,2024-10-18T09:20:00.000+02:00
[],545,39200,1787,14,True,False,44.19736,3.24883,Le Truel,endur,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Truel,SIMPLE,[],2024-10-18T07:13:06.000+02:00,2024-10-18T12:30:06.000+02:00,2024-10-18T12:10:00.000+02:00
[],897,45110,2253,16,False,False,44.17957,3.24909,MASSABIAU,endur,"['AID_STATION', 'EMERGENCY']",MASSABIAU,SIMPLE,[],2024-10-18T08:01:06.000+02:00,2024-10-18T14:11:06.000+02:00,
[],869,56870,2509,22,True,False,44.15279,3.25897,St Andrée de Vezines,endur,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St Andrée ,SIMPLE,"[{'pointId': 22, 'live': 'x8d2z4s', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T09:07:06.000+02:00,2024-10-18T16:30:06.000+02:00,2024-10-18T16:15:00.000+02:00
[],839,64380,2766,24,False,False,44.13925,3.22871,Roquesaltes,endur,['EMERGENCY'],Roquesalte,SIMPLE,[],2024-10-18T09:55:06.000+02:00,2024-10-18T18:18:06.000+02:00,
[],400,68280,2770,26,False,False,44.12331,3.22218,La Roque Ste Marguerite,endur,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",La Roque,SIMPLE,[],2024-10-18T10:13:06.000+02:00,2024-10-18T18:59:06.000+02:00,2024-10-18T18:50:00.000+02:00
[],732,76670,3269,32,True,False,44.09609,3.18884,La Salvage,endur,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",La Salvage,SIMPLE,"[{'pointId': 32, 'live': 'x4xs8rq', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T11:20:06.000+02:00,2024-10-18T21:32:06.000+02:00,2024-10-18T20:45:00.000+02:00
[],749,84960,3659,36,False,False,44.08657,3.14636,Mas de Bru (P82),endur,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Mas de Bru,SIMPLE,[],2024-10-18T12:22:06.000+02:00,2024-10-18T23:44:06.000+02:00,2024-10-18T22:50:00.000+02:00
[],366,90440,3683,40,False,False,44.10188,3.12713,Massebiau,endur,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Massebiau,SIMPLE,"[{'pointId': 40, 'live': 'x91cg54', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T12:52:06.000+02:00,2024-10-19T00:46:06.000+02:00,
[],835,93690,4174,54,True,False,44.12086,3.11857,Le Cade,endur,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Cade,SIMPLE,"[{'pointId': 54, 'live': 'x4clciw', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T13:36:06.000+02:00,2024-10-19T02:15:06.000+02:00,2024-10-18T01:20:00.000+02:00
[],837,96770,4249,66,False,False,44.11026,3.10255,la pouncho,endur,[],la pouncho,SIMPLE,[],2024-10-18T13:59:06.000+02:00,2024-10-19T02:58:06.000+02:00,
[],395,99610,4262,100,False,False,44.11427,3.08945,Arrivée Millau,endur,"['AID_STATION', 'EMERGENCY']",Arrivée,SIMPLE,"[{'pointId': 100, 'live': 'x8d2z5w', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T14:16:06.000+02:00,2024-10-19T03:31:06.000+02:00,
