checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,barriere_horaire_dt
Départ,0,0,0,,
P10,8300,520,53,,
Cresse,17100,601,534,3.131666666666667,2024-10-18 07:10:00
Rozier,27700,1034,998,5.298333333333333,2024-10-18 09:20:00
Truel,39200,1787,1602,8.131666666666666,2024-10-18 12:10:00
MASSABIAU,45100,2253,1716,,
St Andrée,56900,2509,2000,12.215,2024-10-18 16:15:00
Roquesalte,64400,2766,2287,,
La Roque,68300,2770,2730,14.798333333333334,2024-10-18 18:50:00
La Salvage,76700,3269,2897,16.715,2024-10-18 20:45:00
Mas de Bru,85000,3659,3270,18.798333333333332,2024-10-18 22:50:00
Massebiau,90400,3683,3677,,
Cade,93700,4174,3699,-2.7016666666666667,2024-10-18 01:20:00
la pouncho,96800,4249,3772,,
Arrivée,99600,4262,4227,,
