distance_cum,altitude,lon,lat
0,360.0,3.08707,44.11368
0,,3.08686,44.1138
34,360.0,3.08672,44.11386
34,,3.08667,44.11396
56,360.0,3.08667,44.11405
91,360.0,3.08672,44.11436
116,360.0,3.08681,44.11458
177,360.0,3.0871,44.11509
218,360.0,3.0873,44.11543
218,,3.08739,44.11561
261,360.0,3.08749,44.11579
305,360.0,3.08772,44.11615
327,360.0,3.08782,44.11633
327,,3.0883,44.11703
434,360.0,3.08842,44.11719
457,360.0,3.08857,44.11737
490,360.0,3.08883,44.1176
544,360.0,3.08925,44.11798
568,360.0,3.08946,44.11813
568,,3.08966,44.11826
610,360.0,3.08987,44.11837
633,360.0,3.09008,44.11851
665,360.0,3.09035,44.11873
718,361.0,3.09078,44.11909
768,361.0,3.09125,44.11938
792,361.0,3.09145,44.11954
901,364.0,3.09252,44.12015
922,364.0,3.09272,44.12028
964,363.0,3.09305,44.12057
988,363.0,3.09326,44.12072
1016,364.0,3.09353,44.12088
1046,364.0,3.09382,44.12106
1112,364.0,3.09452,44.12137
1156,364.0,3.09495,44.12161
1199,364.0,3.09533,44.12189
1286,365.0,3.09606,44.12247
1286,,3.09623,44.12261
1350,365.0,3.09655,44.12292
1372,365.0,3.09674,44.12307
1394,363.0,3.0969,44.12323
1394,,3.09708,44.12337
1451,362.0,3.0974,44.12359
1474,361.0,3.09762,44.12373
1474,,3.09785,44.12382
1538,360.0,3.0983,44.12402
1581,361.0,3.09883,44.12411
1604,361.0,3.09908,44.1242
1604,,3.09929,44.1243
1647,361.0,3.09954,44.12441
1670,366.0,3.09975,44.12455
1692,366.0,3.09992,44.1247
1738,366.0,3.10025,44.12504
1782,366.0,3.10051,44.12539
1848,365.0,3.10064,44.12598
1873,365.0,3.10065,44.1262
1895,365.0,3.10065,44.1264
1924,364.0,3.1006,44.12666
1959,364.0,3.10055,44.12697
1959,,3.10055,44.12705
1990,364.0,3.10058,44.12725
2023,365.0,3.10058,44.12755
2045,367.0,3.10059,44.12775
2092,367.0,3.10046,44.12816
2115,367.0,3.10036,44.12835
2138,367.0,3.10029,44.12855
2179,367.0,3.1002,44.12892
2179,,3.10019,44.12911
2222,367.0,3.1001,44.1293
2245,366.0,3.10004,44.1295
2293,366.0,3.09997,44.12993
2293,,3.09995,44.13012
2336,365.0,3.09991,44.13031
2336,,3.09989,44.13049
2379,365.0,3.09988,44.1307
2379,,3.09994,44.13132
2457,365.0,3.09996,44.1314
2457,,3.10002,44.13143
2457,,3.10006,44.13148
2457,,3.10008,44.13155
2504,365.0,3.10018,44.13179
2526,366.0,3.10027,44.13198
2526,,3.10037,44.13214
2579,371.0,3.10058,44.1324
2579,,3.10068,44.1325
2610,374.0,3.10082,44.13262
2670,379.0,3.10125,44.13306
2699,380.0,3.10145,44.13327
2732,383.0,3.10165,44.13353
2761,386.0,3.10185,44.13375
2761,,3.10194,44.13388
2796,389.0,3.10207,44.13402
2818,390.0,3.10228,44.13415
2841,392.0,3.10247,44.1343
2879,395.0,3.10276,44.13457
2908,395.0,3.10286,44.13482
2944,395.0,3.10299,44.13513
2944,,3.10303,44.13532
3002,402.0,3.10315,44.13564
3031,404.0,3.10327,44.13588
3061,406.0,3.1034,44.13614
3061,,3.10351,44.1363
3117,412.0,3.10364,44.13661
3175,411.0,3.1038,44.13712
3203,413.0,3.10388,44.13736
3231,417.0,3.104,44.1376
3266,419.0,3.10415,44.13789
3293,422.0,3.10431,44.13811
3324,424.0,3.10443,44.13837
3348,425.0,3.10451,44.13858
3348,,3.10453,44.1387
3389,429.0,3.10461,44.13894
3429,429.0,3.10466,44.1393
3452,432.0,3.10472,44.1395
3476,436.0,3.10482,44.1397
3500,436.0,3.10491,44.1399
3550,439.0,3.10514,44.14032
3550,,3.10524,44.14047
3581,440.0,3.10534,44.14056
3581,,3.10539,44.14063
3581,,3.10545,44.14067
3610,443.0,3.10565,44.1407
3610,,3.10579,44.1407
3642,446.0,3.10604,44.14067
3642,,3.10626,44.14062
3642,,3.1065,44.14059
3642,,3.10664,44.14062
3642,,3.10701,44.14083
3733,438.0,3.10712,44.14091
3773,435.0,3.10736,44.14123
3773,,3.10749,44.14137
3773,,3.10773,44.14172
3855,431.0,3.10781,44.14189
3855,,3.10782,44.14206
3893,428.0,3.10779,44.14223
3923,426.0,3.10759,44.14246
