checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Massebiau,90800,3654,3648,,90.8,3654,3648,0.7999999999999972,20.0,31.0,90.0,25.00000000000009,38.750000000000135,-0.019782393669634024,-0.024727992087042617,2023
P7,8300,523,56,,8.3,523,56,8.3,523.0,56.0,0.0,63.012048192771076,6.746987951807228,0.06808074147342198,0.008202498972701443,2023
Cresse,17100,614,546,20-07:15,17.1,614,546,8.8,91.0,490.0,8.3,10.34090909090909,55.68181818181818,0.06658607172949407,0.00756659906016978,2023
Truel,39000,1721,1536,20-12:10,39.0,1721,1536,11.3,666.0,514.0,27.7,58.938053097345126,45.48672566371681,0.13805180056416452,0.012216973501253496,2023
La Salvage,76800,3212,2841,20-20:45,76.8,3212,2841,9.700000000000003,518.0,187.0,67.1,53.402061855670084,19.278350515463913,0.11951496501447048,0.012321130413862933,2023
MassebiauD,90000,3634,3617,20-00:00,90.0,3634,3617,4.700000000000003,16.0,389.0,85.3,3.404255319148934,82.76595744680846,0.05967688757006262,0.01269721012128991,2023
La Roque,67100,2694,2654,20-19:15,67.1,2694,2654,11.399999999999991,256.0,725.0,55.7,22.45614035087721,63.59649122807022,0.14126094442612738,0.012391310914572587,2023
Rozier,27700,1055,1022,20-09:40,27.7,1055,1022,10.599999999999998,441.0,476.0,17.1,41.60377358490567,44.9056603773585,0.1090083159321537,0.010283803389825822,2023
Mas de Bru,85300,3618,3228,20-22:50,85.3,3618,3228,8.5,406.0,387.0,76.8,47.76470588235294,45.529411764705884,0.1330549144594645,0.015653519348172294,2023
St André,55700,2438,1929,20-16:30,55.7,2438,1929,16.700000000000003,717.0,393.0,39.0,42.934131736526936,23.53293413173652,0.18454775250027478,0.011050763622770942,2023
