bib,name,status,category,sex,country,Départ,Cresse,Rozier,Truel,Champignon,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée,P7
3549,Théo LE BOUDEC,FINISHER,ES H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T05:26:10.000+00:00,2022-10-21T06:25:51.000+00:00,2022-10-21T07:48:11.000+00:00,2022-10-21T09:17:06.000+00:00,2022-10-21T10:10:36.000+00:00,2022-10-21T11:16:49.000+00:00,2022-10-21T12:30:21.000+00:00,2022-10-21T13:30:18.000+00:00,2022-10-21T13:56:15.000+00:00,2022-10-21T14:31:00.000+00:00,2022-10-21T14:47:56.000+00:00,2022-10-21T16:17:30.000+00:00,
3032,Gwendal MOYSAN,FINISHER,SE H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T05:27:06.000+00:00,2022-10-21T06:27:53.000+00:00,2022-10-21T07:48:34.000+00:00,2022-10-21T09:17:08.000+00:00,2022-10-21T10:10:35.000+00:00,2022-10-21T11:16:48.000+00:00,2022-10-21T12:34:25.000+00:00,2022-10-21T13:36:54.000+00:00,2022-10-21T14:03:18.000+00:00,2022-10-21T14:40:11.000+00:00,2022-10-21T14:59:14.000+00:00,2022-10-21T15:53:27.000+00:00,
3005,Alban BERSON,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T05:28:28.000+00:00,2022-10-21T06:29:29.000+00:00,2022-10-21T07:52:53.000+00:00,2022-10-21T09:22:04.000+00:00,2022-10-21T10:14:52.000+00:00,2022-10-21T11:21:01.000+00:00,2022-10-21T12:36:30.000+00:00,2022-10-21T13:40:07.000+00:00,2022-10-21T14:08:53.000+00:00,2022-10-21T14:49:12.000+00:00,2022-10-21T15:10:46.000+00:00,2022-10-21T15:32:46.000+00:00,
3024,Axel ARNAUD,FINISHER,SE H,MALE,FR,2022-10-21T04:01:43.000+00:00,2022-10-21T05:26:09.000+00:00,2022-10-21T06:25:00.000+00:00,2022-10-21T07:45:37.000+00:00,2022-10-21T09:15:39.000+00:00,2022-10-21T10:11:49.000+00:00,2022-10-21T11:23:32.000+00:00,2022-10-21T12:47:40.000+00:00,2022-10-21T13:49:55.000+00:00,2022-10-21T14:20:33.000+00:00,2022-10-21T14:55:18.000+00:00,2022-10-21T15:15:07.000+00:00,2022-10-21T15:45:15.000+00:00,
3028,Quentin SIMON,FINISHER,SE H,MALE,BE,2022-10-21T04:01:39.000+00:00,2022-10-21T05:28:17.000+00:00,2022-10-21T06:29:24.000+00:00,2022-10-21T07:52:50.000+00:00,2022-10-21T09:23:14.000+00:00,2022-10-21T10:26:38.000+00:00,2022-10-21T11:38:47.000+00:00,2022-10-21T12:55:58.000+00:00,2022-10-21T13:55:46.000+00:00,2022-10-21T14:24:30.000+00:00,2022-10-21T15:00:20.000+00:00,2022-10-21T15:17:34.000+00:00,2022-10-21T15:37:16.000+00:00,
3016,Pierre LEGENDRE,FINISHER,SE H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T05:27:33.000+00:00,2022-10-21T06:30:52.000+00:00,2022-10-21T07:57:39.000+00:00,2022-10-21T09:25:07.000+00:00,2022-10-21T10:18:16.000+00:00,2022-10-21T11:29:20.000+00:00,2022-10-21T12:55:09.000+00:00,2022-10-21T14:01:26.000+00:00,2022-10-21T14:33:12.000+00:00,2022-10-21T15:20:27.000+00:00,2022-10-21T15:40:24.000+00:00,2022-10-21T16:11:47.000+00:00,
3012,Matthieu DURAND,FINISHER,SE H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T05:30:31.000+00:00,2022-10-21T06:38:12.000+00:00,2022-10-21T08:09:00.000+00:00,2022-10-21T09:44:56.000+00:00,2022-10-21T10:45:00.000+00:00,2022-10-21T11:56:11.000+00:00,2022-10-21T13:21:27.000+00:00,2022-10-21T14:22:58.000+00:00,2022-10-21T14:50:16.000+00:00,2022-10-21T15:29:19.000+00:00,2022-10-21T15:48:10.000+00:00,2022-10-21T16:15:33.000+00:00,
3583,Daniel MEJIA,FINISHER,SE H,MALE,CO,2022-10-21T04:01:45.000+00:00,2022-10-21T05:37:44.000+00:00,2022-10-21T06:47:07.000+00:00,2022-10-21T08:19:30.000+00:00,2022-10-21T09:52:19.000+00:00,2022-10-21T10:46:53.000+00:00,2022-10-21T11:59:38.000+00:00,2022-10-21T13:20:17.000+00:00,2022-10-21T14:23:18.000+00:00,2022-10-21T14:53:37.000+00:00,2022-10-21T15:33:04.000+00:00,2022-10-21T15:52:02.000+00:00,2022-10-21T16:11:26.000+00:00,
3017,Thibaud LE COGUIC,FINISHER,SE H,MALE,FR,2022-10-21T04:01:39.000+00:00,2022-10-21T05:29:02.000+00:00,2022-10-21T06:35:50.000+00:00,2022-10-21T08:03:32.000+00:00,2022-10-21T09:36:37.000+00:00,2022-10-21T10:38:32.000+00:00,2022-10-21T11:53:40.000+00:00,2022-10-21T13:18:11.000+00:00,2022-10-21T14:22:49.000+00:00,2022-10-21T14:51:36.000+00:00,2022-10-21T15:30:59.000+00:00,2022-10-21T15:52:49.000+00:00,2022-10-21T16:13:05.000+00:00,
3030,Nicolas VERNIEST,FINISHER,SE H,MALE,BE,2022-10-21T04:01:44.000+00:00,2022-10-21T05:35:38.000+00:00,2022-10-21T06:42:37.000+00:00,2022-10-21T08:11:22.000+00:00,2022-10-21T09:46:38.000+00:00,2022-10-21T10:45:58.000+00:00,2022-10-21T11:57:42.000+00:00,2022-10-21T13:22:16.000+00:00,2022-10-21T14:26:48.000+00:00,2022-10-21T14:56:26.000+00:00,2022-10-21T15:37:30.000+00:00,2022-10-21T15:55:39.000+00:00,2022-10-21T16:15:36.000+00:00,
